instance_id,content_id,original_path,relative_path,vision_domain,families,trace_status,parent_instance_id,parent_content_id,parent_path,bbox_id,bbox,bbox_x,bbox_y,bbox_w,bbox_h
file_ebae8724ba32676c,asset_a7d9dca074810b98,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135913_569\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135913_569\crops\bbox.png,ads,got,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135913_569\pre_click.png,,"[414.0, 134.0, 139.0, 47.0]",414.000,134.000,139.000,47.000
file_b69dcf4baa8fa608,asset_603ade2051e58c6b,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135843_585\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135843_585\crops\bbox.png,ads,got,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135843_585\pre_click.png,,"[414.0, 134.0, 139.0, 47.0]",414.000,134.000,139.000,47.000
file_e8cec87605007653,asset_d03e45f89671476c,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135208_961\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135208_961\crops\bbox.png,ads,got,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135208_961\pre_click.png,,"[414.0, 134.0, 139.0, 47.0]",414.000,134.000,139.000,47.000
file_169eb54afbb52619,asset_91f479ecaa1bfa86,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135813_823\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135813_823\crops\bbox.png,ads,got,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135813_823\pre_click.png,,"[414.0, 134.0, 139.0, 47.0]",414.000,134.000,139.000,47.000
file_5e2cb9b5f76696fd,asset_d39eaaf081574a79,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135019_884\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135019_884\crops\bbox.png,ads,free,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135019_884\pre_click.png,,"[376.0, 285.0, 34.0, 19.0]",376.000,285.000,34.000,19.000
file_8ffbba45af380a08,asset_02c72c16cadd5f8d,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135749_996\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135749_996\crops\bbox.png,ads,free,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135749_996\pre_click.png,,"[376.0, 285.0, 34.0, 19.0]",376.000,285.000,34.000,19.000
file_e1121a57558fb4d8,asset_6cc55a7b44c3cff4,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092529_928\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092529_928\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092529_928\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_94f1bde14ac54667,asset_90ce48e4e47a01c1,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_090208_867\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_090208_867\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_090208_867\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_0b95398e6c4be8d8,asset_90ce48e4e47a01c1,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092934_813\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092934_813\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092934_813\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_886b5d6376adfe5c,asset_90ce48e4e47a01c1,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135203_544\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135203_544\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135203_544\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_feba933493202f49,asset_de7b8c7922f1f900,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085957_142\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_085957_142\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085957_142\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_2d90d832b7fe97b8,asset_6610b5dfb445dd5f,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_093033_128\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_093033_128\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_093033_128\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_d6d7b8fe54105f23,asset_11f12a7a90864764,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085640_930\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_085640_930\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085640_930\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_3e8530f504ae91eb,asset_11f12a7a90864764,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085809_808\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_085809_808\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085809_808\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_1d5e457bcbcb4021,asset_7e28f00f839fce1f,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_100332_771\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_100332_771\crops\bbox.png,ads,arrow,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_100332_771\pre_click.png,,"[21.0, 24.0, 87.0, 33.0]",21.000,24.000,87.000,33.000
file_809e2278f198a6c1,asset_186ef5c07473c5f7,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085740_231\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_085740_231\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085740_231\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_30b93db89322c3ed,asset_339992e49e34ab57,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081518_911\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_081518_911\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081518_911\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_20377abdaa1b4e5b,asset_e9a31cd691f5a239,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085839_414\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_085839_414\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085839_414\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_8206cc5578bc22ba,asset_7a4697aa90795534,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_093004_075\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_093004_075\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_093004_075\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_f50bc4b9ee8e7895,asset_fdc90db3b9dedd4d,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081929_330\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_081929_330\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081929_330\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_61ea568b16c69a4a,asset_5643b71b7351e12b,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085911_846\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_085911_846\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085911_846\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_7355bcb1bf51b0e6,asset_98c24948b203b45b,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092637_056\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092637_056\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092637_056\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_b054d740af129652,asset_30c8ee229aa044f4,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081645_261\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_081645_261\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081645_261\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_87d9500c65b6a4f2,asset_30c8ee229aa044f4,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092459_030\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092459_030\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092459_030\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_ad7e4eb378125644,asset_507e8cbb255ddbba,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092358_638\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092358_638\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092358_638\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_b33179d5dfc36f66,asset_ee8d8097b6a92785,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_082055_561\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_082055_561\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_082055_561\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_22ff620fe77cc31e,asset_6245704c040830e6,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_090237_721\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_090237_721\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_090237_721\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_1aef1805ac019b89,asset_6245704c040830e6,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_090404_778\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_090404_778\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_090404_778\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_70e06950bb8b1955,asset_6245704c040830e6,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135134_191\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135134_191\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_135134_191\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_05ef3bfa3c39ee51,asset_eaa49f6694344ff9,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092259_291\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092259_291\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092259_291\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_f2bf26ce0c230be2,asset_ea6642c3c3ac92c6,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_082124_182\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_082124_182\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_082124_182\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_399bc34ef8ddbc74,asset_ea6642c3c3ac92c6,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092328_718\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092328_718\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092328_718\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_aaef03b0d97202b8,asset_9e1fb426ba026819,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092646_757\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092646_757\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092646_757\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_706ed24dc0f647f5,asset_2117e8b585c0bc87,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081547_761\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_081547_761\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081547_761\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_e3f11b73be192b16,asset_2117e8b585c0bc87,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_090306_881\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_090306_881\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_090306_881\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_c3c020f092590994,asset_3603e8e8712294aa,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_090335_921\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_090335_921\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_090335_921\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_5112e13caf63a384,asset_36e63d1e55168e8f,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092905_503\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092905_503\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092905_503\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_910704808a5e9385,asset_6335f512afc499b7,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092617_850\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092617_850\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092617_850\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_94c067721838b5a7,asset_10a60b88bb107d49,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080145_040\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080145_040\crops\bbox.png,ads,got,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080145_040\pre_click.png,,"[414.0, 134.0, 139.0, 47.0]",414.000,134.000,139.000,47.000
file_75f0a3f1005b8cf5,asset_e18d2d36b4462d42,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_082026_800\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_082026_800\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_082026_800\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_ef5e65b9f913f3ba,asset_e18d2d36b4462d42,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092428_852\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092428_852\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_092428_852\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_5ba1025efbe9a527,asset_497df773d3786fa2,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081616_570\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_081616_570\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081616_570\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_2b98d225f12d47e0,asset_497df773d3786fa2,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085611_661\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_085611_661\crops\bbox.png,ads,x_mark,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_085611_661\pre_click.png,,"[877.0, 20.0, 75.0, 33.0]",877.000,20.000,75.000,33.000
file_da24a97c4580a385,asset_8246d10f6c6dfb69,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080135_133\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080135_133\crops\bbox.png,ads,arrow,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080135_133\pre_click.png,,"[907.0, 22.0, 36.0, 26.0]",907.000,22.000,36.000,26.000
file_cd87cbee7fb17dd2,asset_8246d10f6c6dfb69,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081251_268\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_081251_268\crops\bbox.png,ads,arrow,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_081251_268\pre_click.png,,"[907.0, 22.0, 36.0, 26.0]",907.000,22.000,36.000,26.000
file_993270f6ad69f631,asset_b3e20e7760a44b0a,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080258_516\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080258_516\crops\bbox.png,ads,arrow,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080258_516\pre_click.png,,"[907.0, 22.0, 36.0, 26.0]",907.000,22.000,36.000,26.000
file_ee0387d4d77b785c,asset_ff5fa003b27b535b,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_094919_639\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_094919_639\crops\bbox.png,ads,arrow,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_094919_639\pre_click.png,,"[907.0, 22.0, 36.0, 26.0]",907.000,22.000,36.000,26.000
file_1621862b6acb7cf3,asset_ff5fa003b27b535b,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_102134_709\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102134_709\crops\bbox.png,ads,arrow,traceable_parent_bbox,,,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_102134_709\pre_click.png,,"[907.0, 22.0, 36.0, 26.0]",907.000,22.000,36.000,26.000
