instance_id,content_id,original_path,relative_path,sample_role,score,label
file_ae8b615072be1afe,asset_edd9787ab510bbac,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000977_score_0.909_x359_y344_w13_h13_log__20260711_111910_56400_afk_20260711_111910_tiger_每日簽到_route_enter__000007_20260711_111922_before_tap_480_158.png.png,ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000977_score_0.909_x359_y344_w13_h13_log__20260711_111910_56400_afk_20260711_111910_tiger_每日簽到_route_enter__000007_20260711_111922_before_tap_480_158.png.png,non_action_target,dist_to_label_centroid=0.797,outlier:non_action_target
file_e8a8313163367b9f,asset_e5f12ca23933af2b,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001577_score_0.900_x450_y222_w15_h15_log__20260711_104622_54288_afk_20260711_104613_311_看廣告_task__000005_20260711_104711_before_tap_483_157.png.png,ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001577_score_0.900_x450_y222_w15_h15_log__20260711_104622_54288_afk_20260711_104613_311_看廣告_task__000005_20260711_104711_before_tap_483_157.png.png,non_action_target,dist_to_label_centroid=0.725,outlier:non_action_target
file_3ceba3bb3371d967,asset_33e7b6ea6c4c91ca,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001945_score_0.891_x467_y222_w14_h15_log__20260711_104622_54288_afk_20260711_104613_311_看廣告_task__000017_20260711_104918_before_tap_483_157.png.png,ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001945_score_0.891_x467_y222_w14_h15_log__20260711_104622_54288_afk_20260711_104613_311_看廣告_task__000017_20260711_104918_before_tap_483_157.png.png,non_action_target,dist_to_label_centroid=0.699,outlier:non_action_target
file_924ee15619221838,asset_18e8ba0348ebe540,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001033_score_0.906_x467_y222_w15_h15_log__20260711_112339_34208_afk_20260711_112330_tiger_看廣告_task__000023_20260711_112545_before_tap_483_157.png.png,ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001033_score_0.906_x467_y222_w15_h15_log__20260711_112339_34208_afk_20260711_112330_tiger_看廣告_task__000023_20260711_112545_before_tap_483_157.png.png,non_action_target,dist_to_label_centroid=0.694,outlier:non_action_target
file_88934be24fe8495b,asset_68017aac18164e18,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\003049_score_0.873_x432_y206_w17_h15_log__20260707_160103_33324__001319_20260710_070724_before_tap_80_500.png.png,ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\003049_score_0.873_x432_y206_w17_h15_log__20260707_160103_33324__001319_20260710_070724_before_tap_80_500.png.png,non_action_target,dist_to_label_centroid=0.677,outlier:non_action_target
file_b5624cdd963bb0d4,asset_b1b8349382842f42,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001693_score_0.897_x432_y206_w17_h15_log__20260707_160103_33324__000735_20260709_070044_before_tap_80_500.png.png,ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001693_score_0.897_x432_y206_w17_h15_log__20260707_160103_33324__000735_20260709_070044_before_tap_80_500.png.png,non_action_target,dist_to_label_centroid=0.677,outlier:non_action_target
file_a83136622bd1898a,asset_288612d2f5158f27,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\003285_score_0.868_x432_y206_w17_h15_log__20260707_160103_33324__000684_20260708_230729_before_tap_80_500.png.png,ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\003285_score_0.868_x432_y206_w17_h15_log__20260707_160103_33324__000684_20260708_230729_before_tap_80_500.png.png,non_action_target,dist_to_label_centroid=0.676,outlier:non_action_target
file_2f31d787c36301c2,asset_02252e6266678058,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\003041_score_0.873_x432_y206_w17_h15_log__20260707_160103_33324__001174_20260709_230837_before_tap_80_500.png.png,ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\003041_score_0.873_x432_y206_w17_h15_log__20260707_160103_33324__001174_20260709_230837_before_tap_80_500.png.png,non_action_target,dist_to_label_centroid=0.676,outlier:non_action_target
file_0830545d005715c4,asset_99981f36c1293ec4,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001992_score_0.890_x432_y206_w17_h15_log__20260707_160103_33324__000860_20260709_070811_before_tap_80_500.png.png,ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\001992_score_0.890_x432_y206_w17_h15_log__20260707_160103_33324__000860_20260709_070811_before_tap_80_500.png.png,non_action_target,dist_to_label_centroid=0.676,outlier:non_action_target
file_5c033dc3bd5136ba,asset_3ccb02a4a7e79f41,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_candidate_twostroke_filtered_v3\hits_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_candidate_twostroke_filtered_v3\hits_top100.png,reference_only,dist_to_label_centroid=0.465,outlier:reference_only
file_4a5b088b896a74fb,asset_7133ff284e182bc6,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_candidate_twostroke_filtered_v3\hits_debug_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_candidate_twostroke_filtered_v3\hits_debug_top100.png,reference_only,dist_to_label_centroid=0.465,outlier:reference_only
file_c90a6fb2649198d9,asset_0dd7ae05c02024f7,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_test_candidate_twostroke\hits_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_test_candidate_twostroke\hits_top100.png,reference_only,dist_to_label_centroid=0.458,outlier:reference_only
file_efd0886ac58b8c36,asset_b3cbb3c7006963ff,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_test_candidate_twostroke\hits_debug_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_test_candidate_twostroke\hits_debug_top100.png,reference_only,dist_to_label_centroid=0.458,outlier:reference_only
file_4289c4e45d3ea373,asset_e17aa9614e41fdf4,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_baseline_twostroke\hits_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_baseline_twostroke\hits_top100.png,reference_only,dist_to_label_centroid=0.458,outlier:reference_only
file_a8ef77787c394646,asset_090d5bc35ae37e50,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_baseline_twostroke\hits_debug_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_baseline_twostroke\hits_debug_top100.png,reference_only,dist_to_label_centroid=0.458,outlier:reference_only
file_17d9fe90d3aefddf,asset_7fb48eb675f9f2d8,D:\Projects\adb_vl\ads2\assets\1_templates\scene_anchors\ads main\scene_1.png,ads2\assets\1_templates\scene_anchors\ads main\scene_1.png,reference_only,dist_to_label_centroid=0.447,outlier:reference_only
file_d2d6b3e5e0b1e3a6,asset_7fb48eb675f9f2d8,D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260610_151332.png,ads2\assets\2_communication\crop_20260610_151332.png,reference_only,dist_to_label_centroid=0.447,outlier:reference_only
file_670c62c5320205f4,asset_d37ef6afc1bb29cb,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\skip_next_edge.png,ads2\assets\1_templates\close_glyphs\skip_next_edge.png,reference_only,dist_to_label_centroid=0.438,outlier:reference_only
file_b040dd17ca19329c,asset_1bb199c29d32b6fe,D:\Projects\adb_vl\ads2\assets\1_templates\close_glyphs\google_play_pill_edge.png,ads2\assets\1_templates\close_glyphs\google_play_pill_edge.png,reference_only,dist_to_label_centroid=0.391,outlier:reference_only
