instance_id,content_id,original_path,relative_path,suspect_reason,current_annotation,suggested_check,model_run
file_b539dc308603bd92,asset_a7f0632ac44a70d4,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_positive_twostroke_filtered\hits_debug_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_positive_twostroke_filtered\hits_debug_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_5c033dc3bd5136ba,asset_3ccb02a4a7e79f41,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_candidate_twostroke_filtered_v3\hits_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_candidate_twostroke_filtered_v3\hits_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_4a5b088b896a74fb,asset_7133ff284e182bc6,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_candidate_twostroke_filtered_v3\hits_debug_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_candidate_twostroke_filtered_v3\hits_debug_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_4289c4e45d3ea373,asset_e17aa9614e41fdf4,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_baseline_twostroke\hits_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_baseline_twostroke\hits_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_a8ef77787c394646,asset_090d5bc35ae37e50,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample_baseline_twostroke\hits_debug_top100.png,ads2\assets\review_crops\close_glyph_candidates\sample_baseline_twostroke\hits_debug_top100.png,missing_or_unknown_domain,domain=unknown; asset_type=crop; scope=crop; repr=raw; screen_state=uncertain; sample_role=reference_only; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_f0553fe7be1754c7,asset_ea24d8592c1bff02,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\x_template_contact_sheet.png,ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\x_template_contact_sheet.png,missing_or_unknown_domain,domain=unknown; asset_type=sheet; scope=sheet_or_composite; repr=raw; screen_state=uncertain; sample_role=uncertain; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_14f43c54b2db8901,asset_29bcd6fb08dff1a4,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\x_line_calibration_sheet.png,ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\x_line_calibration_sheet.png,missing_or_unknown_domain,domain=unknown; asset_type=sheet; scope=sheet_or_composite; repr=raw; screen_state=uncertain; sample_role=uncertain; sub_role=; status=reviewed,確認 domain 是否 ads/game/shared,
file_1cb4e2befa222329,asset_72c839c107ebef49,D:\Projects\adb_vl\ads2\assets\1_templates\備份\got1.png,ads2\assets\1_templates\備份\got1.png,model_high_confidence_false_negative,label=close; p_close=0.0670; sample_role=action_target,??????????????????,vision_platform\ads\pilot\action_classifier_mobilenet_seed42
file_584a25e35a2aa5af,asset_ccbc4de77f983ef0,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\patches\cand_000059.png,close_x_classifier\data\review_batch_001\patches\cand_000059.png,model_high_confidence_false_positive,label=not_close; p_close=0.9207; sample_role=non_action_target,??????????????????,vision_platform\ads\pilot\action_classifier_mobilenet_seed42
file_ff4130e6e870af72,asset_979a18de8234a2d4,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\003283_score_0.868_x445_y260_w31_h23_log__20260711_084004_22576_afk_20260711_083942_14_每日任務_task_fail_returncode_1__000008_20260711_084022_before_tap_105_292.png.png,ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\003283_score_0.868_x445_y260_w31_h23_log__20260711_084004_22576_afk_20260711_083942_14_每日任務_task_fail_returncode_1__000008_20260711_084022_before_tap_105_292.png.png,model_high_confidence_false_positive,label=not_close; p_close=0.9128; sample_role=non_action_target,??????????????????,vision_platform\ads\pilot\action_classifier_mobilenet_seed42
file_ae8b615072be1afe,asset_edd9787ab510bbac,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000977_score_0.909_x359_y344_w13_h13_log__20260711_111910_56400_afk_20260711_111910_tiger_每日簽到_route_enter__000007_20260711_111922_before_tap_480_158.png.png,ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000977_score_0.909_x359_y344_w13_h13_log__20260711_111910_56400_afk_20260711_111910_tiger_每日簽到_route_enter__000007_20260711_111922_before_tap_480_158.png.png,model_high_confidence_false_positive,label=not_close; p_close=0.8619; sample_role=non_action_target,??????????????????,vision_platform\ads\pilot\action_classifier_mobilenet_seed42
file_183d636c777c6ea5,asset_0038b293d3fef86c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,model_high_confidence_false_negative,label=close; p_close=0.1674; sample_role=action_target,??????????????????,vision_platform\ads\pilot\action_classifier_mobilenet_seed42
