image_path,families,label_x_mark,label_play_triangle,label_google_play,label_next,label_free,label_got,label_arrow,review_status,group_key,source_screen,instance_id,content_id,original_path,relative_path,vision_domain,asset_type,asset_role,image_scope,representation,source_root,split,label_source,weak_label_rule,event_id,proposal_source,template_name,bbox_crop,event_dir
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00012_next_asset_8829832efa233731.png,next,0,0,0,1,0,0,0,reviewed,content:asset_8829832efa233731,ads2/assets/1_templates/close_icons,file_8adc86c006864b12,asset_8829832efa233731,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00013_google_play_asset_bf08eee05826fbbb.png,google_play,0,0,1,0,0,0,0,reviewed,content:asset_bf08eee05826fbbb,ads2/assets/1_templates/close_icons,file_541955e3cd16d297,asset_bf08eee05826fbbb,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00014_google_play_asset_d67b35832487e707.png,google_play,0,0,1,0,0,0,0,reviewed,content:asset_d67b35832487e707,ads2/assets/1_templates/close_icons,file_f897e9b9181629ee,asset_d67b35832487e707,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00015_google_play_asset_0038b293d3fef86c.png,google_play,0,0,1,0,0,0,0,reviewed,content:asset_0038b293d3fef86c,ads2/assets/1_templates/close_icons,file_183d636c777c6ea5,asset_0038b293d3fef86c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00016_play_triangle_asset_c67d1ef1a4afa50d.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_c67d1ef1a4afa50d,ads2/assets/1_templates/close_icons,file_50c793b7bc956a13,asset_c67d1ef1a4afa50d,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_1.png,ads2\assets\1_templates\close_icons\close_1.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00017_play_triangle_asset_5b3fbaac886e6b1c.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_5b3fbaac886e6b1c,ads2/assets/1_templates/close_icons,file_13eecab8cd7c9374,asset_5b3fbaac886e6b1c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_10.png,ads2\assets\1_templates\close_icons\close_10.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00018_arrow_asset_814457f65714bfe8.png,arrow,0,0,0,0,0,0,1,reviewed,content:asset_814457f65714bfe8,ads2/assets/1_templates/close_icons,file_910f6d13ad48178b,asset_814457f65714bfe8,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_11.png,ads2\assets\1_templates\close_icons\close_11.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00019_x_mark_asset_44aa502360ac075b.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_44aa502360ac075b,ads2/assets/1_templates/close_icons,file_88b1cc8a3de93123,asset_44aa502360ac075b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_12.png,ads2\assets\1_templates\close_icons\close_12.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00020_play_triangle_asset_781a510f3a857316.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_781a510f3a857316,ads2/assets/1_templates/close_icons,file_a5a5bd5ba2f1d724,asset_781a510f3a857316,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_13.png,ads2\assets\1_templates\close_icons\close_13.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00021_x_mark_asset_7513f11f0e141a8c.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_7513f11f0e141a8c,ads2/assets/1_templates/close_icons,file_e01dd7c029653e86,asset_7513f11f0e141a8c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_14.png,ads2\assets\1_templates\close_icons\close_14.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00022_arrow_asset_b7e64faadd9ca7c4.png,arrow,0,0,0,0,0,0,1,reviewed,content:asset_b7e64faadd9ca7c4,ads2/assets/1_templates/close_icons,file_4bf9c732ffcf4bd7,asset_b7e64faadd9ca7c4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_15.png,ads2\assets\1_templates\close_icons\close_15.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00023_play_triangle_asset_5d7e57a62103e2c1.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_5d7e57a62103e2c1,ads2/assets/1_templates/close_icons,file_f1c7f92038128586,asset_5d7e57a62103e2c1,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_16.png,ads2\assets\1_templates\close_icons\close_16.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00024_x_mark_asset_9fdb4db2e3fe6848.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_9fdb4db2e3fe6848,ads2/assets/1_templates/close_icons,file_c6293287feb9bff3,asset_9fdb4db2e3fe6848,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_17.png,ads2\assets\1_templates\close_icons\close_17.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00025_play_triangle_asset_db80ab2f7ad7e606.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_db80ab2f7ad7e606,ads2/assets/1_templates/close_icons,file_54f5287c84fc7e1d,asset_db80ab2f7ad7e606,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_18.png,ads2\assets\1_templates\close_icons\close_18.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00026_play_triangle_asset_e3aa0c73c537c671.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_e3aa0c73c537c671,ads2/assets/1_templates/close_icons,file_a195dd7ba6135547,asset_e3aa0c73c537c671,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_19.png,ads2\assets\1_templates\close_icons\close_19.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00027_x_mark_asset_565f2f8c61c441ed.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_565f2f8c61c441ed,ads2/assets/1_templates/close_icons,file_e16e35dc922172f8,asset_565f2f8c61c441ed,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_2.png,ads2\assets\1_templates\close_icons\close_2.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00028_play_triangle_asset_fe436527d7d5643c.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_fe436527d7d5643c,ads2/assets/1_templates/close_icons,file_2200224e47c6acf2,asset_fe436527d7d5643c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_20.png,ads2\assets\1_templates\close_icons\close_20.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00029_play_triangle_asset_927b02d71a0d5e87.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_927b02d71a0d5e87,ads2/assets/1_templates/close_icons,file_857e5225a2b06af8,asset_927b02d71a0d5e87,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_21.png,ads2\assets\1_templates\close_icons\close_21.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00030_play_triangle_asset_384d89598f4f57fc.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_384d89598f4f57fc,ads2/assets/1_templates/close_icons,file_d109bb027585db3a,asset_384d89598f4f57fc,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_22.png,ads2\assets\1_templates\close_icons\close_22.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00031_play_triangle_asset_0f7f87e6da29ae62.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_0f7f87e6da29ae62,ads2/assets/1_templates/close_icons,file_abf6a9593a794d4f,asset_0f7f87e6da29ae62,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_23.png,ads2\assets\1_templates\close_icons\close_23.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00032_x_mark_asset_0adb2ecfead6543b.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_0adb2ecfead6543b,ads2/assets/1_templates/close_icons,file_4a39bc8220b54bcf,asset_0adb2ecfead6543b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_24.png,ads2\assets\1_templates\close_icons\close_24.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00033_x_mark_asset_d9b4a93cc253ae66.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_d9b4a93cc253ae66,ads2/assets/1_templates/close_icons,file_acc7870ed969732e,asset_d9b4a93cc253ae66,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_25.png,ads2\assets\1_templates\close_icons\close_25.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00034_play_triangle_asset_649d289a08c9fe33.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_649d289a08c9fe33,ads2/assets/1_templates/close_icons,file_2aafaa2342e7ff6d,asset_649d289a08c9fe33,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_3.png,ads2\assets\1_templates\close_icons\close_3.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00035_play_triangle_asset_00f02ef77adb18c4.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_00f02ef77adb18c4,ads2/assets/1_templates/close_icons,file_d4c87444e5015593,asset_00f02ef77adb18c4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_4.png,ads2\assets\1_templates\close_icons\close_4.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00036_play_triangle_asset_59b134576fd486a2.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_59b134576fd486a2,ads2/assets/1_templates/close_icons,file_cd80a32dc3ce69d3,asset_59b134576fd486a2,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_5.png,ads2\assets\1_templates\close_icons\close_5.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00037_next_asset_acdbf97adac6c560.png,next,0,0,0,1,0,0,0,reviewed,content:asset_acdbf97adac6c560,ads2/assets/1_templates/close_icons,file_144f33590c886b45,asset_acdbf97adac6c560,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_6.png,ads2\assets\1_templates\close_icons\close_6.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00038_x_mark_asset_38da3057c3705cb4.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_38da3057c3705cb4,ads2/assets/1_templates/close_icons,file_53c205606c848750,asset_38da3057c3705cb4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_7.png,ads2\assets\1_templates\close_icons\close_7.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00039_play_triangle_asset_071ca7bff74e053c.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_071ca7bff74e053c,ads2/assets/1_templates/close_icons,file_af0af020e1d87e2e,asset_071ca7bff74e053c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_8.png,ads2\assets\1_templates\close_icons\close_8.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00040_play_triangle_asset_f54277695108c8b6.png,play_triangle,0,1,0,0,0,0,0,reviewed,content:asset_f54277695108c8b6,ads2/assets/1_templates/close_icons,file_55b41688a921e7a4,asset_f54277695108c8b6,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_9.png,ads2\assets\1_templates\close_icons\close_9.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00041_arrow_asset_fc192034daaaf1b7.png,arrow,0,0,0,0,0,0,1,reviewed,content:asset_fc192034daaaf1b7,ads2/assets/1_templates/close_icons,file_c88fffda1bde6376,asset_fc192034daaaf1b7,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_back_gp.png,ads2\assets\1_templates\close_icons\close_back_gp.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00042_google_play_asset_14abfab802adf40c.png,google_play,0,0,1,0,0,0,0,reviewed,content:asset_14abfab802adf40c,ads2/assets/1_templates/close_icons,file_bde160b4ff62fd23,asset_14abfab802adf40c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_gp.png,ads2\assets\1_templates\close_icons\close_skip_gp.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00043_google_play_asset_bc5f8a22689dda23.png,google_play,0,0,1,0,0,0,0,reviewed,content:asset_bc5f8a22689dda23,ads2/assets/1_templates/close_icons,file_e43f95fcbeed911e,asset_bc5f8a22689dda23,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_gp2.png,ads2\assets\1_templates\close_icons\close_skip_gp2.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00044_google_play_asset_5d48c64cdd081609.png,google_play,0,0,1,0,0,0,0,reviewed,content:asset_5d48c64cdd081609,ads2/assets/1_templates/close_icons,file_85f3c0bdc5e04e1d,asset_5d48c64cdd081609,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_gp3.png,ads2\assets\1_templates\close_icons\close_skip_gp3.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00045_next_asset_ef6efb79aed47f4a.png,next,0,0,0,1,0,0,0,reviewed,content:asset_ef6efb79aed47f4a,ads2/assets/1_templates/close_icons,file_1cb77f3034b09b56,asset_ef6efb79aed47f4a,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_next.png,ads2\assets\1_templates\close_icons\close_skip_next.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00046_next_asset_6e9c3a68167cfe89.png,next,0,0,0,1,0,0,0,reviewed,content:asset_6e9c3a68167cfe89,ads2/assets/1_templates/close_icons,file_8aa403fa0a5d2da9,asset_6e9c3a68167cfe89,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_next2.png,ads2\assets\1_templates\close_icons\close_skip_next2.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00047_x_mark_asset_b2c26a493402602b.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_b2c26a493402602b,ads2/assets/1_templates/close_icons,file_7a30ab4de7eb758c,asset_b2c26a493402602b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_end.png,ads2\assets\1_templates\close_icons\close_x_end.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00048_x_mark_asset_f23d35799ad854e5.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_f23d35799ad854e5,ads2/assets/1_templates/close_icons,file_7b6a90286e8fac3a,asset_f23d35799ad854e5,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_end2.png,ads2\assets\1_templates\close_icons\close_x_end2.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00049_x_mark_asset_702ce9c110ac8383.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_702ce9c110ac8383,ads2/assets/1_templates/close_icons,file_91bbfc8a9546e898,asset_702ce9c110ac8383,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_gp.png,ads2\assets\1_templates\close_icons\close_x_gp.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00050_x_mark_asset_ae17f2d94d0c0ab9.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_ae17f2d94d0c0ab9,ads2/assets/1_templates/close_icons,file_3dbd94023a2aefb9,asset_ae17f2d94d0c0ab9,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_gp2.png,ads2\assets\1_templates\close_icons\close_x_gp2.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
vision_platform\ads\pilot\visual_family_smoke_20260722\after_review\dataset_plus_20260719_20260720_weak\images\vf_00051_x_mark_asset_720686941c854cbf.png,x_mark,1,0,0,0,0,0,0,reviewed,content:asset_720686941c854cbf,ads2/assets/1_templates/close_icons,file_0da1190477d9a899,asset_720686941c854cbf,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_left.png,ads2\assets\1_templates\close_icons\close_x_left.png,ads,template,template,crop,raw,ads2\assets\1_templates,,human_review,,,,,,
