instance_id,content_id,relative_path,image_path,families,seed42_active,seed42_top_family,seed42_top_prob,seed43_active,seed43_top_family,seed43_top_prob,seed44_active,seed44_top_family,seed44_top_prob,seed42_p_x_mark,seed42_p_play_triangle,seed42_p_google_play,seed42_p_next,seed42_p_free,seed42_p_got,seed42_p_arrow,seed43_p_x_mark,seed43_p_play_triangle,seed43_p_google_play,seed43_p_next,seed43_p_free,seed43_p_got,seed43_p_arrow,seed44_p_x_mark,seed44_p_play_triangle,seed44_p_google_play,seed44_p_next,seed44_p_free,seed44_p_got,seed44_p_arrow
file_15cb9fd3b7b16124,asset_35ac884fc325961e,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000224.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00521_negative_asset_35ac884fc325961e.png,negative,free,free,0.5668,play_triangle|free,free,0.6536,,free,0.4788,0.4742,0.4704,0.4047,0.4662,0.5668,0.2744,0.2080,0.3587,0.6096,0.4386,0.3628,0.6536,0.3980,0.1682,0.2765,0.3759,0.4683,0.3870,0.4788,0.1868,0.1711
file_d3fa8550365f8fe4,asset_35ac884fc325961e,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000232.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00529_negative_asset_35ac884fc325961e.png,negative,free,free,0.5668,play_triangle|free,free,0.6536,,free,0.4788,0.4742,0.4704,0.4047,0.4662,0.5668,0.2744,0.2080,0.3587,0.6096,0.4386,0.3628,0.6536,0.3980,0.1682,0.2765,0.3759,0.4683,0.3870,0.4788,0.1868,0.1711
file_8c4907b15f97a471,asset_fbcc564523d58e3a,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000234.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00531_negative_asset_fbcc564523d58e3a.png,negative,free,free,0.6710,,free,0.4897,free,free,0.5357,0.0407,0.0884,0.0761,0.0822,0.6710,0.0616,0.0619,0.0052,0.1922,0.0901,0.0763,0.4897,0.0192,0.0137,0.0126,0.0077,0.0715,0.0334,0.5357,0.0083,0.0165
file_9571d299368d849d,asset_f41984001785bb2e,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000235.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00532_negative_asset_f41984001785bb2e.png,negative,,next,0.4696,,google_play,0.2894,arrow,arrow,0.6541,0.3253,0.1127,0.2738,0.4696,0.2719,0.1985,0.3157,0.2136,0.0484,0.2894,0.1412,0.0919,0.1801,0.1675,0.2391,0.0469,0.3693,0.2635,0.1576,0.1384,0.6541
file_d19c1ae5042e913b,asset_cc04ebf72c4073f4,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000308.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00605_negative_asset_cc04ebf72c4073f4.png,negative,x_mark,x_mark,0.6987,x_mark,x_mark,0.5604,,x_mark,0.4794,0.6987,0.4628,0.2501,0.3261,0.2708,0.1724,0.3151,0.5604,0.2958,0.3004,0.2162,0.2395,0.1294,0.1747,0.4794,0.1117,0.3181,0.2259,0.2227,0.0603,0.3789
file_9d37ff9d74a486c1,asset_cc04ebf72c4073f4,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000315.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00612_negative_asset_cc04ebf72c4073f4.png,negative,x_mark,x_mark,0.6987,x_mark,x_mark,0.5604,,x_mark,0.4794,0.6987,0.4628,0.2501,0.3261,0.2708,0.1724,0.3151,0.5604,0.2958,0.3004,0.2162,0.2395,0.1294,0.1747,0.4794,0.1117,0.3181,0.2259,0.2227,0.0603,0.3789
file_3fb23508805b4005,asset_0b590b370863f8c6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000472.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00764_negative_asset_0b590b370863f8c6.png,negative,,arrow,0.3915,next|free,free,0.5235,next|arrow,arrow,0.6292,0.3764,0.2497,0.3206,0.3789,0.3535,0.2286,0.3915,0.2133,0.1979,0.3739,0.5045,0.5235,0.2140,0.3574,0.2600,0.1509,0.4040,0.5029,0.3638,0.1252,0.6292
file_247878eeb2153bcd,asset_0b590b370863f8c6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000482.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00774_negative_asset_0b590b370863f8c6.png,negative,,arrow,0.3915,next|free,free,0.5235,next|arrow,arrow,0.6292,0.3764,0.2497,0.3206,0.3789,0.3535,0.2286,0.3915,0.2133,0.1979,0.3739,0.5045,0.5235,0.2140,0.3574,0.2600,0.1509,0.4040,0.5029,0.3638,0.1252,0.6292
file_0ca7929710908e6d,asset_f41984001785bb2e,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000506.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00798_negative_asset_f41984001785bb2e.png,negative,,next,0.4696,,google_play,0.2894,arrow,arrow,0.6541,0.3253,0.1127,0.2738,0.4696,0.2719,0.1985,0.3157,0.2136,0.0484,0.2894,0.1412,0.0919,0.1801,0.1675,0.2391,0.0469,0.3693,0.2635,0.1576,0.1384,0.6541
file_72f9e642b73ff79f,asset_30eada6e537ba869,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000513.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00805_negative_asset_30eada6e537ba869.png,negative,free,free,0.5810,play_triangle,play_triangle,0.5079,,free,0.3587,0.3617,0.4280,0.2409,0.2667,0.5810,0.1786,0.2495,0.1949,0.5079,0.2403,0.1641,0.4514,0.1865,0.0952,0.1828,0.1622,0.2752,0.1398,0.3587,0.1095,0.1294
file_ee319f420cecc510,asset_30eada6e537ba869,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000516.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00808_negative_asset_30eada6e537ba869.png,negative,free,free,0.5810,play_triangle,play_triangle,0.5079,,free,0.3587,0.3617,0.4280,0.2409,0.2667,0.5810,0.1786,0.2495,0.1949,0.5079,0.2403,0.1641,0.4514,0.1865,0.0952,0.1828,0.1622,0.2752,0.1398,0.3587,0.1095,0.1294
file_a57c45f4c381c6f3,asset_8226bffb9ee871c5,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000522.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00814_negative_asset_8226bffb9ee871c5.png,negative,x_mark,x_mark,0.5236,,x_mark,0.3795,x_mark,x_mark,0.5236,0.5236,0.0566,0.0852,0.3201,0.0637,0.2264,0.3428,0.3795,0.1447,0.1250,0.3653,0.0553,0.1246,0.2393,0.5236,0.0879,0.1802,0.2936,0.1011,0.1489,0.3703
file_2b55d011077b8365,asset_8226bffb9ee871c5,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000531.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00823_negative_asset_8226bffb9ee871c5.png,negative,x_mark,x_mark,0.5236,,x_mark,0.3795,x_mark,x_mark,0.5236,0.5236,0.0566,0.0852,0.3201,0.0637,0.2264,0.3428,0.3795,0.1447,0.1250,0.3653,0.0553,0.1246,0.2393,0.5236,0.0879,0.1802,0.2936,0.1011,0.1489,0.3703
file_f47a194a48eb303f,asset_b8e24783cba5f65a,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000536.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00828_negative_asset_b8e24783cba5f65a.png,negative,x_mark,x_mark,0.6724,x_mark,x_mark,0.5833,x_mark,x_mark,0.5206,0.6724,0.3005,0.2399,0.3037,0.2929,0.2384,0.4112,0.5833,0.2214,0.1555,0.1390,0.1710,0.1506,0.3434,0.5206,0.1371,0.2022,0.1942,0.1656,0.1391,0.3692
file_7dcfcd1d8a9ce3aa,asset_aaa0d5a713804a65,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000538.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00830_negative_asset_aaa0d5a713804a65.png,negative,,x_mark,0.4656,,next,0.4685,next|arrow,arrow,0.6737,0.4656,0.1963,0.2889,0.4104,0.2232,0.0955,0.3988,0.2484,0.1426,0.1953,0.4685,0.3468,0.0555,0.2789,0.3389,0.0712,0.2000,0.5346,0.1739,0.0397,0.6737
file_330819cac3745bbd,asset_aaa0d5a713804a65,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000547.png,vision_platform\ads\pilot\visual_family_smoke_20260719\dataset\images\vf_00839_negative_asset_aaa0d5a713804a65.png,negative,,x_mark,0.4656,,next,0.4685,next|arrow,arrow,0.6737,0.4656,0.1963,0.2889,0.4104,0.2232,0.0955,0.3988,0.2484,0.1426,0.1953,0.4685,0.3468,0.0555,0.2789,0.3389,0.0712,0.2000,0.5346,0.1739,0.0397,0.6737
