image_path,families,label_x_mark,label_play_triangle,label_google_play,label_next,label_free,label_got,label_arrow,split,group_key,instance_id,content_id,relative_path,is_confirmed_strong_hard_negative,review_status,source_screen,original_path,vision_domain,asset_type,asset_role,image_scope,representation,source_root,pool_status,pool_role,is_none_of_the_above,hard_negative_source,evaluation_status
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_010.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_f275780a4e98e342,asset_synth_next_ffe48145bb3c8bab,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_010.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_011.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_2939628879614033,asset_synth_next_fdffcb5bd9ea47b0,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_011.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_012.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_cdefe983d757252d,asset_synth_next_f2295e592302d9ea,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_012.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_013.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_a47da81803af1b93,asset_synth_next_311e6d0d8e620245,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_013.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_014.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_124406f9b5e2485b,asset_synth_next_5273816676906f5d,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_014.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_015.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_c491427205c895de,asset_synth_next_b8c975d9fa83ed9d,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_015.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_016.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_986778f1a5067802,asset_synth_next_d73a5356d0fc37c7,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_016.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_017.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_d358cb2765026b61,asset_synth_next_fdef7cd781cbd738,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_017.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_018.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_2d1da93be9c9486a,asset_synth_next_97cbf2d5e8501b29,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_018.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_019.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_cf21dd8fc0c32304,asset_synth_next_de65a76b4630f84a,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_019.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_020.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_2b71f61dbe268b0d,asset_synth_next_f775079725ff8f90,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_020.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_021.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_17eb331efdfaba13,asset_synth_next_49c7471029f7fdb3,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_021.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_022.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_32baff5ea725fd24,asset_synth_next_cf39a10958798d97,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_022.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_023.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_f03c5e2fa805f875,asset_synth_next_dfb057d6275dc863,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_023.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_024.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_ee0c12cd93d59d47,asset_synth_next_59382eca6cb2454e,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_024.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_025.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_4072e76e55a6e11d,asset_synth_next_681d1b8698477706,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_025.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_026.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_d076a4ac1e1e8c2a,asset_synth_next_07b8608dad19a2c5,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_026.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_027.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_619ef486ae463252,asset_synth_next_7059da9809ad8f67,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_027.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_028.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_45611b84d00db545,asset_synth_next_3dd06fc98ffd63b1,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_028.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_029.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_8adc86c006864b12,file_synth_next_67c37613fc8a282d,asset_synth_next_32feb35e8174a65a,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_8adc86c006864b12_029.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00012_next_asset_8829832efa233731.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_000.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_1cb77f3034b09b56,file_synth_next_99340fba47185fa0,asset_synth_next_d20cf3801f58d98a,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_000.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00045_next_asset_ef6efb79aed47f4a.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_001.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_1cb77f3034b09b56,file_synth_next_2bff798c69858764,asset_synth_next_d2758d351706b545,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_001.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00045_next_asset_ef6efb79aed47f4a.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_002.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_1cb77f3034b09b56,file_synth_next_f1675952d7c23eee,asset_synth_next_88cc14c5997a1353,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_002.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00045_next_asset_ef6efb79aed47f4a.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_003.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_1cb77f3034b09b56,file_synth_next_8cfc99ed2db3a0c1,asset_synth_next_ca0959aadab15633,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_003.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00045_next_asset_ef6efb79aed47f4a.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_004.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_1cb77f3034b09b56,file_synth_next_84926c23649f29f6,asset_synth_next_a4ddc4def3b794a8,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_004.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00045_next_asset_ef6efb79aed47f4a.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_005.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_1cb77f3034b09b56,file_synth_next_d0c6a5b1eebbdf39,asset_synth_next_75161aa22324f19a,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_005.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00045_next_asset_ef6efb79aed47f4a.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_006.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_1cb77f3034b09b56,file_synth_next_b67d2aaa1f6f64e1,asset_synth_next_4d11f31409653afe,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_006.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00045_next_asset_ef6efb79aed47f4a.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_007.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_1cb77f3034b09b56,file_synth_next_8e1c0ade272c6f1c,asset_synth_next_ba84518e4a3360f2,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_007.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00045_next_asset_ef6efb79aed47f4a.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_008.png,next,0,0,0,1,0,0,0,train,synthetic_next:file_1cb77f3034b09b56,file_synth_next_c106cb32427df53f,asset_synth_next_3f5dda7b51e11cc2,vision_platform\ads\pilot\visual_family_smoke_20260719\next_tight_aug\seed42_30x\images\synth_next_file_1cb77f3034b09b56_008.png,0,synthetic,,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00045_next_asset_ef6efb79aed47f4a.png,ads,crop,candidate_crop,crop,raw,synthetic_next_tight_bbox,trainable,synthetic_next_train_only,0,,synthetic_train_only_not_for_eval
