instance_id,content_id,relative_path,image_path,families,source_screen,group_key
file_14b3e6c5478f7cc7,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000147.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00222_negative_asset_2dd12bfcf07023a6.png,negative,,content:asset_2dd12bfcf07023a6
file_3486060ad0e8ad4f,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000149.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00224_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_d2d203c752c00eb3,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000151.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00226_negative_asset_2dd12bfcf07023a6.png,negative,,content:asset_2dd12bfcf07023a6
file_d6b89e850c393744,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000153.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00228_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_ca44191e7a178460,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000155.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00230_negative_asset_2dd12bfcf07023a6.png,negative,,content:asset_2dd12bfcf07023a6
file_d24f52806af63653,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000157.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00232_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_1ba705845f2fc9e2,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000186.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00261_negative_asset_2dd12bfcf07023a6.png,negative,,content:asset_2dd12bfcf07023a6
file_ef847d000f83a44b,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000188.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00263_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_c7c9ef85a5b1f85d,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000189.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00264_negative_asset_2dd12bfcf07023a6.png,negative,,content:asset_2dd12bfcf07023a6
file_57eb253678d502b3,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000191.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00266_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_f7d66b3ae3255ca2,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000192.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00267_negative_asset_2dd12bfcf07023a6.png,negative,,content:asset_2dd12bfcf07023a6
file_aa3578c23f6f013e,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000195.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00270_negative_asset_d30b5d3b349008b2.png,negative,,content:asset_d30b5d3b349008b2
file_37b30e49e65a6ec5,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000221.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00296_negative_asset_42af79d6f3977354.png,negative,,content:asset_42af79d6f3977354
file_ae20fd14c3b78ed2,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000229.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00304_negative_asset_42af79d6f3977354.png,negative,,content:asset_42af79d6f3977354
file_d19c1ae5042e913b,asset_cc04ebf72c4073f4,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000308.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00383_negative_asset_cc04ebf72c4073f4.png,negative,,content:asset_cc04ebf72c4073f4
file_290380b8dd3659ab,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000312.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00387_negative_asset_42af79d6f3977354.png,negative,,content:asset_42af79d6f3977354
file_5188e12767990e92,asset_2fb49c996019a16e,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000313.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00388_negative_asset_2fb49c996019a16e.png,negative,,content:asset_2fb49c996019a16e
file_9d37ff9d74a486c1,asset_cc04ebf72c4073f4,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000315.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00390_negative_asset_cc04ebf72c4073f4.png,negative,,content:asset_cc04ebf72c4073f4
file_9215811702b5bf4e,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000319.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00394_negative_asset_42af79d6f3977354.png,negative,,content:asset_42af79d6f3977354
file_4132ab7be97bcab6,asset_2fb49c996019a16e,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000320.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00395_negative_asset_2fb49c996019a16e.png,negative,,content:asset_2fb49c996019a16e
file_5cb230a2c08bfbaa,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000325.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00400_negative_asset_42af79d6f3977354.png,negative,,content:asset_42af79d6f3977354
file_6bb4379479fb8dc8,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000332.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00407_negative_asset_42af79d6f3977354.png,negative,,content:asset_42af79d6f3977354
file_3a183a0a02450988,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000340.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00415_negative_asset_42af79d6f3977354.png,negative,,content:asset_42af79d6f3977354
file_1835d59ff2e3d0a0,asset_ad8ab8e8dd9e1cd1,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000341.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00416_negative_asset_ad8ab8e8dd9e1cd1.png,negative,,content:asset_ad8ab8e8dd9e1cd1
file_81c63211c9437130,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000347.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00422_negative_asset_42af79d6f3977354.png,negative,,content:asset_42af79d6f3977354
file_cfb05e46e18a00c8,asset_ad8ab8e8dd9e1cd1,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000348.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00423_negative_asset_ad8ab8e8dd9e1cd1.png,negative,,content:asset_ad8ab8e8dd9e1cd1
file_bb33204c2d173671,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000355.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00430_negative_asset_42af79d6f3977354.png,negative,,content:asset_42af79d6f3977354
file_359073feb3e998cb,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000362.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00437_negative_asset_42af79d6f3977354.png,negative,,content:asset_42af79d6f3977354
file_882ed2d5cd6931e1,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000366.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00441_negative_asset_42af79d6f3977354.png,negative,,content:asset_42af79d6f3977354
file_a8ca0d5ca56c64b4,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000371.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00446_negative_asset_42af79d6f3977354.png,negative,,content:asset_42af79d6f3977354
file_6e20fb04dd1eddca,asset_3e0413b5fa5c216f,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000432.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00502_negative_asset_3e0413b5fa5c216f.png,negative,,content:asset_3e0413b5fa5c216f
file_f45f37c18153c82f,asset_0d9906356f208687,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000458.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00528_negative_asset_0d9906356f208687.png,negative,,content:asset_0d9906356f208687
file_7fbcbc970bab12d6,asset_0d9906356f208687,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000461.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00531_negative_asset_0d9906356f208687.png,negative,,content:asset_0d9906356f208687
file_9ac929c0e2bb89c7,asset_3f363ed316e8c63b,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000504.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00574_negative_asset_3f363ed316e8c63b.png,negative,,content:asset_3f363ed316e8c63b
file_f319839a367a699e,asset_cf42023e5725393c,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000525.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00595_negative_asset_cf42023e5725393c.png,negative,,content:asset_cf42023e5725393c
file_369d1f8224cacbef,asset_cf42023e5725393c,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000534.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00604_negative_asset_cf42023e5725393c.png,negative,,content:asset_cf42023e5725393c
file_9674c85380c83776,asset_e011f0b8ff9e8ada,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000541.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00611_negative_asset_e011f0b8ff9e8ada.png,negative,,content:asset_e011f0b8ff9e8ada
file_e994f3b131af2bbb,asset_601ca7d61640ccfb,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000542.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00612_negative_asset_601ca7d61640ccfb.png,negative,,content:asset_601ca7d61640ccfb
file_c13a2d81972022d0,asset_e011f0b8ff9e8ada,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000550.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00620_negative_asset_e011f0b8ff9e8ada.png,negative,,content:asset_e011f0b8ff9e8ada
file_520ad734884b6ab9,asset_601ca7d61640ccfb,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000551.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00621_negative_asset_601ca7d61640ccfb.png,negative,,content:asset_601ca7d61640ccfb
