instance_id,content_id,before,after,relative_path
file_8646ff8ca8335918,asset_0a4e900ac50de596,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000130.png
file_e9ee06a1f16eb507,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000018.png
file_97087fc40d12ee4c,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000022.png
file_f1adeefce6189721,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000025.png
file_f32c265ebaa92314,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000040.png
file_b35a7d24eb0eeb08,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000045.png
file_38ee8dfbc5f6c1e4,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000049.png
file_83e55d4c6c0500b1,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000052.png
file_c3c64ce2d911fb6e,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000084.png
file_dfcf38849ad10faf,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000091.png
file_6dd9526e493f33cb,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000096.png
file_62e9a03cd87bb875,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000099.png
file_c15bee436f7a2f64,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000133.png
file_93708138367d2995,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000137.png
file_f4f35fb8b2be28a3,asset_0f4b94e17468addc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000141.png
file_5c7a77f09692692f,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000055.png
file_50f04bb2d911e011,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000058.png
file_2d6e32d144e028d1,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000061.png
file_2f8ef7c43f1a2e47,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000064.png
file_ca3fd5b1eb39b11d,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000067.png
file_5486b3133fe474bb,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000102.png
file_54ca0c9578597cf8,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000105.png
file_a394e9f413666691,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000108.png
file_ca5c9600e4f3b15e,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000111.png
file_46fa4c81ef14c975,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000114.png
file_2f60ce63befa723d,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000159.png
file_5d0f4d547f12a1f9,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000162.png
file_953448be23ae1db9,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000167.png
file_fa25aed9644a99f2,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000170.png
file_2522e538caa87309,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000175.png
file_b4823dc6f44ed0e4,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000179.png
file_115e03a023710f05,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000185.png
file_3a92591d77240c53,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000186.png
file_fd561f18831e0e67,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000187.png
file_ce53494f6714adf5,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000195.png
file_dd31e9fdb34b187c,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000200.png
file_fbc2a984e4331e81,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000205.png
file_9ce824a936b14908,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000208.png
file_2b4197b760048f71,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000211.png
file_72f90d930172782c,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000214.png
file_52ffc09e92218b8f,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000217.png
file_9c06f3d6e135662e,asset_1efd56983e8a2be7,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000220.png
file_09ceb56f0995b554,asset_21c5da20d19c35cc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000042.png
file_b64ae336bb17e9f7,asset_21c5da20d19c35cc,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000086.png
file_b842a8b9a73e90f9,asset_3ace1f0522c58233,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000002.png
file_8039f8fbabb21ac2,asset_3ace1f0522c58233,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000008.png
file_36e87ea76755944a,asset_3ace1f0522c58233,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000014.png
file_c05d6974c44aedcd,asset_3ace1f0522c58233,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000029.png
file_411cb0a9ee0c0ec8,asset_3ace1f0522c58233,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000035.png
file_6e8e7fe9af52b01b,asset_3ace1f0522c58233,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000071.png
file_aa2a6861107ec762,asset_3ace1f0522c58233,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000078.png
file_8b1c83db204d4c49,asset_3ace1f0522c58233,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000118.png
file_2160d3a8470b945a,asset_3ace1f0522c58233,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000124.png
file_a24788aa155dd179,asset_3ace1f0522c58233,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000129.png
file_c2afc230dfb699a0,asset_966793a379a174df,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000019.png
file_f0d3620f031be286,asset_966793a379a174df,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000041.png
file_d0ca969f145ee025,asset_966793a379a174df,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000046.png
file_62a8a4413542ca74,asset_966793a379a174df,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000085.png
file_844213c3b03f993e,asset_966793a379a174df,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000092.png
file_cf7c21442008830c,asset_966793a379a174df,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000134.png
file_90977348d878021d,asset_a2b1e091a21628ed,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000031.png
file_7287e1e31f1fc5de,asset_a2b1e091a21628ed,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000037.png
file_923a209eb4157b27,asset_b9f13ebbb5033ec5,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000004.png
file_9ae6b115a3d4a574,asset_b9f13ebbb5033ec5,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000010.png
file_f0482426ad64d2ec,asset_b9f13ebbb5033ec5,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000080.png
file_526e1585f645dd14,asset_b9f13ebbb5033ec5,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000126.png
file_1ab5b7e76dc6affa,asset_dbb710b56346500c,free,play_triangle,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000007.png
