image_path,label,source_session,ad_source,icon_family,candidate_score
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\close_2.png,close,unknown_session,unknown_ad_source,close_2,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\close_24.png,close,unknown_session,unknown_ad_source,close_24,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\close_25.png,close,unknown_session,unknown_ad_source,close_25,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\close_7.png,close,unknown_session,unknown_ad_source,close_7,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\close_x_end.png,close,unknown_session,unknown_ad_source,close_x_end,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\x_rule_calibration\samples\current入口_20260711_082942.png,close,unknown_session,unknown_ad_source,positive_unknown_family,
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000284_score_0.926_x263_y339_w48_h44_log__20260707_160103_33324__000617_20260708_230319_after_tap_678_446.png.png,not_close,20260707_160103_33324,unknown_ad_source,negative_unknown_family,0.926
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000345_score_0.917_x482_y147_w18_h18_log__20260711_084610_10484_afk_20260711_083942_14_每日任務_task__000013_20260711_084636_after_tap_255_414.png.png,not_close,20260711_084610_10484,unknown_ad_source,negative_unknown_family,0.917
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000358_score_0.916_x454_y214_w30_h25_log__20260711_103235_63312_afk_20260711_103216_311_每日任務_task__000104_20260711_103628_after_tap_193_336.png.png,not_close,20260711_103235_63312,unknown_ad_source,negative_unknown_family,0.916
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000359_score_0.916_x176_y313_w24_h30_log__20260711_110821_25824_afk_20260711_110759_tiger_每日任務_task__000076_20260711_111124_before_tap_481_515.png.png,not_close,20260711_110821_25824,unknown_ad_source,negative_unknown_family,0.916
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000397_score_0.914_x150_y261_w28_h28_log__20260711_011142_36488_afk_20260711_011124_em3_廣告時間沙漏_task__000011_20260711_011337_before_tap_925_35.png.png,not_close,20260711_011142_36488,unknown_ad_source,negative_unknown_family,0.914
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000424_score_0.914_x194_y483_w41_h40_log__20260711_010520_33712_afk_20260711_010506_em3_廣告探寶鏟_task__000019_20260711_010902_before_tap_924_33.png.png,not_close,20260711_010520_33712,unknown_ad_source,negative_unknown_family,0.914
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000442_score_0.913_x329_y86_w34_h35_log__20260711_104232_40108_afk_20260711_104213_311_深淵_task__000047_20260711_104403_after_tap_927_94.png.png,not_close,20260711_104232_40108,unknown_ad_source,negative_unknown_family,0.913
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000812_score_0.910_x264_y93_w28_h30_log__20260711_004437_69372_afk_20260711_004419_tiger_廣告時間沙漏_task__000010_20260711_004550_after_tap_67_40.png.png,not_close,20260711_004437_69372,unknown_ad_source,negative_unknown_family,0.910
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000813_score_0.910_x772_y69_w27_h26_log__20260711_004437_69372_afk_20260711_004419_tiger_廣告時間沙漏_task__000017_20260711_004725_before_tap_925_35.png.png,not_close,20260711_004437_69372,unknown_ad_source,negative_unknown_family,0.910
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\000848_score_0.910_x884_y21_w16_h17_log__20260711_110821_25824_afk_20260711_110759_tiger_每日任務_task__000070_20260711_111109_before_tap_551_501.png.png,not_close,20260711_110821_25824,unknown_ad_source,negative_unknown_family,0.910
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001421_score_0.902_x307_y54_w21_h20_log__20260711_015530_17756_afk_20260711_014000_tiger_廣告探寶鏟_route_enter__000001_20260711_015531_before_tap_109_127.png.png,not_close,20260711_015530_17756,unknown_ad_source,negative_unknown_family,0.902
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001578_score_0.900_x115_y138_w22_h18_log__20260711_105900_35312_afk_20260711_105311_311_高階競技場_route_enter__000005_20260711_105908_before_tap_712_290.png.png,not_close,20260711_105900_35312,unknown_ad_source,negative_unknown_family,0.900
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001581_score_0.900_x295_y238_w30_h29_log__20260707_160103_33324__000701_20260708_230935_before_tap_247_515.png.png,not_close,20260707_160103_33324,unknown_ad_source,negative_unknown_family,0.900
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001582_score_0.899_x304_y220_w23_h23_log__20260711_102525_74772_afk_20260711_102332_em3_廣告時間沙漏_task__000015_20260711_102904_before_tap_924_33.png.png,not_close,20260711_102525_74772,unknown_ad_source,negative_unknown_family,0.899
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001584_score_0.899_x737_y305_w42_h40_log__20260711_111953_39056_afk_20260711_111931_tiger_深淵_task__000062_20260711_112219_before_tap_590_477.png.png,not_close,20260711_111953_39056,unknown_ad_source,negative_unknown_family,0.899
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001590_score_0.898_x613_y100_w39_h45_log__20260711_003939_31364_afk_20260711_002946_tiger_廣告探寶鏟_task__000031_20260711_004351_before_tap_67_40.png.png,not_close,20260711_003939_31364,unknown_ad_source,negative_unknown_family,0.898
D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\reject_candidates\001715_score_0.894_x472_y261_w18_h18_log__tiger_廣告探寶鏟_task_fail_stuck_static__000018_20260711_014254_after_tap_301_350.png.png,not_close,20260711_014254_after,unknown_ad_source,negative_unknown_family,0.894
