image_path,label,review_status,source_screen,source_session,ad_source,icon_family,reject_type,candidate_score,geometry_score,bbox,source_type,original_name,split
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00018_close.png,close,reviewed,D:\Projects\adb_vl\close_x_classifier\data\review_batch_001\review\close\current入口_20260711_082942.png,positive_object::current入口_20260711_082942.png,unknown_ad_source,current入口_20260711_082942,,,,,legacy_tight_positive,current入口_20260711_082942.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00019_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000083_score_0.949_x395_y361_w14_h14_log__20260711_104232_40108_afk_20260711_104213_311_深淵_task__000018_20260711_104306_abyss_rental_scan_05.png.png,20260711_104232_40108,unknown_ad_source,unknown_family,,0.949000,0.949000,"48,48,14,14",manifest_bbox_negative,cand_000002.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00020_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000137_score_0.938_x395_y159_w14_h14_log__20260711_085505_41488_afk_20260711_085445_14_深淵_task__000021_20260711_085543_after_tap_746_194.png.png,20260711_085505_41488,unknown_ad_source,unknown_family,,0.938000,0.938000,"48,48,14,14",manifest_bbox_negative,cand_000004.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00021_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000138_score_0.938_x395_y354_w14_h14_log__20260711_085505_41488_afk_20260711_085445_14_深淵_task__000021_20260711_085543_after_tap_746_194.png.png,20260711_085505_41488,unknown_ad_source,unknown_family,,0.938000,0.938000,"48,48,14,14",manifest_bbox_negative,cand_000005.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00022_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000136_score_0.938_x395_y354_w14_h14_log__20260711_085505_41488_afk_20260711_085445_14_深淵_task__000020_20260711_085542_before_tap_746_194.png.png,20260711_085505_41488,unknown_ad_source,unknown_family,,0.938000,0.938000,"48,48,14,14",manifest_bbox_negative,cand_000006.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00023_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000139_score_0.938_x395_y183_w14_h14_log__20260711_095223_69352_afk_20260711_095203_em3_深淵_task__000008_20260711_095241_after_swipe_455_430_455_170_520.png.png,20260711_095223_69352,unknown_ad_source,unknown_family,,0.938000,0.938000,"48,48,14,14",manifest_bbox_negative,cand_000007.png,test
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00024_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000140_score_0.938_x395_y378_w14_h14_log__20260711_095223_69352_afk_20260711_095203_em3_深淵_task__000008_20260711_095241_after_swipe_455_430_455_170_520.png.png,20260711_095223_69352,unknown_ad_source,unknown_family,,0.938000,0.938000,"48,48,14,14",manifest_bbox_negative,cand_000008.png,test
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00025_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000178_score_0.938_x395_y393_w14_h14_log__20260711_111953_39056_afk_20260711_111931_tiger_深淵_task__000024_20260711_112036_after_tap_746_135.png.png,20260711_111953_39056,unknown_ad_source,unknown_family,,0.938000,0.938000,"48,48,14,14",manifest_bbox_negative,cand_000009.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00026_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000266_score_0.928_x395_y159_w14_h14_log__20260711_085505_41488_afk_20260711_085445_14_深淵_task__000018_20260711_085541_abyss_rental_scan_05.png.png,20260711_085505_41488,unknown_ad_source,unknown_family,,0.928000,0.928000,"48,48,14,14",manifest_bbox_negative,cand_000012.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00027_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000292_score_0.923_x45_y177_w17_h16_log__20260711_105219_54776_afk_20260711_105214_311_王國金庫_task__000002_20260711_105221_after_tap_80_124.png.png,20260711_105219_54776,unknown_ad_source,unknown_family,,0.923000,0.923000,"45,48,17,16",manifest_bbox_negative,cand_000013.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00028_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000293_score_0.921_x453_y147_w16_h17_log__20260710_125824_2204__000504_20260711_145942_before_tap_51_22.png.png,20260710_125824_2204,unknown_ad_source,unknown_family,,0.921000,0.921000,"48,48,16,17",manifest_bbox_negative,cand_000014.png,test
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00029_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000294_score_0.921_x453_y147_w16_h17_log__20260710_125824_2204__000505_20260711_145944_after_tap_51_22.png.png,20260710_125824_2204,unknown_ad_source,unknown_family,,0.921000,0.921000,"48,48,16,17",manifest_bbox_negative,cand_000015.png,test
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00030_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000296_score_0.921_x300_y489_w13_h14_log__20260711_094400_67140_afk_20260711_094338_em3_每日任務_task__000053_20260711_094602_after_swipe_360_430_360_230_700.png.png,20260711_094400_67140,unknown_ad_source,unknown_family,,0.921000,0.921000,"48,48,13,14",manifest_bbox_negative,cand_000016.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00031_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000295_score_0.921_x300_y489_w13_h14_log__20260711_084004_22576_afk_20260711_083942_14_每日任務_task_fail_returncode_1__000056_20260711_084214_before_swipe_360_430_360_230_700.png.png,20260711_084004_22576,unknown_ad_source,unknown_family,,0.921000,0.921000,"48,48,13,14",manifest_bbox_negative,cand_000017.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00032_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000297_score_0.921_x300_y489_w13_h14_log__20260711_103235_63312_afk_20260711_103216_311_每日任務_task__000055_20260711_103440_after_swipe_360_430_360_230_700.png.png,20260711_103235_63312,unknown_ad_source,unknown_family,,0.921000,0.921000,"48,48,13,14",manifest_bbox_negative,cand_000018.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00033_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000301_score_0.920_x377_y404_w16_h17_log__20260711_093821_38292_afk_20260711_093821_14_勇者角逐廣告_route_enter__000003_20260711_093827_before_swipe_84_405_84_135_700.png.png,20260711_093821_38292,unknown_ad_source,unknown_family,,0.920000,0.920000,"48,48,16,17",manifest_bbox_negative,cand_000020.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00034_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000310_score_0.920_x377_y404_w16_h17_log__20260711_104153_50836_afk_20260711_104153_311_每日簽到_route_enter__000003_20260711_104158_before_tap_69_277.png.png,20260711_104153_50836,unknown_ad_source,unknown_family,,0.920000,0.920000,"48,48,16,17",manifest_bbox_negative,cand_000021.png,val
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00035_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000311_score_0.920_x377_y404_w16_h17_log__20260711_104613_15440_afk_20260711_104613_311_看廣告_route_enter__000003_20260711_104618_before_tap_67_369.png.png,20260711_104613_15440,unknown_ad_source,unknown_family,,0.920000,0.920000,"48,48,16,17",manifest_bbox_negative,cand_000022.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00036_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000312_score_0.920_x45_y222_w17_h16_log__20260711_154545_35900_kingdom_vault__000018_20260711_154813_after_swipe_86_130_86_430_420.png.png,20260711_154545_35900,unknown_ad_source,unknown_family,,0.920000,0.920000,"45,48,17,16",manifest_bbox_negative,cand_000023.png,val
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00037_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000313_score_0.920_x432_y214_w15_h15_log__20260711_085505_41488_afk_20260711_085445_14_深淵_task__000039_20260711_085625_after_tap_366_477.png.png,20260711_085505_41488,unknown_ad_source,unknown_family,,0.920000,0.920000,"48,48,15,15",manifest_bbox_negative,cand_000024.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00038_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000321_score_0.919_x45_y177_w17_h16_log__20260711_105219_54776_afk_20260711_105214_311_王國金庫_task__000001_20260711_105220_before_tap_80_124.png.png,20260711_105219_54776,unknown_ad_source,unknown_family,,0.919000,0.919000,"45,48,17,16",manifest_bbox_negative,cand_000025.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00039_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000322_score_0.919_x45_y138_w17_h16_log__20260711_155245_32320_kingdom_vault__000004_20260711_155251_after_swipe_86_130_86_430_420.png.png,20260711_155245_32320,unknown_ad_source,unknown_family,,0.919000,0.919000,"45,48,17,16",manifest_bbox_negative,cand_000026.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00040_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000343_score_0.918_x46_y123_w16_h17_log__20260711_101501_60008_afk_20260711_100305_em3_王國金庫_task_fail_returncode_1__000002_20260711_101506_after_swipe_86_430_86_130_420.png.png,20260711_101501_60008,unknown_ad_source,unknown_family,,0.918000,0.918000,"46,48,16,17",manifest_bbox_negative,cand_000027.png,val
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00041_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000344_score_0.917_x45_y177_w17_h16_log__20260711_155245_32320_kingdom_vault__000001_20260711_155246_before_swipe_86_430_86_130_420.png.png,20260711_155245_32320,unknown_ad_source,unknown_family,,0.917000,0.917000,"45,48,17,16",manifest_bbox_negative,cand_000028.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00042_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000345_score_0.917_x482_y147_w18_h18_log__20260711_084610_10484_afk_20260711_083942_14_每日任務_task__000013_20260711_084636_after_tap_255_414.png.png,20260711_084610_10484,unknown_ad_source,unknown_family,,0.917000,0.917000,"48,48,18,18",manifest_bbox_negative,cand_000029.png,test
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00043_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000361_score_0.916_x300_y480_w13_h14_log__20260711_103235_63312_afk_20260711_103216_311_每日任務_task__000284_20260711_104129_before_swipe_360_430_360_230_700.png.png,20260711_103235_63312,unknown_ad_source,unknown_family,,0.916000,0.916000,"48,48,13,14",manifest_bbox_negative,cand_000030.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00044_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000363_score_0.915_x513_y422_w14_h13_log__20260711_085505_41488_afk_20260711_085445_14_深淵_task__000006_20260711_085522_abyss_rental_scan_01.png.png,20260711_085505_41488,unknown_ad_source,unknown_family,,0.915000,0.915000,"48,48,14,13",manifest_bbox_negative,cand_000031.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00045_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000364_score_0.915_x513_y422_w14_h13_log__20260711_085505_41488_afk_20260711_085445_14_深淵_task__000005_20260711_085512_after_tap_507_466.png.png,20260711_085505_41488,unknown_ad_source,unknown_family,,0.915000,0.915000,"48,48,14,13",manifest_bbox_negative,cand_000032.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00046_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000365_score_0.915_x513_y422_w14_h13_log__20260711_085505_41488_afk_20260711_085445_14_深淵_task__000007_20260711_085523_before_swipe_455_430_455_170_520.png.png,20260711_085505_41488,unknown_ad_source,unknown_family,,0.915000,0.915000,"48,48,14,13",manifest_bbox_negative,cand_000033.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00047_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000368_score_0.915_x513_y422_w14_h13_log__20260711_085505_41488_afk_20260711_085445_14_深淵_task__000024_20260711_085551_before_tap_809_65.png.png,20260711_085505_41488,unknown_ad_source,unknown_family,,0.915000,0.915000,"48,48,14,13",manifest_bbox_negative,cand_000034.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00048_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000370_score_0.915_x45_y80_w17_h16_log__20260711_155245_32320_kingdom_vault__000002_20260711_155248_after_swipe_86_430_86_130_420.png.png,20260711_155245_32320,unknown_ad_source,unknown_family,,0.915000,0.915000,"45,48,17,16",manifest_bbox_negative,cand_000035.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00049_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000369_score_0.915_x45_y218_w17_h16_log__20260711_101501_60008_afk_20260711_100305_em3_王國金庫_task_fail_returncode_1__000004_20260711_101511_after_swipe_86_130_86_430_420.png.png,20260711_101501_60008,unknown_ad_source,unknown_family,,0.915000,0.915000,"45,48,17,16",manifest_bbox_negative,cand_000036.png,val
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00050_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000375_score_0.915_x395_y421_w14_h13_log__20260711_095223_69352_afk_20260711_095203_em3_深淵_task__000006_20260711_095239_abyss_rental_scan_01.png.png,20260711_095223_69352,unknown_ad_source,unknown_family,,0.915000,0.915000,"48,48,14,13",manifest_bbox_negative,cand_000038.png,test
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00051_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000376_score_0.915_x395_y421_w14_h13_log__20260711_095223_69352_afk_20260711_095203_em3_深淵_task__000004_20260711_095228_before_tap_507_466.png.png,20260711_095223_69352,unknown_ad_source,unknown_family,,0.915000,0.915000,"48,48,14,13",manifest_bbox_negative,cand_000039.png,test
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00052_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000377_score_0.915_x395_y421_w14_h13_log__20260711_095223_69352_afk_20260711_095203_em3_深淵_task__000005_20260711_095229_after_tap_507_466.png.png,20260711_095223_69352,unknown_ad_source,unknown_family,,0.915000,0.915000,"48,48,14,13",manifest_bbox_negative,cand_000040.png,test
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00053_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000378_score_0.915_x395_y421_w14_h13_log__20260711_095223_69352_afk_20260711_095203_em3_深淵_task__000007_20260711_095239_before_swipe_455_430_455_170_520.png.png,20260711_095223_69352,unknown_ad_source,unknown_family,,0.915000,0.915000,"48,48,14,13",manifest_bbox_negative,cand_000041.png,test
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00054_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000392_score_0.915_x395_y421_w14_h13_log__20260711_111953_39056_afk_20260711_111931_tiger_深淵_task__000027_20260711_112042_before_tap_809_65.png.png,20260711_111953_39056,unknown_ad_source,unknown_family,,0.915000,0.915000,"48,48,14,13",manifest_bbox_negative,cand_000042.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00055_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000398_score_0.914_x175_y456_w18_h18_log__20260711_084610_10484_afk_20260711_083942_14_每日任務_task__000027_20260711_084708_after_tap_49_172.png.png,20260711_084610_10484,unknown_ad_source,unknown_family,,0.914000,0.914000,"48,48,18,18",manifest_bbox_negative,cand_000043.png,test
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00056_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000443_score_0.913_x118_y243_w16_h17_log__20260711_100310_38732_afk_20260711_100305_em3_王國金庫_task_fail_returncode_1__000028_20260711_100401_after_swipe_86_430_86_130_420.png.png,20260711_100310_38732,unknown_ad_source,unknown_family,,0.913000,0.913000,"48,48,16,17",manifest_bbox_negative,cand_000044.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00057_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000445_score_0.913_x118_y243_w16_h17_log__20260711_153753_50456_kingdom_vault__000014_20260711_153834_after_swipe_86_430_86_130_420.png.png,20260711_153753_50456,unknown_ad_source,unknown_family,,0.913000,0.913000,"48,48,16,17",manifest_bbox_negative,cand_000045.png,val
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00058_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000444_score_0.913_x118_y243_w16_h17_log__20260711_101501_60008_afk_20260711_100305_em3_王國金庫_task_fail_returncode_1__000002_20260711_101506_after_swipe_86_430_86_130_420.png.png,20260711_101501_60008,unknown_ad_source,unknown_family,,0.913000,0.913000,"48,48,16,17",manifest_bbox_negative,cand_000046.png,val
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00059_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000446_score_0.912_x45_y215_w17_h16_log__20260711_154545_35900_kingdom_vault__000006_20260711_154555_after_tap_80_104.png.png,20260711_154545_35900,unknown_ad_source,unknown_family,,0.912000,0.912000,"45,48,17,16",manifest_bbox_negative,cand_000047.png,val
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00060_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000448_score_0.912_x118_y312_w16_h17_log__20260711_100310_38732_afk_20260711_100305_em3_王國金庫_task_fail_returncode_1__000003_20260711_100314_before_tap_422_58.png.png,20260711_100310_38732,unknown_ad_source,unknown_family,,0.912000,0.912000,"48,48,16,17",manifest_bbox_negative,cand_000048.png,train
D:\Projects\adb_vl\close_x_classifier\data\stage0_object_poc\images\stage0_00061_not_close.png,not_close,reviewed,D:\Projects\adb_vl\ads2\assets\review_crops\close_glyph_candidates\sample\candidate_crops\000807_score_0.912_x82_y276_w16_h17_log__20260711_153753_50456_kingdom_vault__000052_20260711_153946_after_tap_80_164.png.png,20260711_153753_50456,unknown_ad_source,unknown_family,,0.912000,0.912000,"48,48,16,17",manifest_bbox_negative,cand_000049.png,val
