seed,instance_id,content_id,relative_path,dataset_image_path,families,current_db_families,top_family,top_score,triggered_families,p_x_mark,p_play_triangle,p_google_play,p_next,p_free,p_got,p_arrow
seed42,file_ef847d000f83a44b,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000188.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00263_negative_asset_d30b5d3b349008b2.png,negative,negative,arrow,0.62517,arrow:0.62517|free:0.53297,0.48282,0.29395,0.28663,0.32573,0.53297,0.45814,0.62517
seed42,file_57eb253678d502b3,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000191.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00266_negative_asset_d30b5d3b349008b2.png,negative,negative,arrow,0.62517,arrow:0.62517|free:0.53297,0.48282,0.29395,0.28663,0.32573,0.53297,0.45814,0.62517
seed42,file_aa3578c23f6f013e,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000195.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00270_negative_asset_d30b5d3b349008b2.png,negative,negative,arrow,0.62517,arrow:0.62517|free:0.53297,0.48282,0.29395,0.28663,0.32573,0.53297,0.45814,0.62517
seed42,file_d19c1ae5042e913b,asset_cc04ebf72c4073f4,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000308.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00383_negative_asset_cc04ebf72c4073f4.png,negative,negative,x_mark,0.65539,x_mark:0.65539,0.65539,0.32215,0.24002,0.31886,0.35934,0.20581,0.34758
seed42,file_9d37ff9d74a486c1,asset_cc04ebf72c4073f4,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000315.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00390_negative_asset_cc04ebf72c4073f4.png,negative,negative,x_mark,0.65539,x_mark:0.65539,0.65539,0.32215,0.24002,0.31886,0.35934,0.20581,0.34758
seed43,file_ce83c86447928e4c,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000135.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00210_negative_asset_2dd12bfcf07023a6.png,negative,negative,free,0.51013,free:0.51013,0.24492,0.17578,0.11879,0.20894,0.51013,0.08492,0.09880
seed43,file_ec421cc01b4c1cd0,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000139.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00214_negative_asset_2dd12bfcf07023a6.png,negative,negative,free,0.51013,free:0.51013,0.24492,0.17578,0.11879,0.20894,0.51013,0.08492,0.09880
seed43,file_f593997f7321a3d6,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000143.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00218_negative_asset_2dd12bfcf07023a6.png,negative,negative,free,0.51013,free:0.51013,0.24492,0.17578,0.11879,0.20894,0.51013,0.08492,0.09880
seed43,file_14b3e6c5478f7cc7,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000147.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00222_negative_asset_2dd12bfcf07023a6.png,negative,negative,free,0.51013,free:0.51013,0.24492,0.17578,0.11879,0.20894,0.51013,0.08492,0.09880
seed43,file_d2d203c752c00eb3,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000151.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00226_negative_asset_2dd12bfcf07023a6.png,negative,negative,free,0.51013,free:0.51013,0.24492,0.17578,0.11879,0.20894,0.51013,0.08492,0.09880
seed43,file_ca44191e7a178460,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000155.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00230_negative_asset_2dd12bfcf07023a6.png,negative,negative,free,0.51013,free:0.51013,0.24492,0.17578,0.11879,0.20894,0.51013,0.08492,0.09880
seed43,file_1ba705845f2fc9e2,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000186.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00261_negative_asset_2dd12bfcf07023a6.png,negative,negative,free,0.51013,free:0.51013,0.24492,0.17578,0.11879,0.20894,0.51013,0.08492,0.09880
seed43,file_c7c9ef85a5b1f85d,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000189.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00264_negative_asset_2dd12bfcf07023a6.png,negative,negative,free,0.51013,free:0.51013,0.24492,0.17578,0.11879,0.20894,0.51013,0.08492,0.09880
seed43,file_f7d66b3ae3255ca2,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000192.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00267_negative_asset_2dd12bfcf07023a6.png,negative,negative,free,0.51013,free:0.51013,0.24492,0.17578,0.11879,0.20894,0.51013,0.08492,0.09880
seed43,file_d19c1ae5042e913b,asset_cc04ebf72c4073f4,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000308.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00383_negative_asset_cc04ebf72c4073f4.png,negative,negative,x_mark,0.59189,x_mark:0.59189,0.59189,0.40208,0.31394,0.46259,0.38504,0.24281,0.47667
seed43,file_9d37ff9d74a486c1,asset_cc04ebf72c4073f4,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000315.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00390_negative_asset_cc04ebf72c4073f4.png,negative,negative,x_mark,0.59189,x_mark:0.59189,0.59189,0.40208,0.31394,0.46259,0.38504,0.24281,0.47667
seed43,file_1835d59ff2e3d0a0,asset_ad8ab8e8dd9e1cd1,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000341.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00416_negative_asset_ad8ab8e8dd9e1cd1.png,negative,negative,x_mark,0.58074,x_mark:0.58074,0.58074,0.32529,0.28112,0.46096,0.39135,0.18901,0.49800
seed43,file_cfb05e46e18a00c8,asset_ad8ab8e8dd9e1cd1,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000348.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00423_negative_asset_ad8ab8e8dd9e1cd1.png,negative,negative,x_mark,0.58074,x_mark:0.58074,0.58074,0.32529,0.28112,0.46096,0.39135,0.18901,0.49800
seed44,file_ce83c86447928e4c,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000135.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00210_negative_asset_2dd12bfcf07023a6.png,negative,negative,x_mark,0.59535,x_mark:0.59535,0.59535,0.40081,0.24822,0.32317,0.43604,0.23586,0.38920
seed44,file_ec421cc01b4c1cd0,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000139.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00214_negative_asset_2dd12bfcf07023a6.png,negative,negative,x_mark,0.59535,x_mark:0.59535,0.59535,0.40081,0.24822,0.32317,0.43604,0.23586,0.38920
seed44,file_f593997f7321a3d6,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000143.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00218_negative_asset_2dd12bfcf07023a6.png,negative,negative,x_mark,0.59535,x_mark:0.59535,0.59535,0.40081,0.24822,0.32317,0.43604,0.23586,0.38920
seed44,file_14b3e6c5478f7cc7,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000147.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00222_negative_asset_2dd12bfcf07023a6.png,negative,negative,x_mark,0.59535,x_mark:0.59535,0.59535,0.40081,0.24822,0.32317,0.43604,0.23586,0.38920
seed44,file_d2d203c752c00eb3,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000151.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00226_negative_asset_2dd12bfcf07023a6.png,negative,negative,x_mark,0.59535,x_mark:0.59535,0.59535,0.40081,0.24822,0.32317,0.43604,0.23586,0.38920
seed44,file_ca44191e7a178460,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000155.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00230_negative_asset_2dd12bfcf07023a6.png,negative,negative,x_mark,0.59535,x_mark:0.59535,0.59535,0.40081,0.24822,0.32317,0.43604,0.23586,0.38920
seed44,file_1ba705845f2fc9e2,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000186.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00261_negative_asset_2dd12bfcf07023a6.png,negative,negative,x_mark,0.59535,x_mark:0.59535,0.59535,0.40081,0.24822,0.32317,0.43604,0.23586,0.38920
seed44,file_c7c9ef85a5b1f85d,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000189.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00264_negative_asset_2dd12bfcf07023a6.png,negative,negative,x_mark,0.59535,x_mark:0.59535,0.59535,0.40081,0.24822,0.32317,0.43604,0.23586,0.38920
seed44,file_f7d66b3ae3255ca2,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000192.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00267_negative_asset_2dd12bfcf07023a6.png,negative,negative,x_mark,0.59535,x_mark:0.59535,0.59535,0.40081,0.24822,0.32317,0.43604,0.23586,0.38920
seed44,file_37b30e49e65a6ec5,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000221.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00296_negative_asset_42af79d6f3977354.png,negative,negative,x_mark,0.53443,x_mark:0.53443,0.53443,0.31084,0.36790,0.30052,0.28934,0.27383,0.31840
seed44,file_ae20fd14c3b78ed2,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000229.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00304_negative_asset_42af79d6f3977354.png,negative,negative,x_mark,0.53443,x_mark:0.53443,0.53443,0.31084,0.36790,0.30052,0.28934,0.27383,0.31840
seed44,file_d19c1ae5042e913b,asset_cc04ebf72c4073f4,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000308.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00383_negative_asset_cc04ebf72c4073f4.png,negative,negative,x_mark,0.58416,x_mark:0.58416,0.58416,0.39023,0.37395,0.40597,0.36905,0.40313,0.43045
seed44,file_290380b8dd3659ab,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000312.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00387_negative_asset_42af79d6f3977354.png,negative,negative,x_mark,0.53443,x_mark:0.53443,0.53443,0.31084,0.36790,0.30052,0.28934,0.27383,0.31840
seed44,file_5188e12767990e92,asset_2fb49c996019a16e,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000313.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00388_negative_asset_2fb49c996019a16e.png,negative,negative,x_mark,0.50974,x_mark:0.50974,0.50974,0.33995,0.39745,0.33579,0.33823,0.38927,0.33621
seed44,file_9d37ff9d74a486c1,asset_cc04ebf72c4073f4,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000315.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00390_negative_asset_cc04ebf72c4073f4.png,negative,negative,x_mark,0.58416,x_mark:0.58416,0.58416,0.39023,0.37395,0.40597,0.36905,0.40313,0.43045
seed44,file_9215811702b5bf4e,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000319.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00394_negative_asset_42af79d6f3977354.png,negative,negative,x_mark,0.53443,x_mark:0.53443,0.53443,0.31084,0.36790,0.30052,0.28934,0.27383,0.31840
seed44,file_4132ab7be97bcab6,asset_2fb49c996019a16e,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000320.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00395_negative_asset_2fb49c996019a16e.png,negative,negative,x_mark,0.50974,x_mark:0.50974,0.50974,0.33995,0.39745,0.33579,0.33823,0.38927,0.33621
seed44,file_5cb230a2c08bfbaa,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000325.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00400_negative_asset_42af79d6f3977354.png,negative,negative,x_mark,0.53443,x_mark:0.53443,0.53443,0.31084,0.36790,0.30052,0.28934,0.27383,0.31840
seed44,file_6bb4379479fb8dc8,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000332.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00407_negative_asset_42af79d6f3977354.png,negative,negative,x_mark,0.53443,x_mark:0.53443,0.53443,0.31084,0.36790,0.30052,0.28934,0.27383,0.31840
seed44,file_3a183a0a02450988,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000340.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00415_negative_asset_42af79d6f3977354.png,negative,negative,x_mark,0.53443,x_mark:0.53443,0.53443,0.31084,0.36790,0.30052,0.28934,0.27383,0.31840
seed44,file_1835d59ff2e3d0a0,asset_ad8ab8e8dd9e1cd1,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000341.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00416_negative_asset_ad8ab8e8dd9e1cd1.png,negative,negative,x_mark,0.50429,x_mark:0.50429,0.50429,0.39444,0.37228,0.39696,0.44938,0.39218,0.33230
seed44,file_81c63211c9437130,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000347.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00422_negative_asset_42af79d6f3977354.png,negative,negative,x_mark,0.53443,x_mark:0.53443,0.53443,0.31084,0.36790,0.30052,0.28934,0.27383,0.31840
seed44,file_cfb05e46e18a00c8,asset_ad8ab8e8dd9e1cd1,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000348.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00423_negative_asset_ad8ab8e8dd9e1cd1.png,negative,negative,x_mark,0.50429,x_mark:0.50429,0.50429,0.39444,0.37228,0.39696,0.44938,0.39218,0.33230
seed44,file_bb33204c2d173671,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000355.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00430_negative_asset_42af79d6f3977354.png,negative,negative,x_mark,0.53443,x_mark:0.53443,0.53443,0.31084,0.36790,0.30052,0.28934,0.27383,0.31840
seed44,file_359073feb3e998cb,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000362.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00437_negative_asset_42af79d6f3977354.png,negative,negative,x_mark,0.53443,x_mark:0.53443,0.53443,0.31084,0.36790,0.30052,0.28934,0.27383,0.31840
seed44,file_882ed2d5cd6931e1,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000366.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00441_negative_asset_42af79d6f3977354.png,negative,negative,x_mark,0.53443,x_mark:0.53443,0.53443,0.31084,0.36790,0.30052,0.28934,0.27383,0.31840
seed44,file_a8ca0d5ca56c64b4,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000371.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00446_negative_asset_42af79d6f3977354.png,negative,negative,x_mark,0.53443,x_mark:0.53443,0.53443,0.31084,0.36790,0.30052,0.28934,0.27383,0.31840
seed44,file_6e20fb04dd1eddca,asset_3e0413b5fa5c216f,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000432.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00502_negative_asset_3e0413b5fa5c216f.png,negative,negative,free,0.54887,free:0.54887,0.34922,0.45808,0.20562,0.19826,0.54887,0.19252,0.27278
seed44,file_f45f37c18153c82f,asset_0d9906356f208687,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000458.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00528_negative_asset_0d9906356f208687.png,negative,negative,x_mark,0.55842,x_mark:0.55842,0.55842,0.34223,0.39590,0.31869,0.45982,0.30207,0.26682
seed44,file_7fbcbc970bab12d6,asset_0d9906356f208687,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000461.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00531_negative_asset_0d9906356f208687.png,negative,negative,x_mark,0.55842,x_mark:0.55842,0.55842,0.34223,0.39590,0.31869,0.45982,0.30207,0.26682
seed44,file_9ac929c0e2bb89c7,asset_3f363ed316e8c63b,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000504.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00574_negative_asset_3f363ed316e8c63b.png,negative,negative,x_mark,0.55402,x_mark:0.55402,0.55402,0.28279,0.27246,0.29328,0.16730,0.16222,0.34428
seed44,file_f319839a367a699e,asset_cf42023e5725393c,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000525.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00595_negative_asset_cf42023e5725393c.png,negative,negative,x_mark,0.58365,x_mark:0.58365,0.58365,0.19360,0.16859,0.15976,0.31548,0.22879,0.27345
seed44,file_369d1f8224cacbef,asset_cf42023e5725393c,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000534.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00604_negative_asset_cf42023e5725393c.png,negative,negative,x_mark,0.58365,x_mark:0.58365,0.58365,0.19360,0.16859,0.15976,0.31548,0.22879,0.27345
seed44,file_9674c85380c83776,asset_e011f0b8ff9e8ada,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000541.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00611_negative_asset_e011f0b8ff9e8ada.png,negative,negative,x_mark,0.62711,x_mark:0.62711,0.62711,0.32023,0.35204,0.34688,0.38619,0.28416,0.33530
seed44,file_e994f3b131af2bbb,asset_601ca7d61640ccfb,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000542.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00612_negative_asset_601ca7d61640ccfb.png,negative,negative,x_mark,0.53359,x_mark:0.53359,0.53359,0.28373,0.29099,0.26835,0.41531,0.20411,0.42215
seed44,file_c13a2d81972022d0,asset_e011f0b8ff9e8ada,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000550.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00620_negative_asset_e011f0b8ff9e8ada.png,negative,negative,x_mark,0.62711,x_mark:0.62711,0.62711,0.32023,0.35204,0.34688,0.38619,0.28416,0.33530
seed44,file_520ad734884b6ab9,asset_601ca7d61640ccfb,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000551.png,vision_platform\ads\pilot\visual_family_smoke\dataset\images\vf_00621_negative_asset_601ca7d61640ccfb.png,negative,negative,x_mark,0.53359,x_mark:0.53359,0.53359,0.28373,0.29099,0.26835,0.41531,0.20411,0.42215
