parent_screen_id,source_screen_path,copied_screen_path,source_session,width,height,raw_proposals,candidates_kept,candidates_overflow,overlay_path,split_group
screen_0011,vision_platform\ads\collections\input_preclick_latest30_20260720\011_click_success_20260720_131147_043_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0011.png,input_preclick_latest30_20260720,960,540,11,7,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0011_overlay.png,input_preclick_latest30_20260720:screen_0011
screen_0012,vision_platform\ads\collections\input_preclick_latest30_20260720\012_click_success_20260720_131127_557_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0012.png,input_preclick_latest30_20260720,960,540,3,3,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0012_overlay.png,input_preclick_latest30_20260720:screen_0012
screen_0013,vision_platform\ads\collections\input_preclick_latest30_20260720\013_click_success_20260720_131117_976_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0013.png,input_preclick_latest30_20260720,960,540,6,6,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0013_overlay.png,input_preclick_latest30_20260720:screen_0013
screen_0014,vision_platform\ads\collections\input_preclick_latest30_20260720\014_click_success_20260720_131111_524_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0014.png,input_preclick_latest30_20260720,960,540,11,7,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0014_overlay.png,input_preclick_latest30_20260720:screen_0014
screen_0015,vision_platform\ads\collections\input_preclick_latest30_20260720\015_click_success_20260720_131051_630_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0015.png,input_preclick_latest30_20260720,960,540,3,3,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0015_overlay.png,input_preclick_latest30_20260720:screen_0015
screen_0016,vision_platform\ads\collections\input_preclick_latest30_20260720\016_click_success_20260720_131041_867_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0016.png,input_preclick_latest30_20260720,960,540,6,6,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0016_overlay.png,input_preclick_latest30_20260720:screen_0016
screen_0017,vision_platform\ads\collections\input_preclick_latest30_20260720\017_click_success_20260720_131035_745_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0017.png,input_preclick_latest30_20260720,960,540,7,3,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0017_overlay.png,input_preclick_latest30_20260720:screen_0017
screen_0018,vision_platform\ads\collections\input_preclick_latest30_20260720\018_click_success_20260720_131006_464_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0018.png,input_preclick_latest30_20260720,960,540,7,7,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0018_overlay.png,input_preclick_latest30_20260720:screen_0018
screen_0019,vision_platform\ads\collections\input_preclick_latest30_20260720\019_click_success_20260720_130959_556_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0019.png,input_preclick_latest30_20260720,960,540,7,3,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0019_overlay.png,input_preclick_latest30_20260720:screen_0019
screen_0020,vision_platform\ads\collections\input_preclick_latest30_20260720\020_click_success_20260720_130939_268_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0020.png,input_preclick_latest30_20260720,960,540,6,6,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0020_overlay.png,input_preclick_latest30_20260720:screen_0020
screen_0021,vision_platform\ads\collections\input_preclick_latest30_20260720\021_click_success_20260720_130930_231_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0021.png,input_preclick_latest30_20260720,960,540,9,9,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0021_overlay.png,input_preclick_latest30_20260720:screen_0021
screen_0022,vision_platform\ads\collections\input_preclick_latest30_20260720\022_click_success_20260720_130923_875_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0022.png,input_preclick_latest30_20260720,960,540,7,3,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0022_overlay.png,input_preclick_latest30_20260720:screen_0022
screen_0023,vision_platform\ads\collections\input_preclick_latest30_20260720\023_click_success_20260720_130903_720_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0023.png,input_preclick_latest30_20260720,960,540,9,9,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0023_overlay.png,input_preclick_latest30_20260720:screen_0023
screen_0024,vision_platform\ads\collections\input_preclick_latest30_20260720\024_click_success_20260720_130853_791_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0024.png,input_preclick_latest30_20260720,960,540,6,6,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0024_overlay.png,input_preclick_latest30_20260720:screen_0024
screen_0025,vision_platform\ads\collections\input_preclick_latest30_20260720\025_click_success_20260720_130847_331_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0025.png,input_preclick_latest30_20260720,960,540,10,9,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0025_overlay.png,input_preclick_latest30_20260720:screen_0025
screen_0026,vision_platform\ads\collections\input_preclick_latest30_20260720\026_click_success_20260720_130835_707_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0026.png,input_preclick_latest30_20260720,960,540,20,19,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0026_overlay.png,input_preclick_latest30_20260720:screen_0026
screen_0027,vision_platform\ads\collections\input_preclick_latest30_20260720\027_click_success_20260720_130810_399_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0027.png,input_preclick_latest30_20260720,960,540,9,9,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0027_overlay.png,input_preclick_latest30_20260720:screen_0027
screen_0028,vision_platform\ads\collections\input_preclick_latest30_20260720\028_click_success_20260720_120552_021_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0028.png,input_preclick_latest30_20260720,960,540,7,7,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0028_overlay.png,input_preclick_latest30_20260720:screen_0028
screen_0029,vision_platform\ads\collections\input_preclick_latest30_20260720\029_click_success_20260720_120545_838_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0029.png,input_preclick_latest30_20260720,960,540,18,18,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0029_overlay.png,input_preclick_latest30_20260720:screen_0029
screen_0030,vision_platform\ads\collections\input_preclick_latest30_20260720\030_click_success_20260720_120525_036_pre_click.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0030.png,input_preclick_latest30_20260720,960,540,13,12,0,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\overlays\screen_0030_overlay.png,input_preclick_latest30_20260720:screen_0030
