raw_proposal_id,parent_screen_id,parent_screen_path,source_screen_path,bbox,bbox_x,bbox_y,bbox_w,bbox_h,proposal_source,proposal_type,proposal_score,template_name,raw_proposal_crop_path,raw_payload
raw_s0002_0004,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,"[21,24,87,33]",21,24,87,33,close_template,template_match,0.847566,close_15.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0002_0004.png,"{""brightness_ratio"":2.3178537713129757}"
raw_s0002_0005,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,"[375,175,43,24]",375,175,43,24,close_template,template_match,0.80705,close_20.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0002_0005.png,"{""brightness_ratio"":0.934928039313834}"
raw_s0002_0006,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,"[451,141,43,24]",451,141,43,24,close_template,template_match,0.803485,close_20.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0002_0006.png,"{""brightness_ratio"":0.9179059578915446}"
raw_s0002_0007,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,"[513,113,43,24]",513,113,43,24,close_template,template_match,0.802123,close_20.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0002_0007.png,"{""brightness_ratio"":0.8791905054612511}"
raw_s0002_0008,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,"[457,23,38,25]",457,23,38,25,close_template,template_match,0.744757,close_4.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0002_0008.png,"{""brightness_ratio"":0.7707581732248232}"
raw_s0002_0009,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,"[386,70,38,25]",386,70,38,25,close_template,template_match,0.728607,close_4.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0002_0009.png,"{""brightness_ratio"":1.2588885231724398}"
raw_s0002_0010,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,"[76,34,16,18]",76,34,16,18,geometry_x,x_geometry,0.924219,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0002_0010.png,"{""score"":0.9242185426133497,""method"":""axis"",""line_down"":[76,35,91,50],""line_up"":[76,50,91,35],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":1.0,""center_offset"":0.047845251858234406,""fill"":0.4965277777777778,""axis_union"":0.8111888111888111,""axis_balance"":1.0,""continuity"":1.0,""max_gap_ratio"":0.0,""continuity_coverage"":1.0,""axis_span_down_px"":14.142134666442871,""axis_span_up_px"":14.142134666442871,""min_arm_pixels"":13,""min_arm_extent_px"":2.6725902557373047,""min_arm_coverage"":1.0,""center_pixels"":26,""center_thickness_ratio"":0.8700882719951111,""arm_down_neg_px"":13,""arm_down_pos_px"":36,""arm_up_neg_px"":13,""arm_up_pos_px"":36,""arm_down_neg_cov"":1.0,""arm_down_pos_cov"":1.0,""arm_up_neg_cov"":1.0,""arm_up_pos_cov"":1.0,""axis_core_union"":0.40559440559440557,""axis_core_balance"":1.0,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""white_soft"",""mode"":""white""}"
raw_s0002_0011,screen_0002,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0002.png,vision_platform\ads\collections\input_preclick_latest30_20260720\002_click_success_20260720_131747_541_pre_click.png,"[905,28,28,30]",905,28,28,30,geometry_x,x_geometry,0.884352,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0002_0011.png,"{""score"":0.884351602019332,""method"":""axis"",""line_down"":[905,29,932,56],""line_up"":[905,56,932,29],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":1.0,""center_offset"":0.07008671015501022,""fill"":0.4297619047619048,""axis_union"":0.7451523545706371,""axis_balance"":0.9492753623188406,""continuity"":1.0,""max_gap_ratio"":0.0,""continuity_coverage"":1.0,""axis_span_down_px"":25.45584487915039,""axis_span_up_px"":25.45584487915039,""min_arm_pixels"":36,""min_arm_extent_px"":4.0052809715271,""min_arm_coverage"":1.0,""center_pixels"":58,""center_thickness_ratio"":0.7095043294065126,""arm_down_neg_px"":78,""arm_down_pos_px"":38,""arm_up_neg_px"":36,""arm_up_pos_px"":71,""arm_down_neg_cov"":1.0,""arm_down_pos_cov"":1.0,""arm_up_neg_cov"":1.0,""arm_up_pos_cov"":1.0,""axis_core_union"":0.4487534626038781,""axis_core_balance"":1.0,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""white_soft"",""mode"":""white""}"
raw_s0003_0001,screen_0003,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0003.png,vision_platform\ads\collections\input_preclick_latest30_20260720\003_click_success_20260720_131727_006_pre_click.png,"[909,58,43,46]",909,58,43,46,close_template,template_match,0.83119,ad_issue_20260606_045316_roi_0.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0003_0001.png,"{""brightness_ratio"":1.043905169698463}"
raw_s0003_0002,screen_0003,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0003.png,vision_platform\ads\collections\input_preclick_latest30_20260720\003_click_success_20260720_131727_006_pre_click.png,"[30,29,74,23]",30,29,74,23,close_template,template_match,0.96631,close_11.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0003_0002.png,"{""brightness_ratio"":1.4733993508063}"
raw_s0003_0003,screen_0003,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0003.png,vision_platform\ads\collections\input_preclick_latest30_20260720\003_click_success_20260720_131727_006_pre_click.png,"[21,24,87,33]",21,24,87,33,close_template,template_match,0.85045,close_15.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0003_0003.png,"{""brightness_ratio"":2.4797495424332916}"
raw_s0003_0004,screen_0003,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0003.png,vision_platform\ads\collections\input_preclick_latest30_20260720\003_click_success_20260720_131727_006_pre_click.png,"[76,35,16,17]",76,35,16,17,geometry_x,x_geometry,0.925243,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0003_0004.png,"{""score"":0.9252431993402422,""method"":""axis"",""line_down"":[76,36,91,51],""line_up"":[76,51,91,35],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":1.0,""center_offset"":0.04411395639181137,""fill"":0.49264705882352944,""axis_union"":0.8805970149253731,""axis_balance"":0.9032258064516129,""continuity"":1.0,""max_gap_ratio"":0.0,""continuity_coverage"":1.0,""axis_span_down_px"":14.142135620117188,""axis_span_up_px"":14.142135620117188,""min_arm_pixels"":13,""min_arm_extent_px"":3.0261435508728027,""min_arm_coverage"":1.0,""center_pixels"":22,""center_thickness_ratio"":0.7888271030390098,""arm_down_neg_px"":13,""arm_down_pos_px"":34,""arm_up_neg_px"":13,""arm_up_pos_px"":34,""arm_down_neg_cov"":1.0,""arm_down_pos_cov"":1.0,""arm_up_neg_cov"":1.0,""arm_up_pos_cov"":1.0,""axis_core_union"":0.5373134328358209,""axis_core_balance"":0.9459459459459459,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""white_strict"",""mode"":""white""}"
raw_s0003_0005,screen_0003,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0003.png,vision_platform\ads\collections\input_preclick_latest30_20260720\003_click_success_20260720_131727_006_pre_click.png,"[598,141,17,16]",598,141,17,16,geometry_x,x_geometry,0.918508,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0003_0005.png,"{""score"":0.9185075803414794,""method"":""axis"",""line_down"":[599,141,614,156],""line_up"":[599,156,613,141],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":0.9856262456081426,""center_offset"":0.024461986497044563,""fill"":0.41544117647058826,""axis_union"":0.831858407079646,""axis_balance"":0.9183673469387755,""continuity"":1.0,""max_gap_ratio"":0.0,""continuity_coverage"":1.0,""axis_span_down_px"":17.218050003051758,""axis_span_up_px"":16.970561981201172,""min_arm_pixels"":18,""min_arm_extent_px"":5.571728229522705,""min_arm_coverage"":1.0,""center_pixels"":10,""center_thickness_ratio"":0.4905339702963829,""arm_down_neg_px"":23,""arm_down_pos_px"":20,""arm_up_neg_px"":22,""arm_up_pos_px"":18,""arm_down_neg_cov"":1.0,""arm_down_pos_cov"":1.0,""arm_up_neg_cov"":1.0,""arm_up_pos_cov"":1.0,""axis_core_union"":0.5132743362831859,""axis_core_balance"":0.8709677419354839,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""white_strict"",""mode"":""white""}"
raw_s0003_0006,screen_0003,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0003.png,vision_platform\ads\collections\input_preclick_latest30_20260720\003_click_success_20260720_131727_006_pre_click.png,"[905,28,28,30]",905,28,28,30,geometry_x,x_geometry,0.880045,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0003_0006.png,"{""score"":0.8800445686714837,""method"":""axis"",""line_down"":[905,29,932,56],""line_up"":[905,56,932,29],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":0.998611064697546,""center_offset"":0.08094541728496552,""fill"":0.3595238095238095,""axis_union"":0.7350993377483444,""axis_balance"":0.9646017699115044,""continuity"":1.0,""max_gap_ratio"":0.0,""continuity_coverage"":1.0,""axis_span_down_px"":25.45584487915039,""axis_span_up_px"":25.420488357543945,""min_arm_pixels"":31,""min_arm_extent_px"":4.0052809715271,""min_arm_coverage"":1.0,""center_pixels"":40,""center_thickness_ratio"":0.5623364989606496,""arm_down_neg_px"":69,""arm_down_pos_px"":31,""arm_up_neg_px"":31,""arm_up_pos_px"":61,""arm_down_neg_cov"":1.0,""arm_down_pos_cov"":1.0,""arm_up_neg_cov"":1.0,""arm_up_pos_cov"":1.0,""axis_core_union"":0.4470198675496689,""axis_core_balance"":0.9565217391304348,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""white_strict"",""mode"":""white""}"
raw_s0003_0007,screen_0003,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\screens\screen_0003.png,vision_platform\ads\collections\input_preclick_latest30_20260720\003_click_success_20260720_131727_006_pre_click.png,"[528,141,16,16]",528,141,16,16,geometry_x,x_geometry,0.874889,__geometry_close.png,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\raw_proposal_crops\raw_s0003_0007.png,"{""score"":0.8748886742849971,""method"":""axis"",""line_down"":[528,141,543,156],""line_up"":[528,156,543,141],""angle_down"":45.0,""angle_up"":135.0,""angle_delta"":0.0,""orth_delta"":0.0,""length_ratio"":0.9958505954702735,""center_offset"":0.020093899220228195,""fill"":0.5234375,""axis_union"":0.746268656716418,""axis_balance"":0.8181818181818182,""continuity"":1.0,""max_gap_ratio"":0.0,""continuity_coverage"":1.0,""axis_span_down_px"":17.04127311706543,""axis_span_up_px"":16.970561981201172,""min_arm_pixels"":16,""min_arm_extent_px"":6.455610752105713,""min_arm_coverage"":1.0,""center_pixels"":12,""center_thickness_ratio"":0.4920686584324043,""arm_down_neg_px"":25,""arm_down_pos_px"":26,""arm_up_neg_px"":25,""arm_up_pos_px"":16,""arm_down_neg_cov"":1.0,""arm_down_pos_cov"":1.0,""arm_up_neg_cov"":1.0,""arm_up_pos_cov"":1.0,""axis_core_union"":0.35074626865671643,""axis_core_balance"":0.88,""fit_error"":0.0,""extra_error"":0.0,""missing_error"":0.0,""center_extra_error"":0.0,""stroke_width"":0.0,""gate"":""white_strict"",""mode"":""white""}"
