instance_id,content_id,relative_path,candidate_id,parent_screen_id,proposal_sources,proposal_score_max,suggestion_family,top_probability,raw_bbox_crop_path
file_5ce78799ea2b0c99,asset_8e2e86314c22874b,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_004_bbox.png,cxp_s0002_004,screen_0002,close_template,0.819788,arrow,0.71292,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_004_bbox.png
file_6b20f7805552d96f,asset_f47e91323d14c3f2,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_005_bbox.png,cxp_s0002_005,screen_0002,close_template,0.80705,arrow,0.57700,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_005_bbox.png
file_2b679c606d11b570,asset_2273d1828cf04484,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_006_bbox.png,cxp_s0002_006,screen_0002,close_template,0.803485,arrow,0.79681,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_006_bbox.png
file_30a20543312cd68f,asset_b42615e76678e87f,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_007_bbox.png,cxp_s0002_007,screen_0002,close_template,0.802123,arrow,0.86824,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_007_bbox.png
file_cd61d54c1a324a82,asset_373f5bb225194e09,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_008_bbox.png,cxp_s0002_008,screen_0002,close_template,0.780801,x_mark,0.81164,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_008_bbox.png
file_57ddac5235736be6,asset_22d7390c028049d5,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_009_bbox.png,cxp_s0002_009,screen_0002,close_template,0.744757,negative,0.16348,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_009_bbox.png
file_0aa038d5647672b3,asset_8644a26df82bff5e,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_010_bbox.png,cxp_s0002_010,screen_0002,close_template,0.728607,arrow,0.74615,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0002_010_bbox.png
file_e484ee9628c7d107,asset_da8523fd5577d624,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_001_bbox.png,cxp_s0003_001,screen_0003,close_template,0.96631,arrow,0.86532,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_001_bbox.png
file_5496a66402a3e46c,asset_9ce2289aa27dad1c,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_002_bbox.png,cxp_s0003_002,screen_0003,geometry_x,0.925243,x_mark,0.71508,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_002_bbox.png
file_94e12935fc602285,asset_c184b3e3d366270c,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_003_bbox.png,cxp_s0003_003,screen_0003,geometry_x,0.918508,arrow,0.68761,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_003_bbox.png
file_3c9091ed54ee62fd,asset_e02735cdb43ec2ad,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_004_bbox.png,cxp_s0003_004,screen_0003,geometry_x,0.880045,x_mark,0.80928,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_004_bbox.png
file_7c9098a853c6dfab,asset_211c7581bb1c2fd9,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_005_bbox.png,cxp_s0003_005,screen_0003,geometry_x,0.874889,x_mark,0.54740,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_005_bbox.png
file_5485c4feb930323c,asset_8ef30046ea02c04d,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_006_bbox.png,cxp_s0003_006,screen_0003,geometry_x,0.863337,negative,0.39824,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_006_bbox.png
file_0faf6cee75489fd1,asset_095efc7a5e1f8a5d,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_007_bbox.png,cxp_s0003_007,screen_0003,geometry_x,0.862207,negative,0.36763,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_007_bbox.png
file_11dd05992be112bf,asset_d01e95a495cdb798,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_008_bbox.png,cxp_s0003_008,screen_0003,geometry_x,0.860947,negative,0.48423,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_008_bbox.png
file_08ea65d6b8567227,asset_21fd1348aa3c6f0a,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_009_bbox.png,cxp_s0003_009,screen_0003,geometry_x,0.843268,negative,0.15099,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_009_bbox.png
file_7bf1cf7344545c9b,asset_520cd1bf4d74d6a8,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_010_bbox.png,cxp_s0003_010,screen_0003,close_template,0.83119,arrow,0.84112,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_010_bbox.png
file_f3b3d712baa090e6,asset_aa3da2fc3b26511e,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_011_bbox.png,cxp_s0003_011,screen_0003,geometry_x,0.809899,negative,0.31976,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_011_bbox.png
file_9f36a75bd5ee2734,asset_e6dfdf88771da4fa,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_012_bbox.png,cxp_s0003_012,screen_0003,geometry_x,0.76429,negative,0.17635,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_012_bbox.png
file_2ef1783e08712764,asset_01dfcbf892d945bd,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_013_bbox.png,cxp_s0003_013,screen_0003,geometry_x,0.7617,negative,0.47418,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0003_013_bbox.png
file_860fa15aaa45de05,asset_6b50b62144a847c3,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_001_bbox.png,cxp_s0004_001,screen_0004,geometry_x,0.92058,negative,0.41786,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_001_bbox.png
file_2d8283246f6d1747,asset_0305cd784a9a54c5,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_002_bbox.png,cxp_s0004_002,screen_0004,geometry_x,0.881888,arrow,0.84009,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_002_bbox.png
file_0504f16d03e82c3e,asset_25dc830e1a1b4503,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_003_bbox.png,cxp_s0004_003,screen_0004,geometry_x,0.847751,negative,0.05684,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_003_bbox.png
file_7debadda25ddc122,asset_57d1fc1da943df85,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_004_bbox.png,cxp_s0004_004,screen_0004,geometry_x,0.818714,x_mark,0.79168,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_004_bbox.png
file_2dcdd170bc6947ae,asset_a19fa23d234f9866,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_005_bbox.png,cxp_s0004_005,screen_0004,geometry_x,0.818537,negative,0.09754,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_005_bbox.png
file_1223b764f7913b5a,asset_d5bb1e77da667e36,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_006_bbox.png,cxp_s0004_006,screen_0004,geometry_x,0.798751,arrow,0.54228,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_006_bbox.png
file_1cea74376f896961,asset_3d4d4e9079f583ca,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_007_bbox.png,cxp_s0004_007,screen_0004,close_template,0.737315,negative,0.30894,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_007_bbox.png
file_27aec790c96965d7,asset_1fee60bbe3ea210e,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_008_bbox.png,cxp_s0004_008,screen_0004,close_template,0.736665,negative,0.24434,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_008_bbox.png
file_682e20dcb64cdd54,asset_80ee4f4e9a213d35,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_009_bbox.png,cxp_s0004_009,screen_0004,geometry_x,0.660447,x_mark,0.82344,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0004_009_bbox.png
file_e4c617f1ce38fbac,asset_54edcc7d45317510,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_001_bbox.png,cxp_s0005_001,screen_0005,geometry_x,0.901446,x_mark,0.53564,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_001_bbox.png
file_740288edb8b357b1,asset_1a58cdc4bcbed242,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_002_bbox.png,cxp_s0005_002,screen_0005,geometry_x,0.884426,negative,0.48448,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_002_bbox.png
file_87991c3fefc75866,asset_89c9eaf0e86764d3,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_003_bbox.png,cxp_s0005_003,screen_0005,geometry_x,0.855596,x_mark,0.77226,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_003_bbox.png
file_31c8bf4955020642,asset_4069a8c8f53480a7,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_004_bbox.png,cxp_s0005_004,screen_0005,geometry_x,0.811805,negative,0.48378,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_004_bbox.png
file_e758a3bbdbf56a6b,asset_c0a2597efbcc86af,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_005_bbox.png,cxp_s0005_005,screen_0005,geometry_x,0.804688,x_mark,0.57580,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_005_bbox.png
file_2b0a992dbcfdca08,asset_baa644fbef24d8f5,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_006_bbox.png,cxp_s0005_006,screen_0005,geometry_x,0.804057,negative,0.44935,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_006_bbox.png
file_e6f8eb554026f822,asset_4448c3acd2603486,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_007_bbox.png,cxp_s0005_007,screen_0005,geometry_x,0.781768,next,0.51783,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_007_bbox.png
file_67208e0d34e24ca5,asset_1c15db447481be43,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_008_bbox.png,cxp_s0005_008,screen_0005,geometry_x,0.775111,arrow,0.72292,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0005_008_bbox.png
file_1f890b344000b7e4,asset_8f835eaf1380194e,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_001_bbox.png,cxp_s0006_001,screen_0006,close_template|geometry_x,0.986077,x_mark,0.67152,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_001_bbox.png
file_d0f1b5c1268babad,asset_bbcf4e0f28f8f571,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_002_bbox.png,cxp_s0006_002,screen_0006,close_template,0.978986,x_mark,0.60729,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_002_bbox.png
file_15b81bcdc1dbc4cc,asset_97187a0c95492dbd,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_003_bbox.png,cxp_s0006_003,screen_0006,geometry_x,0.909977,arrow,0.71963,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_003_bbox.png
file_c7684686399a6d21,asset_c1b2d3849bcb46ef,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_004_bbox.png,cxp_s0006_004,screen_0006,geometry_x,0.879444,x_mark,0.79086,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_004_bbox.png
file_4f5e132c4e5c3ca4,asset_7fdfb6c51501bba9,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_005_bbox.png,cxp_s0006_005,screen_0006,geometry_x,0.868908,x_mark,0.50612,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_005_bbox.png
file_e1e608e137781768,asset_2e7c63bb74f17e8b,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_006_bbox.png,cxp_s0006_006,screen_0006,geometry_x,0.863534,negative,0.38032,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_006_bbox.png
file_47b7ef87110aec85,asset_055d918b1c92923e,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_007_bbox.png,cxp_s0006_007,screen_0006,geometry_x,0.860337,negative,0.36291,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_007_bbox.png
file_22cdb486141d513c,asset_e10283f3c5be8131,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_008_bbox.png,cxp_s0006_008,screen_0006,geometry_x,0.84974,negative,0.49001,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_008_bbox.png
file_84b851818c2c433d,asset_7520286ea77309b6,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_009_bbox.png,cxp_s0006_009,screen_0006,geometry_x,0.843268,negative,0.09742,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_009_bbox.png
file_d3d84558ce158d2a,asset_0cc0c6caf16e5df4,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_010_bbox.png,cxp_s0006_010,screen_0006,geometry_x,0.801772,negative,0.48020,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_010_bbox.png
file_b6a4d72c8b2f5b2b,asset_1762dc33c8e1b4a0,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_011_bbox.png,cxp_s0006_011,screen_0006,geometry_x,0.797411,negative,0.16072,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_011_bbox.png
file_5933688326eda3b8,asset_362eee6a79fcaca7,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_012_bbox.png,cxp_s0006_012,screen_0006,geometry_x,0.7846,negative,0.48887,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_012_bbox.png
file_5a465afad83c9bee,asset_f598dd2b73e77d8d,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_013_bbox.png,cxp_s0006_013,screen_0006,close_template,0.783516,x_mark,0.53495,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_013_bbox.png
file_d62b33e1c9fb2b0b,asset_504842a2413f91de,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_014_bbox.png,cxp_s0006_014,screen_0006,geometry_x,0.769728,arrow,0.85943,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_014_bbox.png
file_a1244eb405e8d1f2,asset_021c96aa8f55fcfd,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_015_bbox.png,cxp_s0006_015,screen_0006,close_template,0.740467,x_mark,0.56325,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0006_015_bbox.png
file_80e3882935fa090b,asset_5c281abd5f0f60cf,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_001_bbox.png,cxp_s0007_001,screen_0007,geometry_x,0.901446,x_mark,0.51316,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_001_bbox.png
file_f63a2e4d02b4a1fb,asset_208086b53e0d7230,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_002_bbox.png,cxp_s0007_002,screen_0007,geometry_x,0.884426,negative,0.48418,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_002_bbox.png
file_5fbdd3ebec7589eb,asset_4268dd810a18046b,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_003_bbox.png,cxp_s0007_003,screen_0007,geometry_x,0.882547,negative,0.47656,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_003_bbox.png
file_2e3656621afad297,asset_89c9eaf0e86764d3,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_004_bbox.png,cxp_s0007_004,screen_0007,geometry_x,0.855596,x_mark,0.77226,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_004_bbox.png
file_33d3f63cb485dce4,asset_73a00be9599f809a,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_005_bbox.png,cxp_s0007_005,screen_0007,geometry_x,0.805321,negative,0.49334,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_005_bbox.png
file_ff8b4cf04e03e4e5,asset_c0a2597efbcc86af,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_006_bbox.png,cxp_s0007_006,screen_0007,geometry_x,0.804688,x_mark,0.57580,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_006_bbox.png
file_7cc99e6c2577a342,asset_6eca23832ca48dc6,vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_007_bbox.png,cxp_s0007_007,screen_0007,geometry_x,0.804057,negative,0.38061,D:\Projects\adb_vl\vision_platform\ads\collections\close_x_proposal_collection_pilot_20260720_latest30\crops\raw_bbox\cxp_s0007_007_bbox.png
