reason,instance_id,content_id,relative_path,original_path,model_suggestion,human_families,top_family,top_prob,p_x_mark,p_play_triangle,p_google_play,p_next,p_free,p_got,p_arrow,review_status,note
no_overlap,file_b07faf42176367f9,asset_975338eb7abf4fba,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000206.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000206.png,arrow,x_mark,arrow,0.66542,0.58396,0.40064,0.39389,0.57729,0.33863,0.34639,0.66542,reviewed,
no_overlap,file_0174b767cdb80e0d,asset_50ad02b705cc23fb,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000153.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000153.png,x_mark,arrow,x_mark,0.66333,0.66333,0.20438,0.23314,0.28975,0.55514,0.38846,0.49848,reviewed,
no_overlap,file_1da5901059e13361,asset_d63984efea65ebca,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000196.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000196.png,arrow,x_mark,arrow,0.65648,0.57248,0.40174,0.38479,0.56618,0.33180,0.33181,0.65648,reviewed,
no_overlap,file_3d395ad108b7d05d,asset_d0d6af500a45886e,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000142.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000142.png,x_mark,arrow,x_mark,0.59955,0.59955,0.03792,0.13510,0.22332,0.14945,0.25856,0.50246,reviewed,
no_overlap,file_305f139217f54d07,asset_c966fc39fcf6d4e7,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000081.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000081.png,x_mark,arrow,x_mark,0.58461,0.58461,0.03600,0.13275,0.21772,0.13367,0.24642,0.48763,reviewed,
no_overlap,file_24c0d6de0c1393cc,asset_36d53dd90fea6af5,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000020.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000020.png,free,x_mark,free,0.57668,0.42347,0.09351,0.12541,0.23803,0.57668,0.24386,0.20592,reviewed,
no_overlap,file_ab1710fbb3d42a20,asset_36d53dd90fea6af5,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000026.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000026.png,free,x_mark,free,0.57668,0.42347,0.09351,0.12541,0.23803,0.57668,0.24386,0.20592,reviewed,
no_overlap,file_9e73e5c86075a3d7,asset_36d53dd90fea6af5,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000043.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000043.png,free,x_mark,free,0.57668,0.42347,0.09351,0.12541,0.23803,0.57668,0.24386,0.20592,reviewed,
no_overlap,file_2d4f3be6124177ed,asset_36d53dd90fea6af5,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000068.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000068.png,free,x_mark,free,0.57668,0.42347,0.09351,0.12541,0.23803,0.57668,0.24386,0.20592,reviewed,
no_overlap,file_b487d08eaa24eee8,asset_ea993f5a4033cd11,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000059.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000059.png,free,x_mark,free,0.57652,0.42151,0.09356,0.12352,0.23906,0.57652,0.24848,0.20612,reviewed,
no_overlap,file_9d15a57210e6aeca,asset_e4368f59b3fb23a5,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000088.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000088.png,x_mark,next,x_mark,0.54634,0.54634,0.13744,0.03154,0.26212,0.45134,0.27821,0.29165,pending,
no_overlap,file_b3d3d941c081f532,asset_713d9bd8585df68b,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000201.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000201.png,x_mark,arrow,x_mark,0.51352,0.51352,0.20854,0.16670,0.20294,0.17351,0.08086,0.36843,reviewed,
no_overlap,file_17d3cc87b3c2ec90,asset_0f3b38cb29c91625,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000038.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000038.png,free,x_mark,free,0.49177,0.36763,0.11096,0.06963,0.15828,0.49177,0.36060,0.24495,reviewed,
no_overlap,file_f7dfb27948729023,asset_0f3b38cb29c91625,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000047.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000047.png,free,x_mark,free,0.49177,0.36763,0.11096,0.06963,0.15828,0.49177,0.36060,0.24495,reviewed,
no_overlap,file_1874c0dc9d5aed2f,asset_f2256dfcb0dd71f5,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000209.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000209.png,free,x_mark,free,0.47182,0.35959,0.04950,0.06140,0.16622,0.47182,0.17624,0.17995,reviewed,
no_overlap,file_42eec0ac8415b5a9,asset_232e5768608a77e9,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000158.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000158.png,x_mark,got,x_mark,0.37171,0.37171,0.08095,0.02420,0.10176,0.20604,0.32100,0.12332,reviewed,
no_overlap,file_2366ed5d4044abf4,asset_aaa32e3378ef441e,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000147.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000147.png,x_mark,got,x_mark,0.36954,0.36954,0.10238,0.02211,0.11407,0.22430,0.34666,0.10370,reviewed,
no_overlap,file_5e205dc34084d8c9,asset_ec36a0a1359d3407,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000151.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000151.png,x_mark,got,x_mark,0.36863,0.36863,0.10169,0.02548,0.12415,0.21886,0.32643,0.14123,reviewed,
no_overlap,file_aecc4f11488efbe5,asset_e1d07199af8a6097,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000109.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000109.png,got,google_play,got,0.35501,0.22278,0.30412,0.06485,0.27908,0.27326,0.35501,0.20063,reviewed,
no_overlap,file_5de41a6bf1b64cd8,asset_b2059348cf385652,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000032.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000032.png,free,x_mark,free,0.29779,0.14348,0.01262,0.01550,0.04641,0.29779,0.06389,0.04318,reviewed,
no_overlap,file_820f998b0a7abeb8,asset_5b8b9efcafa07e95,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000169.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000169.png,free,got,free,0.28925,0.22272,0.13985,0.04983,0.09021,0.28925,0.28417,0.20304,reviewed,
no_overlap,file_277c59c085cb6c63,asset_91180915c5701b39,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000027.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000027.png,x_mark,got,x_mark,0.28579,0.28579,0.06753,0.03081,0.12801,0.16611,0.27961,0.15019,reviewed,
no_overlap,file_94a20eedf014cf98,asset_72017d57ab286b02,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000090.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000090.png,x_mark,got,x_mark,0.27268,0.27268,0.06266,0.02773,0.12786,0.14896,0.26331,0.15351,reviewed,
no_overlap,file_a8ea73fb4828899e,asset_e590a003cbc9ac92,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000039.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000039.png,free,got,free,0.26125,0.20263,0.10387,0.04409,0.09893,0.26125,0.23952,0.20431,reviewed,
no_overlap,file_0e60eb1ed3085fcf,asset_636c3a424581ad0e,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000113.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000113.png,free,got,free,0.25613,0.22082,0.13577,0.05102,0.09208,0.25613,0.25488,0.20635,reviewed,
no_overlap,file_b3bac06a83836101,asset_93e074b680c4fe7b,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000202.png,D:\Projects\adb_vl\vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000202.png,play_triangle,arrow,play_triangle,0.17723,0.08846,0.17723,0.01124,0.02961,0.03899,0.02856,0.13781,reviewed,
