image_path,label,review_status,source_screen,source_session,ad_source,icon_family,reject_type,candidate_score,geometry_score,bbox,split,instance_id,content_id,original_path,relative_path,vision_domain,asset_type,asset_role,representation,sample_role,sub_role
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00011_close_asset_2a7b5573529608a3.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_2a7b5573529608a3,ads2\assets\1_templates,template,action_target,,,,,file_a4f0c7925d120a09,asset_2a7b5573529608a3,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00012_close_asset_8829832efa233731.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_8829832efa233731,ads2\assets\1_templates,template,action_target,,,,,file_8adc86c006864b12,asset_8829832efa233731,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00013_close_asset_bf08eee05826fbbb.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_bf08eee05826fbbb,ads2\assets\1_templates,template,action_target,,,,,file_541955e3cd16d297,asset_bf08eee05826fbbb,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00014_close_asset_d67b35832487e707.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_d67b35832487e707,ads2\assets\1_templates,template,action_target,,,,,file_f897e9b9181629ee,asset_d67b35832487e707,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00015_close_asset_0038b293d3fef86c.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_0038b293d3fef86c,ads2\assets\1_templates,template,action_target,,,,,file_183d636c777c6ea5,asset_0038b293d3fef86c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00016_close_asset_c67d1ef1a4afa50d.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_c67d1ef1a4afa50d,ads2\assets\1_templates,template,action_target,,,,,file_50c793b7bc956a13,asset_c67d1ef1a4afa50d,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_1.png,ads2\assets\1_templates\close_icons\close_1.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00017_close_asset_5b3fbaac886e6b1c.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_5b3fbaac886e6b1c,ads2\assets\1_templates,template,action_target,,,,,file_13eecab8cd7c9374,asset_5b3fbaac886e6b1c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_10.png,ads2\assets\1_templates\close_icons\close_10.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00018_close_asset_814457f65714bfe8.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_814457f65714bfe8,ads2\assets\1_templates,template,action_target,,,,,file_910f6d13ad48178b,asset_814457f65714bfe8,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_11.png,ads2\assets\1_templates\close_icons\close_11.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00019_close_asset_44aa502360ac075b.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_44aa502360ac075b,ads2\assets\1_templates,template,action_target,,,,,file_88b1cc8a3de93123,asset_44aa502360ac075b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_12.png,ads2\assets\1_templates\close_icons\close_12.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00020_close_asset_781a510f3a857316.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_781a510f3a857316,ads2\assets\1_templates,template,action_target,,,,,file_a5a5bd5ba2f1d724,asset_781a510f3a857316,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_13.png,ads2\assets\1_templates\close_icons\close_13.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00021_close_asset_7513f11f0e141a8c.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_7513f11f0e141a8c,ads2\assets\1_templates,template,action_target,,,,,file_e01dd7c029653e86,asset_7513f11f0e141a8c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_14.png,ads2\assets\1_templates\close_icons\close_14.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00022_close_asset_b7e64faadd9ca7c4.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_b7e64faadd9ca7c4,ads2\assets\1_templates,template,action_target,,,,,file_4bf9c732ffcf4bd7,asset_b7e64faadd9ca7c4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_15.png,ads2\assets\1_templates\close_icons\close_15.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00023_close_asset_5d7e57a62103e2c1.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_5d7e57a62103e2c1,ads2\assets\1_templates,template,action_target,,,,,file_f1c7f92038128586,asset_5d7e57a62103e2c1,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_16.png,ads2\assets\1_templates\close_icons\close_16.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00024_close_asset_9fdb4db2e3fe6848.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_9fdb4db2e3fe6848,ads2\assets\1_templates,template,action_target,,,,,file_c6293287feb9bff3,asset_9fdb4db2e3fe6848,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_17.png,ads2\assets\1_templates\close_icons\close_17.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00025_close_asset_db80ab2f7ad7e606.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_db80ab2f7ad7e606,ads2\assets\1_templates,template,action_target,,,,,file_54f5287c84fc7e1d,asset_db80ab2f7ad7e606,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_18.png,ads2\assets\1_templates\close_icons\close_18.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00026_close_asset_e3aa0c73c537c671.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_e3aa0c73c537c671,ads2\assets\1_templates,template,action_target,,,,,file_a195dd7ba6135547,asset_e3aa0c73c537c671,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_19.png,ads2\assets\1_templates\close_icons\close_19.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00027_close_asset_565f2f8c61c441ed.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_565f2f8c61c441ed,ads2\assets\1_templates,template,action_target,,,,,file_e16e35dc922172f8,asset_565f2f8c61c441ed,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_2.png,ads2\assets\1_templates\close_icons\close_2.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00028_close_asset_fe436527d7d5643c.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_fe436527d7d5643c,ads2\assets\1_templates,template,action_target,,,,,file_2200224e47c6acf2,asset_fe436527d7d5643c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_20.png,ads2\assets\1_templates\close_icons\close_20.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00029_close_asset_927b02d71a0d5e87.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_927b02d71a0d5e87,ads2\assets\1_templates,template,action_target,,,,,file_857e5225a2b06af8,asset_927b02d71a0d5e87,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_21.png,ads2\assets\1_templates\close_icons\close_21.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00030_close_asset_384d89598f4f57fc.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_384d89598f4f57fc,ads2\assets\1_templates,template,action_target,,,,,file_d109bb027585db3a,asset_384d89598f4f57fc,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_22.png,ads2\assets\1_templates\close_icons\close_22.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00031_close_asset_0f7f87e6da29ae62.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_0f7f87e6da29ae62,ads2\assets\1_templates,template,action_target,,,,,file_abf6a9593a794d4f,asset_0f7f87e6da29ae62,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_23.png,ads2\assets\1_templates\close_icons\close_23.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00032_close_asset_0adb2ecfead6543b.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_0adb2ecfead6543b,ads2\assets\1_templates,template,action_target,,,,,file_4a39bc8220b54bcf,asset_0adb2ecfead6543b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_24.png,ads2\assets\1_templates\close_icons\close_24.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00033_close_asset_d9b4a93cc253ae66.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_d9b4a93cc253ae66,ads2\assets\1_templates,template,action_target,,,,,file_acc7870ed969732e,asset_d9b4a93cc253ae66,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_25.png,ads2\assets\1_templates\close_icons\close_25.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00034_close_asset_649d289a08c9fe33.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_649d289a08c9fe33,ads2\assets\1_templates,template,action_target,,,,,file_2aafaa2342e7ff6d,asset_649d289a08c9fe33,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_3.png,ads2\assets\1_templates\close_icons\close_3.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00035_close_asset_00f02ef77adb18c4.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_00f02ef77adb18c4,ads2\assets\1_templates,template,action_target,,,,,file_d4c87444e5015593,asset_00f02ef77adb18c4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_4.png,ads2\assets\1_templates\close_icons\close_4.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00036_close_asset_59b134576fd486a2.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_59b134576fd486a2,ads2\assets\1_templates,template,action_target,,,,,file_cd80a32dc3ce69d3,asset_59b134576fd486a2,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_5.png,ads2\assets\1_templates\close_icons\close_5.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00037_close_asset_acdbf97adac6c560.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_acdbf97adac6c560,ads2\assets\1_templates,template,action_target,,,,,file_144f33590c886b45,asset_acdbf97adac6c560,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_6.png,ads2\assets\1_templates\close_icons\close_6.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00038_close_asset_38da3057c3705cb4.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_38da3057c3705cb4,ads2\assets\1_templates,template,action_target,,,,,file_53c205606c848750,asset_38da3057c3705cb4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_7.png,ads2\assets\1_templates\close_icons\close_7.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00039_close_asset_071ca7bff74e053c.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_071ca7bff74e053c,ads2\assets\1_templates,template,action_target,,,,,file_af0af020e1d87e2e,asset_071ca7bff74e053c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_8.png,ads2\assets\1_templates\close_icons\close_8.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00040_close_asset_f54277695108c8b6.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_f54277695108c8b6,ads2\assets\1_templates,template,action_target,,,,,file_55b41688a921e7a4,asset_f54277695108c8b6,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_9.png,ads2\assets\1_templates\close_icons\close_9.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00041_close_asset_fc192034daaaf1b7.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_fc192034daaaf1b7,ads2\assets\1_templates,template,action_target,,,,,file_c88fffda1bde6376,asset_fc192034daaaf1b7,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_back_gp.png,ads2\assets\1_templates\close_icons\close_back_gp.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00042_close_asset_14abfab802adf40c.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_14abfab802adf40c,ads2\assets\1_templates,template,action_target,,,,,file_bde160b4ff62fd23,asset_14abfab802adf40c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_gp.png,ads2\assets\1_templates\close_icons\close_skip_gp.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00043_close_asset_bc5f8a22689dda23.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_bc5f8a22689dda23,ads2\assets\1_templates,template,action_target,,,,,file_e43f95fcbeed911e,asset_bc5f8a22689dda23,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_gp2.png,ads2\assets\1_templates\close_icons\close_skip_gp2.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00044_close_asset_5d48c64cdd081609.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_5d48c64cdd081609,ads2\assets\1_templates,template,action_target,,,,,file_85f3c0bdc5e04e1d,asset_5d48c64cdd081609,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_gp3.png,ads2\assets\1_templates\close_icons\close_skip_gp3.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00045_close_asset_ef6efb79aed47f4a.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_ef6efb79aed47f4a,ads2\assets\1_templates,template,action_target,,,,,file_1cb77f3034b09b56,asset_ef6efb79aed47f4a,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_next.png,ads2\assets\1_templates\close_icons\close_skip_next.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00046_close_asset_6e9c3a68167cfe89.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_6e9c3a68167cfe89,ads2\assets\1_templates,template,action_target,,,,,file_8aa403fa0a5d2da9,asset_6e9c3a68167cfe89,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_next2.png,ads2\assets\1_templates\close_icons\close_skip_next2.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00047_close_asset_b2c26a493402602b.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_b2c26a493402602b,ads2\assets\1_templates,template,action_target,,,,,file_7a30ab4de7eb758c,asset_b2c26a493402602b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_end.png,ads2\assets\1_templates\close_icons\close_x_end.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00048_close_asset_f23d35799ad854e5.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_f23d35799ad854e5,ads2\assets\1_templates,template,action_target,,,,,file_7b6a90286e8fac3a,asset_f23d35799ad854e5,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_end2.png,ads2\assets\1_templates\close_icons\close_x_end2.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00049_close_asset_702ce9c110ac8383.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_702ce9c110ac8383,ads2\assets\1_templates,template,action_target,,,,,file_91bbfc8a9546e898,asset_702ce9c110ac8383,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_gp.png,ads2\assets\1_templates\close_icons\close_x_gp.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00050_close_asset_ae17f2d94d0c0ab9.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_ae17f2d94d0c0ab9,ads2\assets\1_templates,template,action_target,,,,,file_3dbd94023a2aefb9,asset_ae17f2d94d0c0ab9,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_gp2.png,ads2\assets\1_templates\close_icons\close_x_gp2.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00051_close_asset_720686941c854cbf.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_720686941c854cbf,ads2\assets\1_templates,template,action_target,,,,,file_0da1190477d9a899,asset_720686941c854cbf,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_left.png,ads2\assets\1_templates\close_icons\close_x_left.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00052_close_asset_172ddc86ac086eee.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_172ddc86ac086eee,ads2\assets\1_templates,template,action_target,,,,,file_d69076ccf60a2327,asset_172ddc86ac086eee,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_momo.png,ads2\assets\1_templates\close_icons\close_x_momo.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00053_close_asset_6802a78b1f5efa66.png,close,reviewed,ads2/assets/1_templates/close_icons,asset_6802a78b1f5efa66,ads2\assets\1_templates,template,action_target,,,,,file_c590ebbfe9db64ca,asset_6802a78b1f5efa66,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_valor.png,ads2\assets\1_templates\close_icons\close_x_valor.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00054_close_asset_ca2b6cba35c5b2d0.png,close,reviewed,ads2/assets/1_templates/備份,asset_ca2b6cba35c5b2d0,ads2\assets\1_templates,template,action_target,,,,,file_ec85e8680fb6449d,asset_ca2b6cba35c5b2d0,D:\Projects\adb_vl\ads2\assets\1_templates\備份\ad_issue_20260606_043707_roi_0.png,ads2\assets\1_templates\備份\ad_issue_20260606_043707_roi_0.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00055_close_asset_600c1aa4b826d2ff.png,close,reviewed,ads2/assets/1_templates/備份,asset_600c1aa4b826d2ff,ads2\assets\1_templates,template,action_target,,,,,file_ecb42889e244410f,asset_600c1aa4b826d2ff,D:\Projects\adb_vl\ads2\assets\1_templates\備份\close_4.png,ads2\assets\1_templates\備份\close_4.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00056_close_asset_799dbc67f3bfef79.png,close,reviewed,ads2/assets/1_templates/備份,asset_799dbc67f3bfef79,ads2\assets\1_templates,template,action_target,,,,,file_7d7da0ebe8757d20,asset_799dbc67f3bfef79,D:\Projects\adb_vl\ads2\assets\1_templates\備份\close_x_1.png,ads2\assets\1_templates\備份\close_x_1.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00057_close_asset_36b1b5a10f89b840.png,close,reviewed,ads2/assets/1_templates/備份,asset_36b1b5a10f89b840,ads2\assets\1_templates,template,action_target,,,,,file_91401f9fb819693a,asset_36b1b5a10f89b840,D:\Projects\adb_vl\ads2\assets\1_templates\備份\close_x_trans.png,ads2\assets\1_templates\備份\close_x_trans.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00058_close_asset_4fbcd7df4f1e9032.png,close,reviewed,ads2/assets/1_templates/備份,asset_4fbcd7df4f1e9032,ads2\assets\1_templates,template,action_target,,,,,file_39c21fa7d94cb2a7,asset_4fbcd7df4f1e9032,D:\Projects\adb_vl\ads2\assets\1_templates\備份\close_x_white.png,ads2\assets\1_templates\備份\close_x_white.png,ads,template,template,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00059_close_asset_35ce5f07416b747b.png,close,reviewed,ads2/assets/2_communication,asset_35ce5f07416b747b,ads2\assets\2_communication,review_asset,action_target,,,,,file_2932d7af3ca12e43,asset_35ce5f07416b747b,D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260606_231704.png,ads2\assets\2_communication\crop_20260606_231704.png,ads,crop,review_asset,raw,action_target,
vision_platform\ads\pilot\action_classifier_v2\dataset\images\ads_action_v2_00060_close_asset_19b2ec4116cb41f1.png,close,reviewed,ads2/assets/2_communication,asset_19b2ec4116cb41f1,ads2\assets\2_communication,review_asset,action_target,,,,,file_713134c148f04c7e,asset_19b2ec4116cb41f1,D:\Projects\adb_vl\ads2\assets\2_communication\crop_20260607_082421.png,ads2\assets\2_communication\crop_20260607_082421.png,ads,crop,review_asset,raw,action_target,
