instance_id,families,review_status,note,content_id,original_path,relative_path,vision_domain,asset_role,image_scope,source_root,asset_type,representation,sample_role,sub_role,image_review_status
file_53f6b240d7847ed6,x_mark,reviewed,,asset_ca994ca16a3dcd00,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_a4f0c7925d120a09,x_mark,reviewed,,asset_2a7b5573529608a3,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_052302_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_8adc86c006864b12,next,reviewed,,asset_8829832efa233731,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_081550_roi_9.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_541955e3cd16d297,google_play,reviewed,,asset_bf08eee05826fbbb,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_082946_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_f897e9b9181629ee,google_play,reviewed,,asset_d67b35832487e707,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_183d636c777c6ea5,google_play,reviewed,,asset_0038b293d3fef86c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads2\assets\1_templates\close_icons\ad_issue_20260606_084107_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_50c793b7bc956a13,arrow,reviewed,,asset_c67d1ef1a4afa50d,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_1.png,ads2\assets\1_templates\close_icons\close_1.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_13eecab8cd7c9374,arrow,reviewed,,asset_5b3fbaac886e6b1c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_10.png,ads2\assets\1_templates\close_icons\close_10.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_910f6d13ad48178b,arrow,reviewed,,asset_814457f65714bfe8,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_11.png,ads2\assets\1_templates\close_icons\close_11.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_88b1cc8a3de93123,x_mark,reviewed,,asset_44aa502360ac075b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_12.png,ads2\assets\1_templates\close_icons\close_12.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_a5a5bd5ba2f1d724,arrow,reviewed,,asset_781a510f3a857316,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_13.png,ads2\assets\1_templates\close_icons\close_13.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_e01dd7c029653e86,x_mark,reviewed,,asset_7513f11f0e141a8c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_14.png,ads2\assets\1_templates\close_icons\close_14.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_4bf9c732ffcf4bd7,arrow,reviewed,,asset_b7e64faadd9ca7c4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_15.png,ads2\assets\1_templates\close_icons\close_15.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_f1c7f92038128586,arrow,reviewed,,asset_5d7e57a62103e2c1,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_16.png,ads2\assets\1_templates\close_icons\close_16.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_c6293287feb9bff3,x_mark,reviewed,,asset_9fdb4db2e3fe6848,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_17.png,ads2\assets\1_templates\close_icons\close_17.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_54f5287c84fc7e1d,arrow,reviewed,,asset_db80ab2f7ad7e606,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_18.png,ads2\assets\1_templates\close_icons\close_18.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_a195dd7ba6135547,arrow,reviewed,,asset_e3aa0c73c537c671,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_19.png,ads2\assets\1_templates\close_icons\close_19.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_e16e35dc922172f8,x_mark,reviewed,故意裁歪  實際上是左邊的X,asset_565f2f8c61c441ed,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_2.png,ads2\assets\1_templates\close_icons\close_2.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_2200224e47c6acf2,arrow,reviewed,,asset_fe436527d7d5643c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_20.png,ads2\assets\1_templates\close_icons\close_20.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_857e5225a2b06af8,arrow,reviewed,,asset_927b02d71a0d5e87,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_21.png,ads2\assets\1_templates\close_icons\close_21.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_d109bb027585db3a,arrow,reviewed,,asset_384d89598f4f57fc,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_22.png,ads2\assets\1_templates\close_icons\close_22.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_abf6a9593a794d4f,arrow,reviewed,,asset_0f7f87e6da29ae62,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_23.png,ads2\assets\1_templates\close_icons\close_23.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_4a39bc8220b54bcf,x_mark,reviewed,,asset_0adb2ecfead6543b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_24.png,ads2\assets\1_templates\close_icons\close_24.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_acc7870ed969732e,x_mark,reviewed,,asset_d9b4a93cc253ae66,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_25.png,ads2\assets\1_templates\close_icons\close_25.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_2aafaa2342e7ff6d,arrow,reviewed,,asset_649d289a08c9fe33,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_3.png,ads2\assets\1_templates\close_icons\close_3.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_d4c87444e5015593,arrow,reviewed,,asset_00f02ef77adb18c4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_4.png,ads2\assets\1_templates\close_icons\close_4.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_cd80a32dc3ce69d3,arrow,reviewed,,asset_59b134576fd486a2,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_5.png,ads2\assets\1_templates\close_icons\close_5.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_144f33590c886b45,next,reviewed,,asset_acdbf97adac6c560,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_6.png,ads2\assets\1_templates\close_icons\close_6.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_53c205606c848750,x_mark,reviewed,,asset_38da3057c3705cb4,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_7.png,ads2\assets\1_templates\close_icons\close_7.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_af0af020e1d87e2e,arrow,reviewed,,asset_071ca7bff74e053c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_8.png,ads2\assets\1_templates\close_icons\close_8.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_55b41688a921e7a4,arrow,reviewed,,asset_f54277695108c8b6,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_9.png,ads2\assets\1_templates\close_icons\close_9.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_c88fffda1bde6376,arrow,reviewed,,asset_fc192034daaaf1b7,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_back_gp.png,ads2\assets\1_templates\close_icons\close_back_gp.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_bde160b4ff62fd23,google_play,reviewed,,asset_14abfab802adf40c,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_gp.png,ads2\assets\1_templates\close_icons\close_skip_gp.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_e43f95fcbeed911e,google_play,reviewed,,asset_bc5f8a22689dda23,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_gp2.png,ads2\assets\1_templates\close_icons\close_skip_gp2.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_85f3c0bdc5e04e1d,google_play,reviewed,,asset_5d48c64cdd081609,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_gp3.png,ads2\assets\1_templates\close_icons\close_skip_gp3.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_1cb77f3034b09b56,next,reviewed,,asset_ef6efb79aed47f4a,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_next.png,ads2\assets\1_templates\close_icons\close_skip_next.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_8aa403fa0a5d2da9,next,reviewed,,asset_6e9c3a68167cfe89,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_skip_next2.png,ads2\assets\1_templates\close_icons\close_skip_next2.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_7a30ab4de7eb758c,x_mark,reviewed,,asset_b2c26a493402602b,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_end.png,ads2\assets\1_templates\close_icons\close_x_end.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_7b6a90286e8fac3a,x_mark,reviewed,,asset_f23d35799ad854e5,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_end2.png,ads2\assets\1_templates\close_icons\close_x_end2.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_91bbfc8a9546e898,x_mark,reviewed,,asset_702ce9c110ac8383,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_gp.png,ads2\assets\1_templates\close_icons\close_x_gp.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_3dbd94023a2aefb9,x_mark,reviewed,,asset_ae17f2d94d0c0ab9,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_gp2.png,ads2\assets\1_templates\close_icons\close_x_gp2.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_0da1190477d9a899,x_mark,reviewed,,asset_720686941c854cbf,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_left.png,ads2\assets\1_templates\close_icons\close_x_left.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_d69076ccf60a2327,x_mark,reviewed,,asset_172ddc86ac086eee,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_momo.png,ads2\assets\1_templates\close_icons\close_x_momo.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_c590ebbfe9db64ca,x_mark,reviewed,,asset_6802a78b1f5efa66,D:\Projects\adb_vl\ads2\assets\1_templates\close_icons\close_x_valor.png,ads2\assets\1_templates\close_icons\close_x_valor.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_ac306bdc17a9bfa0,free,reviewed,,asset_2af1b7045f897a9e,D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\close_26.png,ads2\assets\1_templates\free_ad_icons\close_26.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,free,reviewed
file_b4be82e5125f9663,play_triangle,reviewed,,asset_48f6dabf3e612bc9,D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\free_ad_1.png,ads2\assets\1_templates\free_ad_icons\free_ad_1.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,play,reviewed
file_5e0324fe7516c5f3,free,reviewed,,asset_52da1398bb93a963,D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\free_ad_2.png,ads2\assets\1_templates\free_ad_icons\free_ad_2.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,free,reviewed
file_761ee5c898e32ec0,free,reviewed,,asset_60d2812156135339,D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\free_ad_3.png,ads2\assets\1_templates\free_ad_icons\free_ad_3.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,免費,reviewed
file_1bc799289cb34fdb,play_triangle,reviewed,,asset_5c6d076a9a21278e,D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\free_ad_9.png,ads2\assets\1_templates\free_ad_icons\free_ad_9.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,play,reviewed
file_ed1467fb03b0b8ba,play_triangle,reviewed,,asset_d8a2f9660c5625b5,D:\Projects\adb_vl\ads2\assets\1_templates\free_ad_icons\播放.png,ads2\assets\1_templates\free_ad_icons\播放.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,play,reviewed
file_ec6a1f4e95a8737e,got,reviewed,,asset_58ed244c7878bcd7,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got2.png,ads2\assets\1_templates\got_icons\got2.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,got,reviewed
file_b45e660a5a2b7d8d,got,reviewed,,asset_0d4b215867996981,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_1.png,ads2\assets\1_templates\got_icons\got_1.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,got,reviewed
file_5d287e76413cf837,other,reviewed,,asset_de76b9f42f405252,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_2.png,ads2\assets\1_templates\got_icons\got_2.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,continue,reviewed
file_6f7c7aba74ab1f28,got,reviewed,,asset_0cf037e096857467,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_3.png,ads2\assets\1_templates\got_icons\got_3.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,got,reviewed
file_f1f313c24a4c1de2,got,reviewed,,asset_804eb0458e78934d,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_4.png,ads2\assets\1_templates\got_icons\got_4.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,got,reviewed
file_3c94de29e8445680,got,reviewed,,asset_a1abf4a4f6070cea,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_5.png,ads2\assets\1_templates\got_icons\got_5.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,got,reviewed
file_5e99e876883b9184,got,reviewed,,asset_d082cffe4e8f8f90,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_6.png,ads2\assets\1_templates\got_icons\got_6.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,got,reviewed
file_18fbfa6f2629be44,other,reviewed,,asset_365caeff8fffb5c6,D:\Projects\adb_vl\ads2\assets\1_templates\got_icons\got_7.png,ads2\assets\1_templates\got_icons\got_7.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,確定,reviewed
file_ec85e8680fb6449d,x_mark,reviewed,,asset_ca2b6cba35c5b2d0,D:\Projects\adb_vl\ads2\assets\1_templates\備份\ad_issue_20260606_043707_roi_0.png,ads2\assets\1_templates\備份\ad_issue_20260606_043707_roi_0.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_00db74143475636c,free|play_triangle,reviewed,,asset_085f1c813551e8c9,D:\Projects\adb_vl\ads2\assets\1_templates\備份\btn_free_ad.png,ads2\assets\1_templates\備份\btn_free_ad.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,play,reviewed
file_ecb42889e244410f,arrow,reviewed,,asset_600c1aa4b826d2ff,D:\Projects\adb_vl\ads2\assets\1_templates\備份\close_4.png,ads2\assets\1_templates\備份\close_4.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_7d7da0ebe8757d20,x_mark,reviewed,,asset_799dbc67f3bfef79,D:\Projects\adb_vl\ads2\assets\1_templates\備份\close_x_1.png,ads2\assets\1_templates\備份\close_x_1.png,ads,template,crop,ads2\assets\1_templates,template,raw,action_target,,reviewed
file_91401f9fb819693a,x_mark,reviewed,,asset_36b1b5a10f89b840,D:\Projects\adb_vl\ads2\assets\1_templates\備份\close_x_trans.png,ads2\assets\1_templates\備份\close_x_trans.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_39c21fa7d94cb2a7,x_mark,reviewed,,asset_4fbcd7df4f1e9032,D:\Projects\adb_vl\ads2\assets\1_templates\備份\close_x_white.png,ads2\assets\1_templates\備份\close_x_white.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,,reviewed
file_804b831df127544b,play_triangle,reviewed,,asset_48f6dabf3e612bc9,D:\Projects\adb_vl\ads2\assets\1_templates\備份\free_ad_1.png,ads2\assets\1_templates\備份\free_ad_1.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,play,reviewed
file_1cb4e2befa222329,got,reviewed,,asset_72c839c107ebef49,D:\Projects\adb_vl\ads2\assets\1_templates\備份\got1.png,ads2\assets\1_templates\備份\got1.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,got,reviewed
file_c9b0f3fff6864aab,got,reviewed,,asset_86d49425885a0694,D:\Projects\adb_vl\ads2\assets\1_templates\備份\got_2.png,ads2\assets\1_templates\備份\got_2.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,got,reviewed
file_cb080ed8eb8801eb,play_triangle,reviewed,,asset_bddb4860eddcb148,D:\Projects\adb_vl\ads2\assets\1_templates\備份\got_8.png,ads2\assets\1_templates\備份\got_8.png,ads,template,crop,ads2\assets\1_templates,template,raw,uncertain,play,reviewed
file_4b55666f7d26ba68,play_triangle,reviewed,,asset_88342de1955d7710,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080054_581\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080054_581\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,play,reviewed
file_da24a97c4580a385,arrow|next,reviewed,,asset_8246d10f6c6dfb69,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080135_133\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080135_133\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,,reviewed
file_94c067721838b5a7,got,reviewed,,asset_10a60b88bb107d49,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080145_040\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080145_040\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,got,reviewed
file_52d5a310ba32c303,play_triangle,reviewed,,asset_542d5a8ba5e8e090,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080151_966\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080151_966\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,play,reviewed
file_993270f6ad69f631,arrow|next,reviewed,,asset_b3e20e7760a44b0a,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080258_516\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080258_516\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,,reviewed
file_096cbf9643228a54,got,reviewed,,asset_056a75a95fd0004a,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080308_161\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080308_161\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,got,reviewed
file_7051ab9bc6b4fb7f,play_triangle,reviewed,,asset_1681b89025c9902b,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080316_811\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080316_811\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,got,reviewed
file_7003e76f1c605201,arrow,reviewed,,asset_57a3a364e16b9e38,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080355_864\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080355_864\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,,reviewed
file_4b3f40d609b103c8,got,reviewed,,asset_3da5069be36e1858,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080405_663\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080405_663\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,got,reviewed
file_a9b3de8ef22b83c9,play_triangle,reviewed,,asset_da86db81efb2b312,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080412_253\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080412_253\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,play,reviewed
file_89bf80364d6050d5,arrow,reviewed,,asset_8263ab7cd58c1c1f,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080451_263\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080451_263\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,play,reviewed
file_f17f0597f4a960bf,got,reviewed,,asset_28434918920405bd,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080500_682\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080500_682\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,play,reviewed
file_3f84811f20709357,play_triangle,reviewed,,asset_bd0db35d86d5fa07,D:\Projects\adb_vl\vision_platform\ads\runtime_collection\click_success\click_success_20260713_080508_706\crops\bbox.png,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080508_706\crops\bbox.png,ads,runtime_collection,crop,vision_platform\ads\runtime_collection,crop,raw,action_target,play,reviewed
