instance_id,content_id,relative_path,before_families,after_families,changed,added_families,removed_families,mismatch_count,fixed_against_prediction_count,still_mismatch_against_prediction_count,mismatches,fixed_against_prediction,still_mismatch_against_prediction
file_37b30e49e65a6ec5,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000221.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.60887,,seed44:x_mark
file_38f39cb8171bbccd,asset_f05a7a52f60d291b,ads2\assets\1_templates\close_icons\ad_issue_20260606_045316_roi_0.png,arrow,arrow,0,,,6,0,6,seed42:false_negative:arrow:p=0.37242 | seed43:false_negative:arrow:p=0.30135 | seed43:false_positive:negative:p=0.59750 | seed44:false_positive:x_mark:p=0.54606 | seed44:false_positive:next:p=0.51527 | seed44:false_negative:arrow:p=0.40585,,seed42:arrow | seed43:arrow | seed43:negative | seed44:x_mark | seed44:next | seed44:arrow
file_3a183a0a02450988,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000340.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.60887,,seed44:x_mark
file_4132ab7be97bcab6,asset_2fb49c996019a16e,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000320.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.50646,,seed44:x_mark
file_475f74fc1f507182,asset_f469d877decb6ba4,vision_platform\ads\runtime_collection\click_success\click_success_20260713_135838_244\crops\bbox.png,x_mark,x_mark,0,,,2,0,2,seed43:false_negative:x_mark:p=0.45293 | seed44:false_positive:arrow:p=0.59230,,seed43:x_mark | seed44:arrow
file_4a79ba7a94cfeb5a,asset_f4267fd43f7332c6,vision_platform\ads\runtime_collection\click_success\click_success_20260713_162923_454\crops\bbox.png,got;x_mark,got,1,,x_mark,7,3,4,seed42:false_negative:x_mark:p=0.23279 | seed42:false_negative:got:p=0.39697 | seed43:false_negative:x_mark:p=0.27431 | seed43:false_negative:got:p=0.38605 | seed43:false_positive:negative:p=0.51761 | seed44:false_negative:x_mark:p=0.35032 | seed44:false_negative:got:p=0.25270,seed42:x_mark | seed43:x_mark | seed44:x_mark,seed42:got | seed43:got | seed43:negative | seed44:got
file_50c793b7bc956a13,asset_c67d1ef1a4afa50d,ads2\assets\1_templates\close_icons\close_1.png,arrow,arrow,0,,,6,0,6,seed42:false_negative:arrow:p=0.44158 | seed42:false_positive:negative:p=0.75644 | seed43:false_negative:arrow:p=0.35570 | seed43:false_positive:negative:p=0.72193 | seed44:false_negative:arrow:p=0.21888 | seed44:false_positive:negative:p=0.84961,,seed42:arrow | seed42:negative | seed43:arrow | seed43:negative | seed44:arrow | seed44:negative
file_5188e12767990e92,asset_2fb49c996019a16e,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000313.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.50646,,seed44:x_mark
file_53f6b240d7847ed6,asset_ca994ca16a3dcd00,ads2\assets\1_templates\close_icons\ad_issue_20260606_052002_roi_15.png,x_mark,x_mark,0,,,9,0,9,seed42:false_negative:x_mark:p=0.49325 | seed42:false_positive:next:p=0.66723 | seed42:false_positive:arrow:p=0.83295 | seed43:false_negative:x_mark:p=0.45781 | seed43:false_positive:next:p=0.68302 | seed43:false_positive:arrow:p=0.70974 | seed44:false_negative:x_mark:p=0.47650 | seed44:false_positive:next:p=0.63557 | seed44:false_positive:arrow:p=0.72135,,seed42:x_mark | seed42:next | seed42:arrow | seed43:x_mark | seed43:next | seed43:arrow | seed44:x_mark | seed44:next | seed44:arrow
file_57eb253678d502b3,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000191.png,negative,negative,0,,,4,0,4,seed42:false_positive:free:p=0.50747 | seed42:false_positive:arrow:p=0.58633 | seed42:false_negative:negative:p=0.44578 | seed43:false_positive:arrow:p=0.60836,,seed42:free | seed42:arrow | seed42:negative | seed43:arrow
file_5990fed2f5a1fb53,asset_1355d96717c8cd0d,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000035.png,negative,negative,0,,,1,0,1,seed42:false_positive:google_play:p=0.57450,,seed42:google_play
file_5cb230a2c08bfbaa,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000325.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.60887,,seed44:x_mark
file_5e99e876883b9184,asset_d082cffe4e8f8f90,ads2\assets\1_templates\got_icons\got_6.png,got,got,0,,,11,0,11,seed42:false_positive:free:p=0.74669 | seed42:false_negative:got:p=0.37254 | seed42:false_positive:negative:p=0.51642 | seed43:false_positive:google_play:p=0.64029 | seed43:false_positive:free:p=0.78022 | seed43:false_negative:got:p=0.39100 | seed43:false_positive:negative:p=0.56208 | seed44:false_positive:google_play:p=0.56621 | seed44:false_positive:free:p=0.63440 | seed44:false_negative:got:p=0.32779 | seed44:false_positive:negative:p=0.69900,,seed42:free | seed42:got | seed42:negative | seed43:google_play | seed43:free | seed43:got | seed43:negative | seed44:google_play | seed44:free | seed44:got | seed44:negative
file_62c3dd3102650707,asset_a6a1a807225333d3,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102143_549\crops\bbox.png,got,got,0,,,2,0,2,seed43:false_negative:got:p=0.46577 | seed44:false_negative:got:p=0.30871,,seed43:got | seed44:got
file_67e22b67ffdb6d58,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000141.png,negative,negative,0,,,4,0,4,seed42:false_positive:free:p=0.50747 | seed42:false_positive:arrow:p=0.58633 | seed42:false_negative:negative:p=0.44578 | seed43:false_positive:arrow:p=0.60836,,seed42:free | seed42:arrow | seed42:negative | seed43:arrow
file_6950c99c8d27fc0f,asset_b24e578fa8ac8e25,vision_platform\ads\runtime_collection\click_success\click_success_20260713_102437_108\crops\bbox.png,free,free,0,,,1,0,1,seed44:false_positive:negative:p=0.51660,,seed44:negative
file_6bb4379479fb8dc8,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000332.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.60887,,seed44:x_mark
file_74e06e5ceb318bc4,asset_7ea505252b3da083,vision_platform\ads\runtime_collection\click_success\click_success_20260713_085745_144\crops\bbox.png,got,got,0,,,3,0,3,seed43:false_positive:negative:p=0.54098 | seed44:false_negative:got:p=0.30209 | seed44:false_positive:negative:p=0.65418,,seed43:negative | seed44:got | seed44:negative
file_75f0a3f1005b8cf5,asset_e18d2d36b4462d42,vision_platform\ads\runtime_collection\click_success\click_success_20260713_082026_800\crops\bbox.png,x_mark,x_mark,0,,,1,0,1,seed44:false_negative:x_mark:p=0.49810,,seed44:x_mark
file_8162960727650f5f,asset_6555ba34f68fbad7,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092623_009\crops\bbox.png,got,got,0,,,2,0,2,seed43:false_negative:got:p=0.46863 | seed44:false_negative:got:p=0.28040,,seed43:got | seed44:got
file_819590d43e808e84,asset_de74d2f098c11963,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080848_828\crops\bbox.png,arrow;next,arrow,1,,next,4,0,4,seed42:false_positive:x_mark:p=0.64072 | seed43:false_positive:x_mark:p=0.63155 | seed44:false_positive:x_mark:p=0.71297 | seed44:false_positive:google_play:p=0.51469,,seed42:x_mark | seed43:x_mark | seed44:x_mark | seed44:google_play
file_81c63211c9437130,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000347.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.60887,,seed44:x_mark
file_8206cc5578bc22ba,asset_7a4697aa90795534,vision_platform\ads\runtime_collection\click_success\click_success_20260713_093004_075\crops\bbox.png,x_mark,x_mark,0,,,4,0,4,seed42:false_negative:x_mark:p=0.38979 | seed43:false_negative:x_mark:p=0.44039 | seed43:false_positive:negative:p=0.61090 | seed44:false_positive:negative:p=0.50489,,seed42:x_mark | seed43:x_mark | seed43:negative | seed44:negative
file_85f3c0bdc5e04e1d,asset_5d48c64cdd081609,ads2\assets\1_templates\close_icons\close_skip_gp3.png,google_play,google_play,0,,,2,0,2,seed42:false_positive:free:p=0.55646 | seed43:false_positive:free:p=0.51294,,seed42:free | seed43:free
file_882ed2d5cd6931e1,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000366.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.60887,,seed44:x_mark
file_89bf80364d6050d5,asset_8263ab7cd58c1c1f,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080451_263\crops\bbox.png,arrow,arrow,0,,,5,0,5,seed42:false_positive:next:p=0.70251 | seed43:false_positive:x_mark:p=0.54676 | seed43:false_positive:next:p=0.60830 | seed44:false_positive:x_mark:p=0.65786 | seed44:false_positive:next:p=0.59354,,seed42:next | seed43:x_mark | seed43:next | seed44:x_mark | seed44:next
file_8bd6e958d40d0a1b,asset_3911db3a08d8407c,vision_platform\ads\runtime_collection\click_success\click_success_20260713_090311_972\crops\bbox.png,got,got,0,,,2,0,2,seed43:false_negative:got:p=0.48476 | seed44:false_negative:got:p=0.35181,,seed43:got | seed44:got
file_910704808a5e9385,asset_6335f512afc499b7,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092617_850\crops\bbox.png,x_mark,x_mark,0,,,4,0,4,seed43:false_positive:next:p=0.55552 | seed44:false_positive:next:p=0.52297 | seed44:false_positive:arrow:p=0.59821 | seed44:false_positive:negative:p=0.51869,,seed43:next | seed44:next | seed44:arrow | seed44:negative
file_9215811702b5bf4e,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000319.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.60887,,seed44:x_mark
file_94c067721838b5a7,asset_10a60b88bb107d49,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080145_040\crops\bbox.png,got,got,0,,,4,0,4,seed42:false_negative:got:p=0.34315 | seed42:false_positive:negative:p=0.51593 | seed43:false_negative:got:p=0.24726 | seed43:false_positive:arrow:p=0.51283,,seed42:got | seed42:negative | seed43:got | seed43:arrow
file_9674c85380c83776,asset_e011f0b8ff9e8ada,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000541.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.55239,,seed44:x_mark
file_993270f6ad69f631,asset_b3e20e7760a44b0a,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080258_516\crops\bbox.png,arrow;next,arrow,1,,next,3,0,3,seed42:false_positive:x_mark:p=0.67455 | seed43:false_positive:x_mark:p=0.56814 | seed44:false_positive:x_mark:p=0.61853,,seed42:x_mark | seed43:x_mark | seed44:x_mark
file_9d37ff9d74a486c1,asset_cc04ebf72c4073f4,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000315.png,negative,negative,0,,,4,0,4,seed42:false_positive:x_mark:p=0.64527 | seed43:false_positive:x_mark:p=0.53827 | seed44:false_positive:x_mark:p=0.64343 | seed44:false_positive:arrow:p=0.58472,,seed42:x_mark | seed43:x_mark | seed44:x_mark | seed44:arrow
file_a8aaffec5ace5590,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000137.png,negative,negative,0,,,4,0,4,seed42:false_positive:free:p=0.50747 | seed42:false_positive:arrow:p=0.58633 | seed42:false_negative:negative:p=0.44578 | seed43:false_positive:arrow:p=0.60836,,seed42:free | seed42:arrow | seed42:negative | seed43:arrow
file_a8ca0d5ca56c64b4,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000371.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.60887,,seed44:x_mark
file_aa3578c23f6f013e,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000195.png,negative,negative,0,,,4,0,4,seed42:false_positive:free:p=0.50747 | seed42:false_positive:arrow:p=0.58633 | seed42:false_negative:negative:p=0.44578 | seed43:false_positive:arrow:p=0.60836,,seed42:free | seed42:arrow | seed42:negative | seed43:arrow
file_ae20fd14c3b78ed2,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000229.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.60887,,seed44:x_mark
file_bb33204c2d173671,asset_42af79d6f3977354,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000355.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.60887,,seed44:x_mark
file_c13a2d81972022d0,asset_e011f0b8ff9e8ada,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000550.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.55239,,seed44:x_mark
file_c3463cd8ae7c660d,asset_174aee514009a28f,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000089.png,negative,negative,0,,,2,0,2,seed42:false_positive:google_play:p=0.51281 | seed43:false_positive:google_play:p=0.50506,,seed42:google_play | seed43:google_play
file_c3c020f092590994,asset_3603e8e8712294aa,vision_platform\ads\runtime_collection\click_success\click_success_20260713_090335_921\crops\bbox.png,x_mark,x_mark,0,,,2,0,2,seed43:false_negative:x_mark:p=0.41940 | seed44:false_positive:arrow:p=0.60908,,seed43:x_mark | seed44:arrow
file_c4b10a260a8dd4ba,asset_ec0f3962ae857614,vision_platform\ads\runtime_collection\click_success\click_success_20260713_100337_863\crops\bbox.png,got,got,0,,,2,0,2,seed43:false_negative:got:p=0.42471 | seed44:false_negative:got:p=0.32377,,seed43:got | seed44:got
file_c7c9ef85a5b1f85d,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000189.png,negative,negative,0,,,2,0,2,seed42:false_positive:free:p=0.51481 | seed44:false_positive:free:p=0.60824,,seed42:free | seed44:free
file_ca44191e7a178460,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000155.png,negative,negative,0,,,2,0,2,seed42:false_positive:free:p=0.51481 | seed44:false_positive:free:p=0.60824,,seed42:free | seed44:free
file_ce83c86447928e4c,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000135.png,negative,negative,0,,,2,0,2,seed42:false_positive:free:p=0.51481 | seed44:false_positive:free:p=0.60824,,seed42:free | seed44:free
file_cfb05e46e18a00c8,asset_ad8ab8e8dd9e1cd1,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000348.png,negative,negative,0,,,2,0,2,seed44:false_positive:x_mark:p=0.55513 | seed44:false_positive:arrow:p=0.50290,,seed44:x_mark | seed44:arrow
file_d19c1ae5042e913b,asset_cc04ebf72c4073f4,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000308.png,negative,negative,0,,,4,0,4,seed42:false_positive:x_mark:p=0.64527 | seed43:false_positive:x_mark:p=0.53827 | seed44:false_positive:x_mark:p=0.64343 | seed44:false_positive:arrow:p=0.58472,,seed42:x_mark | seed43:x_mark | seed44:x_mark | seed44:arrow
file_d24f52806af63653,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000157.png,negative,negative,0,,,4,0,4,seed42:false_positive:free:p=0.50747 | seed42:false_positive:arrow:p=0.58633 | seed42:false_negative:negative:p=0.44578 | seed43:false_positive:arrow:p=0.60836,,seed42:free | seed42:arrow | seed42:negative | seed43:arrow
file_d2d203c752c00eb3,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000151.png,negative,negative,0,,,2,0,2,seed42:false_positive:free:p=0.51481 | seed44:false_positive:free:p=0.60824,,seed42:free | seed44:free
file_d4c87444e5015593,asset_00f02ef77adb18c4,ads2\assets\1_templates\close_icons\close_4.png,arrow,arrow,0,,,5,0,5,seed42:false_positive:negative:p=0.55202 | seed43:false_positive:negative:p=0.60255 | seed44:false_positive:next:p=0.54190 | seed44:false_positive:free:p=0.62011 | seed44:false_positive:negative:p=0.51632,,seed42:negative | seed43:negative | seed44:next | seed44:free | seed44:negative
file_d6b89e850c393744,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000153.png,negative,negative,0,,,4,0,4,seed42:false_positive:free:p=0.50747 | seed42:false_positive:arrow:p=0.58633 | seed42:false_negative:negative:p=0.44578 | seed43:false_positive:arrow:p=0.60836,,seed42:free | seed42:arrow | seed42:negative | seed43:arrow
file_e01dd7c029653e86,asset_7513f11f0e141a8c,ads2\assets\1_templates\close_icons\close_14.png,x_mark,x_mark,0,,,7,0,7,seed42:false_positive:next:p=0.75336 | seed42:false_positive:arrow:p=0.89714 | seed43:false_positive:next:p=0.70731 | seed43:false_positive:arrow:p=0.86147 | seed44:false_negative:x_mark:p=0.46448 | seed44:false_positive:next:p=0.66532 | seed44:false_positive:arrow:p=0.84352,,seed42:next | seed42:arrow | seed43:next | seed43:arrow | seed44:x_mark | seed44:next | seed44:arrow
file_e1121a57558fb4d8,asset_6cc55a7b44c3cff4,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092529_928\crops\bbox.png,x_mark,x_mark,0,,,4,0,4,seed42:false_negative:x_mark:p=0.37543 | seed43:false_negative:x_mark:p=0.44307 | seed44:false_negative:x_mark:p=0.35186 | seed44:false_positive:negative:p=0.75350,,seed42:x_mark | seed43:x_mark | seed44:x_mark | seed44:negative
file_ec421cc01b4c1cd0,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000139.png,negative,negative,0,,,2,0,2,seed42:false_positive:free:p=0.51481 | seed44:false_positive:free:p=0.60824,,seed42:free | seed44:free
file_ed775e73f24dae53,asset_57705cc7f11a2a7f,vision_platform\ads\runtime_collection\click_success\click_success_20260713_163051_076\crops\bbox.png,got;x_mark,got,1,,x_mark,8,3,5,seed42:false_negative:x_mark:p=0.14751 | seed42:false_negative:got:p=0.29466 | seed43:false_negative:x_mark:p=0.16654 | seed43:false_negative:got:p=0.29732 | seed43:false_positive:negative:p=0.62068 | seed44:false_negative:x_mark:p=0.25531 | seed44:false_negative:got:p=0.21274 | seed44:false_positive:negative:p=0.56633,seed42:x_mark | seed43:x_mark | seed44:x_mark,seed42:got | seed43:got | seed43:negative | seed44:got | seed44:negative
file_ef5e65b9f913f3ba,asset_e18d2d36b4462d42,vision_platform\ads\runtime_collection\click_success\click_success_20260713_092428_852\crops\bbox.png,x_mark,x_mark,0,,,1,0,1,seed44:false_negative:x_mark:p=0.49810,,seed44:x_mark
file_ef847d000f83a44b,asset_d30b5d3b349008b2,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000188.png,negative,negative,0,,,4,0,4,seed42:false_positive:free:p=0.50747 | seed42:false_positive:arrow:p=0.58633 | seed42:false_negative:negative:p=0.44578 | seed43:false_positive:arrow:p=0.60836,,seed42:free | seed42:arrow | seed42:negative | seed43:arrow
file_f17f0597f4a960bf,asset_28434918920405bd,vision_platform\ads\runtime_collection\click_success\click_success_20260713_080500_682\crops\bbox.png,got,got,0,,,3,0,3,seed42:false_negative:got:p=0.44686 | seed43:false_negative:got:p=0.39153 | seed44:false_negative:got:p=0.27542,,seed42:got | seed43:got | seed44:got
file_f1f313c24a4c1de2,asset_804eb0458e78934d,ads2\assets\1_templates\got_icons\got_4.png,got,got,0,,,6,0,6,seed42:false_positive:free:p=0.50613 | seed42:false_negative:got:p=0.39587 | seed43:false_negative:got:p=0.25089 | seed43:false_positive:negative:p=0.61047 | seed44:false_negative:got:p=0.27662 | seed44:false_positive:negative:p=0.66742,,seed42:free | seed42:got | seed43:got | seed43:negative | seed44:got | seed44:negative
file_f319839a367a699e,asset_cf42023e5725393c,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000525.png,negative,negative,0,,,1,0,1,seed44:false_positive:x_mark:p=0.59440,,seed44:x_mark
file_f593997f7321a3d6,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000143.png,negative,negative,0,,,2,0,2,seed42:false_positive:free:p=0.51481 | seed44:false_positive:free:p=0.60824,,seed42:free | seed44:free
file_f7d66b3ae3255ca2,asset_2dd12bfcf07023a6,vision_platform\ads\hard_negative_mining\batch_visual_negative_20260714\crops\hn_000192.png,negative,negative,0,,,2,0,2,seed42:false_positive:free:p=0.51481 | seed44:false_positive:free:p=0.60824,,seed42:free | seed44:free
file_f897e9b9181629ee,asset_d67b35832487e707,ads2\assets\1_templates\close_icons\ad_issue_20260606_083435_roi_0.png,google_play,google_play,0,,,5,0,5,seed43:false_positive:play_triangle:p=0.51789 | seed43:false_positive:free:p=0.62735 | seed44:false_positive:x_mark:p=0.51167 | seed44:false_negative:google_play:p=0.46012 | seed44:false_positive:negative:p=0.52426,,seed43:play_triangle | seed43:free | seed44:x_mark | seed44:google_play | seed44:negative
