source_screen,source_session,candidate_count,bbox,geometry_score,p_close,classifier_rank,is_top1,candidate_patch
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_044653.png,20260606_044653,2,"346,714,10,13",0.907,0.964505,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000024.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_044717.png,20260606_044717,2,"488,35,13,13",0.982,0.905934,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000015.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_044717.png,20260606_044717,2,"305,785,11,11",0.943,0.884342,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000018.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_045743.png,20260606_045743,2,"489,255,20,18",1.000,0.985188,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000006.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_045743.png,20260606_045743,2,"346,714,10,13",0.907,0.964505,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000026.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_052002.png,20260606_052002,2,"29,30,28,27",0.976,0.985180,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000016.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_052002.png,20260606_052002,2,"354,300,22,24",0.890,0.110202,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000034.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_052302.png,20260606_052302,2,"916,28,18,18",1.000,0.947959,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000005.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_052302.png,20260606_052302,2,"863,27,16,16",0.896,0.690250,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000028.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_081633.png,20260606_081633,2,"701,87,16,19",0.885,0.776501,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000036.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_081633.png,20260606_081633,2,"715,65,12,12",0.856,0.388181,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000046.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_083314.png,20260606_083314,2,"701,87,16,19",0.885,0.776501,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000037.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\ad_issue_20260606_083314.png,20260606_083314,2,"715,65,12,12",0.856,0.388181,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000047.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\back_btn_20260605_124228.png,20260605_124228,2,"268,107,18,18",0.892,0.030259,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000030.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\back_btn_20260605_124228.png,20260605_124228,2,"606,222,15,15",0.892,0.000022,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000033.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\check_back_20260605_075109.png,20260605_075109,2,"268,107,18,18",0.892,0.030259,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000031.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\check_back_20260605_075109.png,20260605_075109,2,"744,222,15,15",0.883,0.000129,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000039.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\debug_end_20260605_081007.png,20260605_081007,1,"268,107,18,18",0.888,0.117175,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000035.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\main_city_20260605_101631.png,20260605_101631,1,"888,272,10,10",0.859,0.013358,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000045.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\manual_check2_20260605_103009.png,20260605_103009,2,"779,327,12,12",0.875,0.100656,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000041.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\manual_check2_20260605_103009.png,20260605_103009,2,"89,97,13,14",0.870,0.005071,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000042.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\nav_menu_20260605_100942.png,20260605_100942,1,"169,382,10,12",0.921,0.616911,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000020.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\nav_menu_2_20260605_101405.png,20260605_101405,1,"169,382,10,12",0.921,0.616911,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000021.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\test_screen_20260605_071116.png,20260605_071116,2,"268,107,18,18",0.892,0.030259,1,1,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000032.png
D:\Projects\adb_vl\close_x_classifier\data\offline_runtime_reference_8bit\test_screen_20260605_071116.png,20260605_071116,2,"744,222,15,15",0.883,0.000129,2,0,D:\Projects\adb_vl\close_x_classifier\runs\offline_runtime_sim_reference\candidate_patches\candidate_000040.png
