image_path,families,label_x_mark,label_play_triangle,label_google_play,label_next,label_free,label_got,label_arrow,split,group_key,instance_id,content_id,relative_path,is_confirmed_strong_hard_negative
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00022_arrow_asset_b7e64faadd9ca7c4.png,arrow,0,0,0,0,0,0,1,test,content:asset_b7e64faadd9ca7c4,file_4bf9c732ffcf4bd7,asset_b7e64faadd9ca7c4,ads2\assets\1_templates\close_icons\close_15.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00023_arrow_asset_5d7e57a62103e2c1.png,arrow,0,0,0,0,0,0,1,train,content:asset_5d7e57a62103e2c1,file_f1c7f92038128586,asset_5d7e57a62103e2c1,ads2\assets\1_templates\close_icons\close_16.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00024_x_mark_asset_9fdb4db2e3fe6848.png,x_mark,1,0,0,0,0,0,0,train,content:asset_9fdb4db2e3fe6848,file_c6293287feb9bff3,asset_9fdb4db2e3fe6848,ads2\assets\1_templates\close_icons\close_17.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00025_arrow_asset_db80ab2f7ad7e606.png,arrow,0,0,0,0,0,0,1,test,content:asset_db80ab2f7ad7e606,file_54f5287c84fc7e1d,asset_db80ab2f7ad7e606,ads2\assets\1_templates\close_icons\close_18.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00026_arrow_asset_e3aa0c73c537c671.png,arrow,0,0,0,0,0,0,1,val,content:asset_e3aa0c73c537c671,file_a195dd7ba6135547,asset_e3aa0c73c537c671,ads2\assets\1_templates\close_icons\close_19.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00027_x_mark_asset_565f2f8c61c441ed.png,x_mark,1,0,0,0,0,0,0,train,content:asset_565f2f8c61c441ed,file_e16e35dc922172f8,asset_565f2f8c61c441ed,ads2\assets\1_templates\close_icons\close_2.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00028_arrow_asset_fe436527d7d5643c.png,arrow,0,0,0,0,0,0,1,train,content:asset_fe436527d7d5643c,file_2200224e47c6acf2,asset_fe436527d7d5643c,ads2\assets\1_templates\close_icons\close_20.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00029_arrow_asset_927b02d71a0d5e87.png,arrow,0,0,0,0,0,0,1,test,content:asset_927b02d71a0d5e87,file_857e5225a2b06af8,asset_927b02d71a0d5e87,ads2\assets\1_templates\close_icons\close_21.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00030_arrow_asset_384d89598f4f57fc.png,arrow,0,0,0,0,0,0,1,train,content:asset_384d89598f4f57fc,file_d109bb027585db3a,asset_384d89598f4f57fc,ads2\assets\1_templates\close_icons\close_22.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00031_arrow_asset_0f7f87e6da29ae62.png,arrow,0,0,0,0,0,0,1,train,content:asset_0f7f87e6da29ae62,file_abf6a9593a794d4f,asset_0f7f87e6da29ae62,ads2\assets\1_templates\close_icons\close_23.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00032_x_mark_asset_0adb2ecfead6543b.png,x_mark,1,0,0,0,0,0,0,train,content:asset_0adb2ecfead6543b,file_4a39bc8220b54bcf,asset_0adb2ecfead6543b,ads2\assets\1_templates\close_icons\close_24.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00033_x_mark_asset_d9b4a93cc253ae66.png,x_mark,1,0,0,0,0,0,0,test,content:asset_d9b4a93cc253ae66,file_acc7870ed969732e,asset_d9b4a93cc253ae66,ads2\assets\1_templates\close_icons\close_25.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00034_arrow_asset_649d289a08c9fe33.png,arrow,0,0,0,0,0,0,1,train,content:asset_649d289a08c9fe33,file_2aafaa2342e7ff6d,asset_649d289a08c9fe33,ads2\assets\1_templates\close_icons\close_3.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00035_arrow_asset_00f02ef77adb18c4.png,arrow,0,0,0,0,0,0,1,train,content:asset_00f02ef77adb18c4,file_d4c87444e5015593,asset_00f02ef77adb18c4,ads2\assets\1_templates\close_icons\close_4.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00036_arrow_asset_59b134576fd486a2.png,arrow,0,0,0,0,0,0,1,test,content:asset_59b134576fd486a2,file_cd80a32dc3ce69d3,asset_59b134576fd486a2,ads2\assets\1_templates\close_icons\close_5.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00037_next_asset_acdbf97adac6c560.png,next,0,0,0,1,0,0,0,val,content:asset_acdbf97adac6c560,file_144f33590c886b45,asset_acdbf97adac6c560,ads2\assets\1_templates\close_icons\close_6.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00038_x_mark_asset_38da3057c3705cb4.png,x_mark,1,0,0,0,0,0,0,train,content:asset_38da3057c3705cb4,file_53c205606c848750,asset_38da3057c3705cb4,ads2\assets\1_templates\close_icons\close_7.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00039_arrow_asset_071ca7bff74e053c.png,arrow,0,0,0,0,0,0,1,test,content:asset_071ca7bff74e053c,file_af0af020e1d87e2e,asset_071ca7bff74e053c,ads2\assets\1_templates\close_icons\close_8.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00040_arrow_asset_f54277695108c8b6.png,arrow,0,0,0,0,0,0,1,val,content:asset_f54277695108c8b6,file_55b41688a921e7a4,asset_f54277695108c8b6,ads2\assets\1_templates\close_icons\close_9.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00041_arrow_asset_fc192034daaaf1b7.png,arrow,0,0,0,0,0,0,1,train,content:asset_fc192034daaaf1b7,file_c88fffda1bde6376,asset_fc192034daaaf1b7,ads2\assets\1_templates\close_icons\close_back_gp.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00042_google_play_asset_14abfab802adf40c.png,google_play,0,0,1,0,0,0,0,train,content:asset_14abfab802adf40c,file_bde160b4ff62fd23,asset_14abfab802adf40c,ads2\assets\1_templates\close_icons\close_skip_gp.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00043_google_play_asset_bc5f8a22689dda23.png,google_play,0,0,1,0,0,0,0,train,content:asset_bc5f8a22689dda23,file_e43f95fcbeed911e,asset_bc5f8a22689dda23,ads2\assets\1_templates\close_icons\close_skip_gp2.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00044_google_play_asset_5d48c64cdd081609.png,google_play,0,0,1,0,0,0,0,train,content:asset_5d48c64cdd081609,file_85f3c0bdc5e04e1d,asset_5d48c64cdd081609,ads2\assets\1_templates\close_icons\close_skip_gp3.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00045_next_asset_ef6efb79aed47f4a.png,next,0,0,0,1,0,0,0,train,content:asset_ef6efb79aed47f4a,file_1cb77f3034b09b56,asset_ef6efb79aed47f4a,ads2\assets\1_templates\close_icons\close_skip_next.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00046_next_asset_6e9c3a68167cfe89.png,next,0,0,0,1,0,0,0,train,content:asset_6e9c3a68167cfe89,file_8aa403fa0a5d2da9,asset_6e9c3a68167cfe89,ads2\assets\1_templates\close_icons\close_skip_next2.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00047_x_mark_asset_b2c26a493402602b.png,x_mark,1,0,0,0,0,0,0,train,content:asset_b2c26a493402602b,file_7a30ab4de7eb758c,asset_b2c26a493402602b,ads2\assets\1_templates\close_icons\close_x_end.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00048_x_mark_asset_f23d35799ad854e5.png,x_mark,1,0,0,0,0,0,0,val,content:asset_f23d35799ad854e5,file_7b6a90286e8fac3a,asset_f23d35799ad854e5,ads2\assets\1_templates\close_icons\close_x_end2.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00049_x_mark_asset_702ce9c110ac8383.png,x_mark,1,0,0,0,0,0,0,train,content:asset_702ce9c110ac8383,file_91bbfc8a9546e898,asset_702ce9c110ac8383,ads2\assets\1_templates\close_icons\close_x_gp.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00050_x_mark_asset_ae17f2d94d0c0ab9.png,x_mark,1,0,0,0,0,0,0,val,content:asset_ae17f2d94d0c0ab9,file_3dbd94023a2aefb9,asset_ae17f2d94d0c0ab9,ads2\assets\1_templates\close_icons\close_x_gp2.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00051_x_mark_asset_720686941c854cbf.png,x_mark,1,0,0,0,0,0,0,train,content:asset_720686941c854cbf,file_0da1190477d9a899,asset_720686941c854cbf,ads2\assets\1_templates\close_icons\close_x_left.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00052_x_mark_asset_172ddc86ac086eee.png,x_mark,1,0,0,0,0,0,0,train,content:asset_172ddc86ac086eee,file_d69076ccf60a2327,asset_172ddc86ac086eee,ads2\assets\1_templates\close_icons\close_x_momo.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00053_x_mark_asset_6802a78b1f5efa66.png,x_mark,1,0,0,0,0,0,0,train,content:asset_6802a78b1f5efa66,file_c590ebbfe9db64ca,asset_6802a78b1f5efa66,ads2\assets\1_templates\close_icons\close_x_valor.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00054_free_asset_2af1b7045f897a9e.png,free,0,0,0,0,1,0,0,train,content:asset_2af1b7045f897a9e,file_ac306bdc17a9bfa0,asset_2af1b7045f897a9e,ads2\assets\1_templates\free_ad_icons\close_26.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00055_play_triangle_asset_48f6dabf3e612bc9.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_48f6dabf3e612bc9,file_b4be82e5125f9663,asset_48f6dabf3e612bc9,ads2\assets\1_templates\free_ad_icons\free_ad_1.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00056_free_asset_52da1398bb93a963.png,free,0,0,0,0,1,0,0,train,content:asset_52da1398bb93a963,file_5e0324fe7516c5f3,asset_52da1398bb93a963,ads2\assets\1_templates\free_ad_icons\free_ad_2.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00057_free_asset_60d2812156135339.png,free,0,0,0,0,1,0,0,train,content:asset_60d2812156135339,file_761ee5c898e32ec0,asset_60d2812156135339,ads2\assets\1_templates\free_ad_icons\free_ad_3.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00058_play_triangle_asset_5c6d076a9a21278e.png,play_triangle,0,1,0,0,0,0,0,test,content:asset_5c6d076a9a21278e,file_1bc799289cb34fdb,asset_5c6d076a9a21278e,ads2\assets\1_templates\free_ad_icons\free_ad_9.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00059_play_triangle_asset_d8a2f9660c5625b5.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_d8a2f9660c5625b5,file_ed1467fb03b0b8ba,asset_d8a2f9660c5625b5,ads2\assets\1_templates\free_ad_icons\播放.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00060_got_asset_58ed244c7878bcd7.png,got,0,0,0,0,0,1,0,test,content:asset_58ed244c7878bcd7,file_ec6a1f4e95a8737e,asset_58ed244c7878bcd7,ads2\assets\1_templates\got_icons\got2.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00061_got_asset_0d4b215867996981.png,got,0,0,0,0,0,1,0,train,content:asset_0d4b215867996981,file_b45e660a5a2b7d8d,asset_0d4b215867996981,ads2\assets\1_templates\got_icons\got_1.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00062_got_asset_0cf037e096857467.png,got,0,0,0,0,0,1,0,train,content:asset_0cf037e096857467,file_6f7c7aba74ab1f28,asset_0cf037e096857467,ads2\assets\1_templates\got_icons\got_3.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00063_got_asset_804eb0458e78934d.png,got,0,0,0,0,0,1,0,test,content:asset_804eb0458e78934d,file_f1f313c24a4c1de2,asset_804eb0458e78934d,ads2\assets\1_templates\got_icons\got_4.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00064_got_asset_a1abf4a4f6070cea.png,got,0,0,0,0,0,1,0,test,content:asset_a1abf4a4f6070cea,file_3c94de29e8445680,asset_a1abf4a4f6070cea,ads2\assets\1_templates\got_icons\got_5.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00065_got_asset_d082cffe4e8f8f90.png,got,0,0,0,0,0,1,0,train,content:asset_d082cffe4e8f8f90,file_5e99e876883b9184,asset_d082cffe4e8f8f90,ads2\assets\1_templates\got_icons\got_6.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00066_x_mark_asset_ca2b6cba35c5b2d0.png,x_mark,1,0,0,0,0,0,0,test,content:asset_ca2b6cba35c5b2d0,file_ec85e8680fb6449d,asset_ca2b6cba35c5b2d0,ads2\assets\1_templates\備份\ad_issue_20260606_043707_roi_0.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00067_play_triangle_asset_085f1c813551e8c9.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_085f1c813551e8c9,file_00db74143475636c,asset_085f1c813551e8c9,ads2\assets\1_templates\備份\btn_free_ad.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00068_arrow_asset_600c1aa4b826d2ff.png,arrow,0,0,0,0,0,0,1,train,content:asset_600c1aa4b826d2ff,file_ecb42889e244410f,asset_600c1aa4b826d2ff,ads2\assets\1_templates\備份\close_4.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00069_x_mark_asset_799dbc67f3bfef79.png,x_mark,1,0,0,0,0,0,0,val,content:asset_799dbc67f3bfef79,file_7d7da0ebe8757d20,asset_799dbc67f3bfef79,ads2\assets\1_templates\備份\close_x_1.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00070_x_mark_asset_36b1b5a10f89b840.png,x_mark,1,0,0,0,0,0,0,train,content:asset_36b1b5a10f89b840,file_91401f9fb819693a,asset_36b1b5a10f89b840,ads2\assets\1_templates\備份\close_x_trans.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00071_x_mark_asset_4fbcd7df4f1e9032.png,x_mark,1,0,0,0,0,0,0,train,content:asset_4fbcd7df4f1e9032,file_39c21fa7d94cb2a7,asset_4fbcd7df4f1e9032,ads2\assets\1_templates\備份\close_x_white.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00072_play_triangle_asset_48f6dabf3e612bc9.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_48f6dabf3e612bc9,file_804b831df127544b,asset_48f6dabf3e612bc9,ads2\assets\1_templates\備份\free_ad_1.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00073_got_asset_72c839c107ebef49.png,got,0,0,0,0,0,1,0,test,content:asset_72c839c107ebef49,file_1cb4e2befa222329,asset_72c839c107ebef49,ads2\assets\1_templates\備份\got1.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00074_got_asset_86d49425885a0694.png,got,0,0,0,0,0,1,0,train,content:asset_86d49425885a0694,file_c9b0f3fff6864aab,asset_86d49425885a0694,ads2\assets\1_templates\備份\got_2.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00075_play_triangle_asset_bddb4860eddcb148.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_bddb4860eddcb148,file_cb080ed8eb8801eb,asset_bddb4860eddcb148,ads2\assets\1_templates\備份\got_8.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00076_play_triangle_asset_05e39c545c2d589c.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_05e39c545c2d589c,file_7c9178e33b3fff2a,asset_05e39c545c2d589c,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000001.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00077_play_triangle_asset_3ace1f0522c58233.png,play_triangle,0,1,0,0,0,0,0,test,content:asset_3ace1f0522c58233,file_b842a8b9a73e90f9,asset_3ace1f0522c58233,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000002.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00078_play_triangle_asset_0a4e900ac50de596.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_0a4e900ac50de596,file_a8bd722b52284058,asset_0a4e900ac50de596,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000003.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00079_play_triangle_asset_b9f13ebbb5033ec5.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_b9f13ebbb5033ec5,file_923a209eb4157b27,asset_b9f13ebbb5033ec5,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000004.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00080_x_mark_asset_d4017dc915fca39d.png,x_mark,1,0,0,0,0,0,0,val,content:asset_d4017dc915fca39d,file_0567b11b04d3ff7a,asset_d4017dc915fca39d,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000005.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00081_got_asset_0b8ff8911a7f337f.png,got,0,0,0,0,0,1,0,train,content:asset_0b8ff8911a7f337f,file_e702683e9176fe8f,asset_0b8ff8911a7f337f,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000006.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00082_play_triangle_asset_dbb710b56346500c.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_dbb710b56346500c,file_1ab5b7e76dc6affa,asset_dbb710b56346500c,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000007.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00083_play_triangle_asset_3ace1f0522c58233.png,play_triangle,0,1,0,0,0,0,0,test,content:asset_3ace1f0522c58233,file_8039f8fbabb21ac2,asset_3ace1f0522c58233,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000008.png,0
vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00084_play_triangle_asset_0a4e900ac50de596.png,play_triangle,0,1,0,0,0,0,0,train,content:asset_0a4e900ac50de596,file_7760835d528ca64b,asset_0a4e900ac50de596,vision_platform\ads\collections\reviewed_bbox_crops_20260718\crops\rb_000009.png,0
