seed,family,p,instance_id,content_id,families,image_path
42,got,0.2654,file_18b5612cf996a0e2,asset_e6692a08aff865cc,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00876_got_asset_e6692a08aff865cc.png
42,got,0.4184,file_d47e518578ccb400,asset_052743a3536937ab,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00879_got_asset_052743a3536937ab.png
42,got,0.3675,file_8530abf2f6494c7a,asset_963baf19279319e4,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00882_got_asset_963baf19279319e4.png
42,got,0.3572,file_15d57ab21d089397,asset_737da74c398dd713,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00885_got_asset_737da74c398dd713.png
42,got,0.2889,file_a74329e46e350a11,asset_003f01a0aee6b9bc,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00888_got_asset_003f01a0aee6b9bc.png
42,got,0.3277,file_3fb8b5064903ca0c,asset_11db72d833ab9f3d,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00891_got_asset_11db72d833ab9f3d.png
42,got,0.3459,file_1d474dd251495027,asset_64468130aeae340f,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00894_got_asset_64468130aeae340f.png
42,got,0.3113,file_2099c897741bb7ac,asset_3f76ae4068c4ab21,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00897_got_asset_3f76ae4068c4ab21.png
42,got,0.3321,file_7ba37ba4e13e658e,asset_649ddbb0bb1f8942,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00903_got_asset_649ddbb0bb1f8942.png
42,got,0.3747,file_9036c20d93a62e90,asset_bac6666a761e1adc,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00909_got_asset_bac6666a761e1adc.png
42,got,0.3987,file_5aae88bba4e0d939,asset_5c41eb2044704344,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00912_got_asset_5c41eb2044704344.png
42,got,0.417,file_a13826c1f7dc3962,asset_a58eabf57128a6da,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00915_got_asset_a58eabf57128a6da.png
42,got,0.2665,file_89f5783d6a5d01a2,asset_5e68128f2f5b8dab,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00918_got_asset_5e68128f2f5b8dab.png
42,got,0.4055,file_74e06e5ceb318bc4,asset_7ea505252b3da083,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00921_got_asset_7ea505252b3da083.png
42,got,0.3797,file_b651671549196160,asset_00f7d7b29ed47ea4,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00927_got_asset_00f7d7b29ed47ea4.png
42,got,0.4549,file_ce79f73ed3186b0d,asset_49afee44f4eb1fa6,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00944_got_asset_49afee44f4eb1fa6.png
42,got,0.457,file_a0e42b51ed07b933,asset_b4c1b399a527bf19,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00950_got_asset_b4c1b399a527bf19.png
42,got,0.4395,file_8d4e790d85b34365,asset_122938791c6b146a,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00953_got_asset_122938791c6b146a.png
42,got,0.3209,file_92496cc044399074,asset_ff4135452321c27d,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00956_got_asset_ff4135452321c27d.png
42,got,0.3272,file_6baeafdbf1505b34,asset_42640b7956e1a5af,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00959_got_asset_42640b7956e1a5af.png
42,got,0.4484,file_84a8d2e130401c22,asset_d66a3b4c3a54e582,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00962_got_asset_d66a3b4c3a54e582.png
42,x_mark,0.4928,file_7355bcb1bf51b0e6,asset_98c24948b203b45b,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00968_x_mark_asset_98c24948b203b45b.png
42,got,0.4772,file_d86e984d901f001c,asset_054e2d14776c7eaa,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00973_got_asset_054e2d14776c7eaa.png
42,got,0.4356,file_11d37ff21c14074b,asset_cbed584f4a7a79fc,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00990_got_asset_cbed584f4a7a79fc.png
42,got,0.4282,file_a067bd798a422f13,asset_183568ccccf9b17c,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00993_got_asset_183568ccccf9b17c.png
42,got,0.494,file_a798424dfdb246f2,asset_c5baf12d61cdbd4b,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00999_got_asset_c5baf12d61cdbd4b.png
42,got,0.4335,file_2d8c856bebd75ce8,asset_741a7dc2efc4ab03,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01002_got_asset_741a7dc2efc4ab03.png
42,arrow,0.3958,file_1d5e457bcbcb4021,asset_7e28f00f839fce1f,arrow,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01016_arrow_asset_7e28f00f839fce1f.png
42,got,0.4071,file_396637fffb08b166,asset_6464ee682b6e9539,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01022_got_asset_6464ee682b6e9539.png
42,got,0.408,file_62c3dd3102650707,asset_a6a1a807225333d3,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01025_got_asset_a6a1a807225333d3.png
42,got,0.3988,file_6c9d7fd2cf8b2a09,asset_263d9bbf7a74f119,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01028_got_asset_263d9bbf7a74f119.png
42,got,0.4808,file_561deffd5e29abeb,asset_cc988facf7de4b10,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01034_got_asset_cc988facf7de4b10.png
42,got,0.4427,file_f759dfcce3ea6dba,asset_8f85cf781a2c4892,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01037_got_asset_8f85cf781a2c4892.png
42,got,0.472,file_dd15bfd220012da9,asset_5d8ca4120212a47b,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01055_got_asset_5d8ca4120212a47b.png
42,got,0.3949,file_20bbead1e685ba75,asset_1ff75886bdde89cb,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01060_got_asset_1ff75886bdde89cb.png
42,got,0.4047,file_e41974232e7b3369,asset_25a22f5df74ffae1,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01063_got_asset_25a22f5df74ffae1.png
42,got,0.3424,file_f1e86606970a4098,asset_6f98cd8786ef6aa9,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01068_got_asset_6f98cd8786ef6aa9.png
42,got,0.4168,file_60bac38a55997464,asset_c9fd61a5d932e963,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01071_got_asset_c9fd61a5d932e963.png
42,got,0.4423,file_e8cec87605007653,asset_d03e45f89671476c,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01074_got_asset_d03e45f89671476c.png
42,got,0.3539,file_b69dcf4baa8fa608,asset_603ade2051e58c6b,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01080_got_asset_603ade2051e58c6b.png
42,got,0.3541,file_ebae8724ba32676c,asset_a7d9dca074810b98,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01083_got_asset_a7d9dca074810b98.png
42,got,0.42,file_4a79ba7a94cfeb5a,asset_f4267fd43f7332c6,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01086_got_asset_f4267fd43f7332c6.png
42,got,0.3336,file_dddc8918627d32c5,asset_fbc8aa9f5506c36f,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01092_got_asset_fbc8aa9f5506c36f.png
43,google_play,0.1817,file_01fce48c5f827243,asset_ee02f730b82612e5,google_play,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00009_google_play_asset_ee02f730b82612e5.png
43,arrow,0.2652,file_a5a5bd5ba2f1d724,asset_781a510f3a857316,arrow,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00020_arrow_asset_781a510f3a857316.png
43,arrow,0.4706,file_d109bb027585db3a,asset_384d89598f4f57fc,arrow,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00030_arrow_asset_384d89598f4f57fc.png
43,google_play,0.4711,file_bde160b4ff62fd23,asset_14abfab802adf40c,google_play,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00042_google_play_asset_14abfab802adf40c.png
43,next,0.3837,file_1cb77f3034b09b56,asset_ef6efb79aed47f4a,next,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00045_next_asset_ef6efb79aed47f4a.png
43,x_mark,0.4587,file_7a30ab4de7eb758c,asset_b2c26a493402602b,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00047_x_mark_asset_b2c26a493402602b.png
43,x_mark,0.2267,file_c590ebbfe9db64ca,asset_6802a78b1f5efa66,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00053_x_mark_asset_6802a78b1f5efa66.png
43,free,0.4136,file_5e0324fe7516c5f3,asset_52da1398bb93a963,free,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00056_free_asset_52da1398bb93a963.png
43,play_triangle,0.4724,file_ed1467fb03b0b8ba,asset_d8a2f9660c5625b5,play_triangle,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00059_play_triangle_asset_d8a2f9660c5625b5.png
43,got,0.4053,file_b45e660a5a2b7d8d,asset_0d4b215867996981,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00061_got_asset_0d4b215867996981.png
43,arrow,0.3903,file_ecb42889e244410f,asset_600c1aa4b826d2ff,arrow,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00068_arrow_asset_600c1aa4b826d2ff.png
43,x_mark,0.4665,file_0567b11b04d3ff7a,asset_d4017dc915fca39d,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00080_x_mark_asset_d4017dc915fca39d.png
43,free,0.337,file_316f75bc9fb119a6,asset_1666aaa13124f098,free,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00148_free_asset_1666aaa13124f098.png
43,arrow,0.4993,file_b28b9ec89b84ce89,asset_226c1d36e84e0a83,arrow,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00168_arrow_asset_226c1d36e84e0a83.png
43,x_mark,0.2849,file_1b25b331d8c51571,asset_4b460828e7852a16,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00196_x_mark_asset_4b460828e7852a16.png
43,x_mark,0.1439,file_93bb21d0c9b6b5ab,asset_6104349d1d13028a,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00235_x_mark_asset_6104349d1d13028a.png
43,x_mark,0.1439,file_6238053c8e348d24,asset_6104349d1d13028a,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00238_x_mark_asset_6104349d1d13028a.png
43,x_mark,0.1439,file_f3370fca6a5a25e5,asset_6104349d1d13028a,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00243_x_mark_asset_6104349d1d13028a.png
43,x_mark,0.1439,file_b2e085b44f5a5d9d,asset_6104349d1d13028a,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00246_x_mark_asset_6104349d1d13028a.png
43,x_mark,0.1439,file_8598f00aa97cf91c,asset_6104349d1d13028a,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00248_x_mark_asset_6104349d1d13028a.png
43,x_mark,0.3759,file_9f8b320edd27915b,asset_f10069120b58ccf9,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00268_x_mark_asset_f10069120b58ccf9.png
43,arrow,0.0502,file_b3d3d941c081f532,asset_713d9bd8585df68b,arrow,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00276_arrow_asset_713d9bd8585df68b.png
43,got,0.1498,file_94c067721838b5a7,asset_10a60b88bb107d49,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00853_got_asset_10a60b88bb107d49.png
43,got,0.2013,file_096cbf9643228a54,asset_056a75a95fd0004a,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00856_got_asset_056a75a95fd0004a.png
43,got,0.1543,file_4b3f40d609b103c8,asset_3da5069be36e1858,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00859_got_asset_3da5069be36e1858.png
43,got,0.1744,file_f17f0597f4a960bf,asset_28434918920405bd,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00862_got_asset_28434918920405bd.png
43,got,0.1892,file_fa231e96cc4ad879,asset_7fd813ce3578ef46,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00867_got_asset_7fd813ce3578ef46.png
43,got,0.1875,file_8c24b44569d0efa9,asset_ef8824e2b0e42aaf,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00870_got_asset_ef8824e2b0e42aaf.png
43,got,0.1365,file_25f3ac1b552bd237,asset_d3a2423f432b3a89,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00873_got_asset_d3a2423f432b3a89.png
43,got,0.2392,file_d47e518578ccb400,asset_052743a3536937ab,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00879_got_asset_052743a3536937ab.png
43,got,0.1582,file_8530abf2f6494c7a,asset_963baf19279319e4,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00882_got_asset_963baf19279319e4.png
43,got,0.2013,file_15d57ab21d089397,asset_737da74c398dd713,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00885_got_asset_737da74c398dd713.png
43,got,0.1465,file_a74329e46e350a11,asset_003f01a0aee6b9bc,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00888_got_asset_003f01a0aee6b9bc.png
43,got,0.1789,file_3fb8b5064903ca0c,asset_11db72d833ab9f3d,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00891_got_asset_11db72d833ab9f3d.png
43,got,0.1886,file_1d474dd251495027,asset_64468130aeae340f,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00894_got_asset_64468130aeae340f.png
43,got,0.1737,file_2099c897741bb7ac,asset_3f76ae4068c4ab21,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00897_got_asset_3f76ae4068c4ab21.png
43,got,0.1763,file_889c5f7849e9e56b,asset_3666987badf94225,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00900_got_asset_3666987badf94225.png
43,got,0.1926,file_9036c20d93a62e90,asset_bac6666a761e1adc,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00909_got_asset_bac6666a761e1adc.png
43,got,0.3219,file_a13826c1f7dc3962,asset_a58eabf57128a6da,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00915_got_asset_a58eabf57128a6da.png
43,got,0.1636,file_89f5783d6a5d01a2,asset_5e68128f2f5b8dab,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00918_got_asset_5e68128f2f5b8dab.png
43,got,0.2571,file_74e06e5ceb318bc4,asset_7ea505252b3da083,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00921_got_asset_7ea505252b3da083.png
43,got,0.2186,file_4ab6e280b19b2c27,asset_2cc9ebf57e082dc9,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00924_got_asset_2cc9ebf57e082dc9.png
43,got,0.2002,file_b651671549196160,asset_00f7d7b29ed47ea4,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00927_got_asset_00f7d7b29ed47ea4.png
43,got,0.3239,file_8bd6e958d40d0a1b,asset_3911db3a08d8407c,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00941_got_asset_3911db3a08d8407c.png
43,got,0.3441,file_f9f17c7bbbe70566,asset_28ce3027c4b3f3b5,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00947_got_asset_28ce3027c4b3f3b5.png
43,got,0.3498,file_8d4e790d85b34365,asset_122938791c6b146a,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00953_got_asset_122938791c6b146a.png
43,got,0.158,file_6baeafdbf1505b34,asset_42640b7956e1a5af,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00959_got_asset_42640b7956e1a5af.png
43,got,0.2602,file_84a8d2e130401c22,asset_d66a3b4c3a54e582,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00962_got_asset_d66a3b4c3a54e582.png
43,got,0.2298,file_3606147f537f0ca8,asset_cd7bd45565e944d8,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00965_got_asset_cd7bd45565e944d8.png
43,got,0.2898,file_5127788b0383ad92,asset_ab19bac3e1d1fc80,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00976_got_asset_ab19bac3e1d1fc80.png
43,got,0.2537,file_fbaa02f8549aa9f7,asset_fe628b894f9e9d17,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00979_got_asset_fe628b894f9e9d17.png
43,x_mark,0.465,file_8206cc5578bc22ba,asset_7a4697aa90795534,x_mark,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00981_x_mark_asset_7a4697aa90795534.png
43,got,0.3459,file_4170949ace142843,asset_9e94bd7f0e647f3d,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00982_got_asset_9e94bd7f0e647f3d.png
43,got,0.3314,file_a2e7dd396ff48987,asset_f6644fda6fd59f54,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00985_got_asset_f6644fda6fd59f54.png
43,got,0.3155,file_11d37ff21c14074b,asset_cbed584f4a7a79fc,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00990_got_asset_cbed584f4a7a79fc.png
43,got,0.2153,file_a067bd798a422f13,asset_183568ccccf9b17c,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00993_got_asset_183568ccccf9b17c.png
43,got,0.2485,file_313025013de0d9bf,asset_3d50df392fb8fb02,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_00996_got_asset_3d50df392fb8fb02.png
43,got,0.252,file_2d8c856bebd75ce8,asset_741a7dc2efc4ab03,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01002_got_asset_741a7dc2efc4ab03.png
43,got,0.3164,file_8fa1a19595654b28,asset_b0b35ce09c8f69e6,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01007_got_asset_b0b35ce09c8f69e6.png
43,got,0.2764,file_a6dbca664e932053,asset_fe9d31d6ed9b602d,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01010_got_asset_fe9d31d6ed9b602d.png
43,got,0.2862,file_4779a278b028aa94,asset_93e8a1c52eeed49d,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01013_got_asset_93e8a1c52eeed49d.png
43,got,0.2435,file_c4b10a260a8dd4ba,asset_ec0f3962ae857614,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01017_got_asset_ec0f3962ae857614.png
43,got,0.2726,file_396637fffb08b166,asset_6464ee682b6e9539,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01022_got_asset_6464ee682b6e9539.png
43,got,0.2627,file_62c3dd3102650707,asset_a6a1a807225333d3,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01025_got_asset_a6a1a807225333d3.png
43,got,0.2115,file_6c9d7fd2cf8b2a09,asset_263d9bbf7a74f119,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01028_got_asset_263d9bbf7a74f119.png
43,got,0.1892,file_ec52bec92f18b3a6,asset_09db06e79617a5ab,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01031_got_asset_09db06e79617a5ab.png
43,got,0.3086,file_4efc8ba784626b00,asset_673e1ce09b1c7183,got,vision_platform\ads\pilot\visual_family_smoke_20260719\development_retrain_single_family\dataset\images\vf_01038_got_asset_673e1ce09b1c7183.png
